Region,Site,Date_Seeded,Date_Monitored,SiteDateID
Sonoran Central,Pleasant,2019-12-19,2020-03-30,1
Sonoran Central,Pleasant,2019-12-19,2020-10-14,2
Sonoran Central,Pleasant,2019-12-19,2021-04-02,3
Sonoran Central,Pleasant,2019-12-19,2021-10-04,4
Sonoran Central,Pleasant,2019-12-19,2022-03-29,5
Sonoran Central,Pleasant,2019-12-19,2023-03-24,6
Sonoran Central,Preserve,2019-11-25,2020-03-26,7
Sonoran Central,Preserve,2019-11-25,2020-10-12,8
Sonoran Central,Preserve,2019-11-25,2021-03-30,9
Sonoran Central,Preserve,2019-11-25,2021-10-06,10
Sonoran Central,Preserve,2019-11-25,2022-03-31,11
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,12
Sonoran Central,Roosevelt,2019-11-22,2020-10-15,13
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,14
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,15
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,16
Sonoran Central,SCC,2019-11-21,2020-03-27,17
Sonoran Central,SCC,2019-11-21,2020-10-13,18
Sonoran Central,SCC,2019-11-21,2021-03-31,19
Sonoran Central,SCC,2019-11-21,2021-10-13,20
Sonoran SE,Patagonia,2019-08-09,2019-11-12,21
Sonoran SE,Patagonia,2019-08-09,2020-03-30,22
Sonoran SE,Patagonia,2019-08-09,2020-10-01,23
Sonoran SE,Patagonia,2019-08-09,2020-10-04,24
Sonoran SE,Patagonia,2019-08-09,2021-03-12,25
Sonoran SE,Patagonia,2019-08-09,2021-10-13,26
Sonoran SE,Patagonia,2019-08-09,2021-10-14,27
Sonoran SE,Patagonia,2019-08-09,2022-03-30,28
Sonoran SE,Patagonia,2019-08-09,2022-03-31,29
Sonoran SE,SRER,2019-08-09,2019-11-07,30
Sonoran SE,SRER,2019-08-09,2020-04-02,31
Sonoran SE,SRER,2019-08-09,2020-09-30,32
Sonoran SE,SRER,2019-08-09,2021-03-10,33
Sonoran SE,SRER,2019-08-09,2021-03-11,34
Sonoran SE,SRER,2019-08-09,2021-10-06,35
Sonoran SE,SRER,2019-08-09,2021-10-07,36
Sonoran SE,SRER,2019-08-09,2021-10-08,37
Sonoran SE,SRER,2019-08-09,2021-10-09,38
Sonoran SE,SRER,2019-08-09,2022-03-23,39
Sonoran SE,SRER,2019-08-09,2022-03-24,40
Sonoran SE,SRER,2019-08-09,2022-03-28,41
