Region,Site,Date_Seeded,Plot,SitePlotID
Sonoran SE,SRER,2019-08-09,1,1
Sonoran SE,SRER,2019-08-09,2,2
Sonoran SE,SRER,2019-08-09,3,3
Sonoran SE,SRER,2019-08-09,4,4
Sonoran SE,SRER,2019-08-09,5,5
Sonoran SE,SRER,2019-08-09,6,6
Sonoran SE,SRER,2019-08-09,7,7
Sonoran SE,SRER,2019-08-09,8,8
Sonoran SE,SRER,2019-08-09,9,9
Sonoran SE,SRER,2019-08-09,10,10
Sonoran SE,SRER,2019-08-09,11,11
Sonoran SE,SRER,2019-08-09,12,12
Sonoran SE,SRER,2019-08-09,13,13
Sonoran SE,SRER,2019-08-09,14,14
Sonoran SE,SRER,2019-08-09,15,15
Sonoran SE,SRER,2019-08-09,16,16
Sonoran SE,SRER,2019-08-09,17,17
Sonoran SE,SRER,2019-08-09,18,18
Sonoran SE,SRER,2019-08-09,19,19
Sonoran SE,SRER,2019-08-09,20,20
Sonoran SE,SRER,2019-08-09,21,21
Sonoran SE,SRER,2019-08-09,22,22
Sonoran SE,SRER,2019-08-09,23,23
Sonoran SE,SRER,2019-08-09,24,24
Sonoran SE,SRER,2019-08-09,25,25
Sonoran SE,SRER,2019-08-09,26,26
Sonoran SE,SRER,2019-08-09,27,27
Sonoran SE,SRER,2019-08-09,28,28
Sonoran SE,SRER,2019-08-09,29,29
Sonoran SE,SRER,2019-08-09,30,30
Sonoran SE,SRER,2019-08-09,31,31
Sonoran SE,SRER,2019-08-09,32,32
Sonoran SE,SRER,2019-08-09,33,33
Sonoran SE,SRER,2019-08-09,34,34
Sonoran SE,SRER,2019-08-09,35,35
Sonoran SE,SRER,2019-08-09,36,36
Sonoran SE,Patagonia,2019-08-09,1,37
Sonoran SE,Patagonia,2019-08-09,2,38
Sonoran SE,Patagonia,2019-08-09,3,39
Sonoran SE,Patagonia,2019-08-09,4,40
Sonoran SE,Patagonia,2019-08-09,5,41
Sonoran SE,Patagonia,2019-08-09,6,42
Sonoran SE,Patagonia,2019-08-09,7,43
Sonoran SE,Patagonia,2019-08-09,8,44
Sonoran SE,Patagonia,2019-08-09,9,45
Sonoran SE,Patagonia,2019-08-09,10,46
Sonoran SE,Patagonia,2019-08-09,11,47
Sonoran SE,Patagonia,2019-08-09,12,48
Sonoran SE,Patagonia,2019-08-09,13,49
Sonoran SE,Patagonia,2019-08-09,14,50
Sonoran SE,Patagonia,2019-08-09,15,51
Sonoran SE,Patagonia,2019-08-09,16,52
Sonoran SE,Patagonia,2019-08-09,17,53
Sonoran SE,Patagonia,2019-08-09,18,54
Sonoran SE,Patagonia,2019-08-09,19,55
Sonoran SE,Patagonia,2019-08-09,20,56
Sonoran SE,Patagonia,2019-08-09,21,57
Sonoran SE,Patagonia,2019-08-09,22,58
Sonoran SE,Patagonia,2019-08-09,23,59
Sonoran SE,Patagonia,2019-08-09,24,60
Sonoran SE,Patagonia,2019-08-09,25,61
Sonoran SE,Patagonia,2019-08-09,26,62
Sonoran SE,Patagonia,2019-08-09,27,63
Sonoran SE,Patagonia,2019-08-09,28,64
Sonoran SE,Patagonia,2019-08-09,29,65
Sonoran SE,Patagonia,2019-08-09,30,66
Sonoran SE,Patagonia,2019-08-09,31,67
Sonoran SE,Patagonia,2019-08-09,32,68
