Date,ppt_mm,tmin,tmean,tmax,Site,Region
January,40.23,5.2,12.1,19,Pleasant,Sonoran Central
February,43.03,6.3,13.3,20.4,Pleasant,Sonoran Central
March,32.92,9,16.5,23.9,Pleasant,Sonoran Central
April,8.33,11.8,19.9,28.1,Pleasant,Sonoran Central
May,4.43,16.3,24.6,32.8,Pleasant,Sonoran Central
June,1.12,21.4,29.7,38.1,Pleasant,Sonoran Central
July,24.33,25.4,32.7,39.9,Pleasant,Sonoran Central
August,38.91,25.2,32.2,39.2,Pleasant,Sonoran Central
September,22.5,21.9,29.1,36.4,Pleasant,Sonoran Central
October,18.01,15.4,23,30.6,Pleasant,Sonoran Central
November,19.21,9.1,16.5,23.8,Pleasant,Sonoran Central
December,32.76,4.9,11.6,18.3,Pleasant,Sonoran Central
Annual,285.77,14.3,21.8,29.2,Pleasant,Sonoran Central
January,45.62,6.3,11.8,17.3,Preserve,Sonoran Central
February,42.26,7.3,13,18.7,Preserve,Sonoran Central
March,45.86,9.4,15.8,22.2,Preserve,Sonoran Central
April,13.38,12.3,19.2,26,Preserve,Sonoran Central
May,6.61,16.4,23.7,31,Preserve,Sonoran Central
June,1.52,21.8,29.2,36.5,Preserve,Sonoran Central
July,26.46,24.9,31.5,38.1,Preserve,Sonoran Central
August,36.38,24.5,30.9,37.4,Preserve,Sonoran Central
September,23.3,21.9,28.4,34.8,Preserve,Sonoran Central
October,29.33,16.3,22.6,28.9,Preserve,Sonoran Central
November,20.21,10.6,16.5,22.4,Preserve,Sonoran Central
December,43.48,6.1,11.6,17,Preserve,Sonoran Central
Annual,334.43,14.8,21.2,27.5,Preserve,Sonoran Central
January,56.8,2.7,9.7,16.6,Roosevelt,Sonoran Central
February,46.71,4.2,11.5,18.8,Roosevelt,Sonoran Central
March,50.9,6.8,14.8,22.8,Roosevelt,Sonoran Central
April,14.02,10.1,18.6,27,Roosevelt,Sonoran Central
May,10.68,14.8,23.5,32.2,Roosevelt,Sonoran Central
June,2.37,19.9,28.9,38,Roosevelt,Sonoran Central
July,38.48,23.7,31.4,39,Roosevelt,Sonoran Central
August,47.29,23.1,30.7,38.2,Roosevelt,Sonoran Central
September,34.19,19.7,27.5,35.3,Roosevelt,Sonoran Central
October,22.42,13.3,21.2,29.2,Roosevelt,Sonoran Central
November,26.87,7.1,14.5,22,Roosevelt,Sonoran Central
December,47.64,2.7,9.5,16.2,Roosevelt,Sonoran Central
Annual,398.38,12.3,20.1,27.9,Roosevelt,Sonoran Central
January,28.12,5.9,12.8,19.6,SCC,Sonoran Central
February,28.69,7.3,14.4,21.4,SCC,Sonoran Central
March,25.9,10.2,17.6,25.1,SCC,Sonoran Central
April,7.3,13.7,21.4,29.1,SCC,Sonoran Central
May,4.32,18.3,26.2,34,SCC,Sonoran Central
June,1.14,23.1,31.2,39.4,SCC,Sonoran Central
July,22.58,26.8,33.7,40.7,SCC,Sonoran Central
August,28.22,26.8,33.4,40,SCC,Sonoran Central
September,18.76,23.3,30.4,37.5,SCC,Sonoran Central
October,14.92,16.5,24.1,31.6,SCC,Sonoran Central
November,14.78,10,17.3,24.7,SCC,Sonoran Central
December,25.58,5.5,12.3,19,SCC,Sonoran Central
Annual,220.3,15.6,22.9,30.2,SCC,Sonoran Central
January,28.95,-0.6,8.1,16.7,Patagonia,Sonoran SE
February,28.28,0.7,9.3,18,Patagonia,Sonoran SE
March,20.27,2.9,12.1,21.2,Patagonia,Sonoran SE
April,10.03,5.5,15.1,24.8,Patagonia,Sonoran SE
May,5.47,9.6,19.5,29.3,Patagonia,Sonoran SE
June,14.97,15.1,24.7,34.3,Patagonia,Sonoran SE
July,108.83,18.3,25.7,33.2,Patagonia,Sonoran SE
August,99.9,17.6,24.8,32,Patagonia,Sonoran SE
September,43.69,14.5,22.6,30.7,Patagonia,Sonoran SE
October,21.42,8.3,17.6,27,Patagonia,Sonoran SE
November,18,3.1,12.2,21.4,Patagonia,Sonoran SE
December,36.04,-0.8,7.8,16.5,Patagonia,Sonoran SE
Annual,435.85,7.9,16.6,25.4,Patagonia,Sonoran SE
January,31.75,3.1,9.6,16.1,SRER,Sonoran SE
February,31.37,3.8,10.6,17.5,SRER,Sonoran SE
March,26.45,6.1,13.4,20.7,SRER,Sonoran SE
April,11.91,8.8,16.7,24.6,SRER,Sonoran SE
May,5.77,13.2,21.2,29.2,SRER,Sonoran SE
June,10,18.1,26.2,34.3,SRER,Sonoran SE
July,99.2,19.8,26.6,33.3,SRER,Sonoran SE
August,96.15,19,25.6,32.2,SRER,Sonoran SE
September,52.9,17.5,24.1,30.7,SRER,Sonoran SE
October,24.83,12.5,19.7,26.8,SRER,Sonoran SE
November,22.88,6.9,13.8,20.8,SRER,Sonoran SE
December,41.51,2.9,9.3,15.7,SRER,Sonoran SE
Annual,454.74,11,18.1,25.2,SRER,Sonoran SE
