Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Latitude,Longitude,Elevation_ft,Sand_content,Clay_content,MAP,MAT,Cum_precip,Since_last_precip
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,1,33.93656,-112.3232,1771,high,low,285.77,21.8,187.46,187.46
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2020-10-14T00:00:00Z,2,33.93656,-112.3232,1771,high,low,285.77,21.8,221.2,33.74
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2021-04-02T00:00:00Z,3,33.93656,-112.3232,1771,high,low,285.77,21.8,296.5,75.3
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2021-10-04T00:00:00Z,4,33.93656,-112.3232,1771,high,low,285.77,21.8,471.17,174.67
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2022-03-29T00:00:00Z,5,33.93656,-112.3232,1771,high,low,285.77,21.8,564.22,93.05
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,6,33.93656,-112.3232,1771,high,low,285.77,21.8,964.26,402.36
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,7,33.769527,-111.793977,2621,high,low,334.43,21.2,237.68,237.68
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2020-10-12T00:00:00Z,8,33.769527,-111.793977,2621,high,low,334.43,21.2,265.38,27.7
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2021-03-30T00:00:00Z,9,33.769527,-111.793977,2621,high,low,334.43,21.2,337.83,72.45
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2021-10-06T00:00:00Z,10,33.769527,-111.793977,2621,high,low,334.43,21.2,623.51,285.68
Sonoran Central,Preserve,2019-11-25T00:00:00Z,2022-03-31T00:00:00Z,11,33.769527,-111.793977,2621,high,low,334.43,21.2,755.44,137.60999999999999
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2020-03-25T00:00:00Z,12,33.611153,-111.039686,2500,high,low,398.38,20.1,208.54,208.54
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2020-10-15T00:00:00Z,13,33.611153,-111.039686,2500,high,low,398.38,20.1,242.88,34.34
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2021-04-01T00:00:00Z,14,33.611153,-111.039686,2500,high,low,398.38,20.1,343.08,100.2
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2021-10-08T00:00:00Z,15,33.611153,-111.039686,2500,high,low,398.38,20.1,573.78,230.7
Sonoran Central,Roosevelt,2019-11-22T00:00:00Z,2022-03-28T00:00:00Z,16,33.611153,-111.039686,2500,high,low,398.38,20.1,687.09,113.31
Sonoran Central,SCC,2019-11-21T00:00:00Z,2020-03-27T00:00:00Z,17,33.513851,-111.879212,1263,low,high,220.3,22.9,177.75,177.75
Sonoran Central,SCC,2019-11-21T00:00:00Z,2020-10-13T00:00:00Z,18,33.513851,-111.879212,1263,low,high,220.3,22.9,191.54999999999998,13.8
Sonoran Central,SCC,2019-11-21T00:00:00Z,2021-03-31T00:00:00Z,19,33.513851,-111.879212,1263,low,high,220.3,22.9,234.79,43.24
Sonoran Central,SCC,2019-11-21T00:00:00Z,2021-10-13T00:00:00Z,20,33.513851,-111.879212,1263,low,high,220.3,22.9,428.96,194.17
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,21,31.58323,-110.735,4331,high,low,435.85,16.6,149.27,149.27
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-03-30T00:00:00Z,22,31.58323,-110.735,4331,high,low,435.85,16.6,432.6,283.33
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-10-01T00:00:00Z,23,31.58323,-110.735,4331,high,low,435.85,16.6,589.18,156.58
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2020-10-04T00:00:00Z,24,31.58323,-110.735,4331,high,low,435.85,16.6,589.18,156.58
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,25,31.58323,-110.735,4331,high,low,435.85,16.6,649.79,60.61
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,26,31.58323,-110.735,4331,high,low,435.85,16.6,1074.64,424.85
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,27,31.58323,-110.735,4331,high,low,435.85,16.6,1074.64,424.85
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2022-03-30T00:00:00Z,28,31.58323,-110.735,4331,high,low,435.85,16.6,1143.8700000000001,69.23
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2022-03-31T00:00:00Z,29,31.58323,-110.735,4331,high,low,435.85,16.6,1143.8700000000001,69.23
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,30,31.786117,-110.823944,3868,high,low,454.74,18.1,142.96,142.96
Sonoran SE,SRER,2019-08-09T00:00:00Z,2020-04-02T00:00:00Z,31,31.786117,-110.823944,3868,high,low,454.74,18.1,406.98,264.52
Sonoran SE,SRER,2019-08-09T00:00:00Z,2020-09-30T00:00:00Z,32,31.786117,-110.823944,3868,high,low,454.74,18.1,537.7,130.72
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,33,31.786117,-110.823944,3868,high,low,454.74,18.1,589.12,51.42
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,34,31.786117,-110.823944,3868,high,low,454.74,18.1,589.12,51.42
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,35,31.786117,-110.823944,3868,high,low,454.74,18.1,1036.96,447.84000000000003
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,36,31.786117,-110.823944,3868,high,low,454.74,18.1,1036.96,447.84000000000003
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,37,31.786117,-110.823944,3868,high,low,454.74,18.1,1036.96,447.84000000000003
