Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Cum_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Sonoran Central,Pleasant,1,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,187.46,2019-12-15T00:00:00Z,2020-03-30T00:00:00Z,132.56,0.4141520820760411,-54.900000000000006
Sonoran Central,Pleasant,2,2019-12-19T00:00:00Z,2020-10-14T00:00:00Z,221.2,2019-12-15T00:00:00Z,2020-10-15T00:00:00Z,241.185,-0.08286170367145558,19.985000000000014
Sonoran Central,Pleasant,3,2019-12-19T00:00:00Z,2021-04-02T00:00:00Z,296.5,2019-12-15T00:00:00Z,2021-03-31T00:00:00Z,418.33,-0.29122941218655124,121.82999999999998
Sonoran Central,Pleasant,4,2019-12-19T00:00:00Z,2021-10-04T00:00:00Z,471.17,2019-12-15T00:00:00Z,2021-09-30T00:00:00Z,517.9499999999999,-0.09031759822376663,46.779999999999916
Sonoran Central,Pleasant,5,2019-12-19T00:00:00Z,2022-03-29T00:00:00Z,564.22,2019-12-15T00:00:00Z,2022-03-31T00:00:00Z,704.0999999999999,-0.19866496236330053,139.87999999999988
Sonoran Central,Pleasant,6,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,964.26,2019-12-15T00:00:00Z,2023-03-31T00:00:00Z,989.8699999999999,-0.02587208421307839,25.6099999999999
Sonoran Central,Preserve,7,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,237.68,2019-12-01T00:00:00Z,2020-03-30T00:00:00Z,177.22,0.34115788285746534,-60.46000000000001
Sonoran Central,Preserve,8,2019-11-25T00:00:00Z,2020-10-12T00:00:00Z,265.38,2019-12-01T00:00:00Z,2020-10-15T00:00:00Z,299.53499999999997,-0.11402674144924625,34.15499999999997
Sonoran Central,Preserve,9,2019-11-25T00:00:00Z,2021-03-30T00:00:00Z,337.83,2019-12-01T00:00:00Z,2021-03-31T00:00:00Z,511.65,-0.33972442099091177,173.82
Sonoran Central,Preserve,10,2019-11-25T00:00:00Z,2021-10-06T00:00:00Z,623.51,2019-12-01T00:00:00Z,2021-09-30T00:00:00Z,619.3,0.0067979977393832335,-4.210000000000036
Sonoran Central,Preserve,11,2019-11-25T00:00:00Z,2022-03-31T00:00:00Z,755.44,2019-12-01T00:00:00Z,2022-03-31T00:00:00Z,846.08,-0.10712934947049922,90.63999999999999
Sonoran Central,Roosevelt,12,2019-11-22T00:00:00Z,2020-03-25T00:00:00Z,208.54,2019-12-01T00:00:00Z,2020-03-30T00:00:00Z,202.05,0.032120762187577236,-6.489999999999981
