Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Sonoran Central,Pleasant,1,2019-12-19T00:00:00Z,2020-03-30T00:00:00Z,187.46,2019-12-15T00:00:00Z,2020-03-30T00:00:00Z,132.56,0.4141520820760411,-54.900000000000006
Sonoran Central,Pleasant,2,2019-12-19T00:00:00Z,2020-10-14T00:00:00Z,33.74,2019-12-15T00:00:00Z,2020-10-15T00:00:00Z,108.625,-0.6893901035673187,74.88499999999999
Sonoran Central,Pleasant,3,2019-12-19T00:00:00Z,2021-04-02T00:00:00Z,75.3,2019-12-15T00:00:00Z,2021-03-31T00:00:00Z,177.155,-0.5749484914340549,101.855
Sonoran Central,Pleasant,4,2019-12-19T00:00:00Z,2021-10-04T00:00:00Z,174.67,2019-12-15T00:00:00Z,2021-09-30T00:00:00Z,99.61999999999999,0.7533627785585224,-75.05
Sonoran Central,Pleasant,5,2019-12-19T00:00:00Z,2022-03-29T00:00:00Z,93.05,2019-12-15T00:00:00Z,2022-03-31T00:00:00Z,186.16,-0.5001611516974646,93.11
Sonoran Central,Pleasant,6,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,402.36,2019-12-15T00:00:00Z,2023-03-31T00:00:00Z,285.77,0.40798544283864663,-116.59000000000003
Sonoran Central,Preserve,7,2019-11-25T00:00:00Z,2020-03-26T00:00:00Z,237.68,2019-12-01T00:00:00Z,2020-03-30T00:00:00Z,177.22,0.34115788285746534,-60.46000000000001
Sonoran Central,Preserve,8,2019-11-25T00:00:00Z,2020-10-12T00:00:00Z,27.7,2019-12-01T00:00:00Z,2020-10-15T00:00:00Z,122.315,-0.7735355434738176,94.615
Sonoran Central,Preserve,9,2019-11-25T00:00:00Z,2021-03-30T00:00:00Z,72.45,2019-12-01T00:00:00Z,2021-03-31T00:00:00Z,212.095,-0.6584077889624932,139.64499999999998
Sonoran Central,Preserve,10,2019-11-25T00:00:00Z,2021-10-06T00:00:00Z,285.68,2019-12-01T00:00:00Z,2021-09-30T00:00:00Z,107.65,1.6537854156990246,-178.03
