CodeOriginal,Lifeform
AMCO3,Forb
AMCO3,Grass
AMCO3,forb
AMMEI2,Forb
AMMEI2,forb
ARAD,Grass
ARAD,Forb
ARAD,grass
ARPUP6,Grass
ARPUP6,grass
ASNU4,Forb
ASNU4,forb
BAMU,Forb
BAMU,forb
BOCU,Grass
BOCU,Forb
BORO2,Grass
BORO2,grass
BRRU2,Grass
BRRU2,grass
CACI2,Forb
CACI2,forb
CHAL11,Forb
CHAL11,forb
CHBR,Forb
CHBR,forb
CRCO34,Forb
CRCO34,forb
CRYPT,Forb
CRYPT,forb
DAPU3,Forb
DAPU3,forb
DICA14,Forb
DICA14,forb
DICA8,Forb
DICA8,Grass
DICA8,grass
ERCI6,Forb
ERCI6,forb
ERDI2,Forb
ERDI2,forb
ERPA11,Forb
ERPA11,forb
EUPO3,Forb
EUPO3,forb
HAPAA,Forb
HAPAA,forb
HEHIC,Forb
HEHIC,forb
LAGR10,Forb
LAGR10,forb
LELA,Forb
LELA,forb
LOAR12,Forb
LOAR12,forb
LOHU2,Forb
LOHU2,forb
LOSQ,Forb
LOSQ,forb
LOSTT,Forb
LOSTT,forb
LUCO,Forb
LUCO,forb
LUSP2,Forb
LUSP2,forb
MONU,Forb
MONU,forb
PECTO,Forb
PECTO,forb
PEHE,Forb
PEHE,forb
PEPL,Forb
PEPL,forb
PERE,Forb
PERE,forb
PLAR,Forb
PLAR,forb
PLOV,Forb
PLOV,forb
PLPA2,Forb
PLPA2,forb
POBI,Grass
POBI,grass
SACO6,Forb
SACO6,forb
SCBA,Grass
SCBA,grass
SECO10,Forb
SECO10,forb
SIAN2,Forb
SIAN2,forb
SPAMA,Forb
SPAMA,forb
SPCR,Grass
SPCR,grass
STGN,Forb
STGN,forb
Unk sp.,NA
Unk sp.,Forb
VUOC,Grass
VUOC,Forb
VUOC,grass
