CodeOriginal,Name,Native,Lifeform
ABPA3,Abutilon parvulum,Native,Forb
ACMIS,Acmispon (Lotus),Native,Forb
AMCO3,Ambrosia confertiflora,Native,Forb
AMDE4,Ambrosia deltoidea,Native,Shrub
AMMEI2,Amsinckia menziesii,Native,Forb
AMPA,Amaranthus palmeri,Native,Forb
AMSIN,Amsinckia,Native,Forb
ANCR2,Anoda cristata,Native,Forb
ARAD,Aristida adscensionis,Native,Grass
ARNE2,Argythamnia neomexicana,Native,Forb
ARPU9,Aristida purpurea,Native,Grass
ARPUP6,Aristida purpurea,Native,Grass
ARTE3,Aristida ternipes,Native,Grass
ARWA,Aristolochia watsonii,Native,Forb
ASNU4,Astragalus nuttallianus,Native,Forb
ASTU,Asclepias tuberosa,Native,Forb
BAMU,Baileya multiradiata,Native,Forb
BOAR,Bouteloua aristidoides,Native,Grass
BOAR,Bouteloua aristoides,Native,Grass
BOBA2,Bouteloua barbata,Native,Grass
BOCO,Boerhavia coccinea,Native,Forb
BOCU,Bouteloua curtipendula,Native,Grass
BOER4,Bouteloua eriopoda,Native,Grass
BOIN,Boerhavia intermedia,Native,Forb
BOIN3,Bowlesia incana,Native,Forb
BORA,Bouteloua radicosa,Native,Grass
BORO2,Bouteloua rothrockii,Native,Grass
BRRU2,Bromus rubens,Introduced,Grass
CACI2,Calandrinia ciliata,Native,Forb
CAEXE,Castilleja exserta,Native,Forb
CEME2,Centaurea melitensis,Introduced,Forb
CHAL11,Chamaesyce albomarginata,Native,Forb
CHBR,Chorizanthe brevicornu,Native,Forb
CHFR3,Chenopodium fremontii,Native,Forb
CHHY3,Chamaesyce hyssopifolia,Native,Forb
CHPO12,Chamaesyce polycarpa,Native,Forb
CHVI4,Chloris virgata,Native,Grass
COCA5,Conyza canadensis,Native,Forb
COCA8,Coreopsis califonica,Native,Forb
CRAN4,Cryptantha angustifolia,Native,Forb
CRBA5,Cryptantha barbigera,Native,Forb
CRCO34,Crassula connata,Native,Forb
DAPU3,Daucus pusillus,Native,Forb
DAPU7,Dasyochloa pulchella,Native,Grass
DEPI,Descurainia pinnata,Native,Forb
DICA14,Dichelostemma capitatum,Native,Forb
DICA8,Digitaria californica,Native,Grass
DRCUI,Draba cuneifolia,Native,Forb
ELEL5,Elymus elymoides,Native,Grass
ENFA,Encelia farinosa,Native,Shrub
ERCI,Eragrostis cilianensis,Introduced,Grass
ERCI6,Erodium cicutarium,Introduced,Forb
ERCU2,Eragrostis curvula,Introduced,Grass
ERDI2,Eriastrum diffusum,Native,Forb
ERER2,Eriastrum eremicum,Native,Forb
ERIAS,Eriastrum,Native,Forb
ERLA12,Ericameria laricifolia,Native,Shrub
ERLE,Eragrostis lehmanniana,Introduced,Grass
ERPA11,Eriogonum palmerianum,Native,Forb
ERPO4,Eriogonum polycladon,Native,Forb
ERSU,Eragrostis superba,Introduced,Grass
ERVE5,Eruca vesicaria,Introduced,Forb
ESCA2,Eschscholzia californica,Native,Forb
ESCAM,Eschscholzia californica,Native,Forb
EUAB,Chamaesyce abramsiana,Native,Forb
EUME3,Chamaesyce melanadenia,Native,Forb
EUPO3,Chamaesyce polycarpa,Native,Forb
EVAR,Evolvulus arizonicus,Native,Forb
GIST,Gilia stellata,Native,Forb
GLGO,Glandularia gooddingii,Native,Forb
GNPA,Gnaphalium palustre,Native,Forb
HAPAA,Harpagonella palmeri,Native,Forb
HEHIC,Herniaria hirsuta,Introduced,Forb
KAGR,Kallstroemia grandiflora,Native,Forb
KRLA2,Krascheninnikovia lanata,Native,Shrub
LACA7,Lasthenia californica,Native,Forb
LAGL5,Layia glandulosa,Native,Forb
LAGR10,Lasthenia gracilis,Native,Forb
LATR2,Larrea tridentata,Native,Shrub
LEAU16,Leptosiphon aureus,Native,Forb
LELA,Lepidium lasiocarpum,Native,Forb
LETH2,Lepidium thurberi,Native,Forb
LIBI2,Linanthus bigelovii,Native,Forb
LOAR12,Logfia arizonica,Native,Forb
LOGR4,Lotus greenei,Native,Forb
LOHU2,Lotus humistratus,Native,Forb
LOSQ,Loeflingia squarrosa,Native,Forb
LOSTT,Lotus strigosus,Native,Forb
LUCO,Lupinus concinnus,Native,Forb
LUSP2,Lupinus sparsiflorus,Native,Forb
MAGL3,Malacothrix glabrata,Native,Forb
MAGR10,Machaeranthera gracilis,Native,Forb
MAPA5,Malva parviflora,Introduced,Forb
MATA2,Machaeranthera tanacetifolia,Native,Forb
MEAL6,Mentzelia albicaulis,Native,Forb
MEIN2,Melilotus indicus,Introduced,Forb
MOCE,Mollugo cerviana,Introduced,Forb
MONU,Monolepis nuttalliana,Native,Forb
MOVE,Mollugo verticillata,Native,Forb
ONPI,Oncosiphon piluliferum,Introduced,Forb
PACA6,Panicum capillare,Native,Grass
PAMI5,Parkinsonia microphylla,Native,Shrub
PECTO,Pectocarya,Native,Forb
PEHE,Pectocarya heterocarpa,Native,Forb
PEPL,Pectocarya platycarpa,Native,Forb
PERE,Pectocarya recurvata,Native,Forb
PHDI,Phacelia distans,Native,Forb
PHYSA,Physalis,Unknown,Forb
PLANT,Plantago,Unknown,Forb
PLAR,Plagiobothrys arizonicus,Native,Forb
PLOV,Plantago ovata,Native,Forb
PLPA2,Plantago patagonica,Native,Forb
PLPR3,Plagiobothrys pringlei,Native,Forb
POBI,Poa bigelovii,Native,Grass
POOL,Portulaca oleracea,Unknown,Forb
POSE,Poa secunda,Native,Grass
POUM,Portulaca umbraticola,Native,Forb
PRVE,Prosopis velutina,Native,Shrub
PSCA11,Pseudognaphalium canescens,Native,Forb
SACO6,Salvia columbariae,Native,Forb
SATR12,Salsola tragus,Introduced,Forb
SATR12,Salsola iberica,Introduced,Forb
SCBA,Schismus barbatus,Introduced,Grass
SCPI3,Schkuhria pinnata,Unknown,Forb
SECO10,Senna covesii,Native,Forb
SIAB,Sida abutifolia,Introduced,Forb
SIAN2,Silene antirrhina,Native,Forb
SIIR,Sisymbrium irio,Introduced,Forb
SINE,Sida neomexicana,Native,Forb
SOOL,Sonchus oleraceus,Introduced,Forb
SORO,Solanum rostratum,Native,Forb
SPAMA,Sphaeralcea ambigua,Native,Forb
SPCR,Sporobolus cryptandrus,Native,Grass
SPEC2,Spermolepis echinata,Native,Forb
STGN,Stylocline gnaphalioides,Native,Forb
TRMU,Tridens muticus,Native,Grass
TRPI,Tradescantia pinetorum,Native,Forb
TRTE,Tribulus terrestris,Introduced,Forb
URLI5,Microseris lindleyi,Native,Forb
VEPEX2,Veronica peregrina ssp. xalapensis,Native,Forb
VUOC,Vulpia octoflora,Native,Grass
