CodeOriginal,Lifeform
AMCO3,Forb
AMMEI2,Forb
ARAD,Grass
ARPUP6,Grass
ASNU4,Forb
BAMU,Forb
BOCU,Grass
BORO2,Grass
BRRU2,Grass
CACI2,Forb
CHAL11,Forb
CHBR,Forb
CRCO34,Forb
CRYPT,Forb
DAPU3,Forb
DICA14,Forb
DICA8,Grass
ERCI6,Forb
ERDI2,Forb
ERPA11,Forb
EUPO3,Forb
HAPAA,Forb
HEHIC,Forb
LAGR10,Forb
LELA,Forb
LOAR12,Forb
LOHU2,Forb
LOSQ,Forb
LOSTT,Forb
LUCO,Forb
LUSP2,Forb
MONU,Forb
PECTO,Forb
PEHE,Forb
PEPL,Forb
PERE,Forb
PLAR,Forb
PLOV,Forb
PLPA2,Forb
POBI,Grass
SACO6,Forb
SCBA,Grass
SECO10,Forb
SIAN2,Forb
SPAMA,Forb
SPCR,Grass
STGN,Forb
Unk sp.,NA
VUOC,Grass
