CodeOriginal,Name,Native,Region,Site,Duration,Lifeform
ACASPP,Acalypha spp.,Native/Unknown,Sonoran SE,SRER,Unknown,Forb
ANOSPP,Anoda spp.,Native,Sonoran SE,SRER,Unknown,Forb
ARISPP,Aristida spp.,Native,Sonoran SE,SRER,Unknown,Grass
ARISPP,Aristida spp.,Native,Sonoran SE,Patagonia,Unknown,Grass
ASTSPP,Astragalus spp.,Native/Unknown,Sonoran SE,SRER,Unknown,Forb
BOUSPP,Bouteloua spp.,Native,Sonoran SE,SRER,Unknown,Grass
BRASPP,Brassica spp. (likely DEPI),Native/Unknown,Sonoran SE,SRER,Unknown,Forb
CALSPP,Calandrinia spp.,Native,Sonoran SE,Patagonia,Unknown,Forb
CHESPP,Chenopodium spp.,Unknown,Sonoran SE,Patagonia,Unknown,Forb
CRYPT,Cryptantha spp.,Native,Sonoran Central,Roosevelt,Unknown,Forb
CRYPT,Cryptantha spp.,Native,Sonoran Central,Pleasant,Unknown,Forb
CRYSPP,Cryptantha spp.,Native,Sonoran SE,SRER,Unknown,Forb
ERASPP,"Eragrostis spp., ERCU or ERLE",Introduced,Sonoran SE,Patagonia,Unknown,Grass
ERIASPP,Eriastrum spp.,Native,Sonoran SE,SRER,Unknown,Forb
ERIOG,Eriogonum spp.,Native,Sonoran Central,Pleasant,Unknown,Forb
ERISPP,Erigeron spp.,Native,Sonoran SE,Patagonia,Unknown,Forb
GILSPP,Gilia spp.,Native,Sonoran SE,SRER,Unknown,Forb
LUPSPP,Lupinus spp.,Unknown,Sonoran SE,SRER,Unknown,Forb
MENSPP,Mentzelia spp.,Native,Sonoran SE,SRER,Unknown,Forb
MENSPP,Mentzelia spp.,Native,Sonoran SE,Patagonia,Unknown,Forb
PANSPP,Panicum spp.,Native,Sonoran SE,SRER,Unknown,Grass
PLASPP,Plantago spp.,Unknown,Sonoran SE,SRER,Unknown,Forb
PORSPP,Portulaca spp.,Native,Sonoran SE,Patagonia,Unknown,Forb
PROACASPP,Mesquite/Acacia spp.,Native/Unknown,Sonoran SE,Patagonia,Perennial,Shrub
SIDSPP,Sida spp.,Native/Unknown,Sonoran SE,Patagonia,Unknown,Forb
SIDSPP,Sida spp.,Native/Unknown,Sonoran SE,SRER,Unknown,Forb
UNDPF,Unknown dead pod forb,Unknown,Sonoran SE,SRER,Unknown,Forb
UNDSF,Unknown dead spikey forb,Unknown,Sonoran SE,SRER,Unknown,Forb
