Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID
Sonoran Central,Preserve,2019-11-25,2020-03-26,1,Mulch,Cool,469
Sonoran Central,Preserve,2019-11-25,2020-03-26,2,Seed,Cool,470
Sonoran Central,Preserve,2019-11-25,2020-03-26,3,Pits,Cool,471
Sonoran Central,Preserve,2019-11-25,2020-03-26,4,ConMod,Cool,472
Sonoran Central,Preserve,2019-11-25,2020-03-26,5,Control,None,473
Sonoran Central,Preserve,2019-11-25,2020-03-26,6,Seed,Warm,474
Sonoran Central,Preserve,2019-11-25,2020-03-26,7,Pits,Warm,475
Sonoran Central,Preserve,2019-11-25,2020-03-26,8,Control,None,476
Sonoran Central,Preserve,2019-11-25,2020-03-26,9,Mulch,Warm,477
Sonoran Central,Preserve,2019-11-25,2020-03-26,10,Seed,Cool,478
Sonoran Central,Preserve,2019-11-25,2020-03-26,11,Seed,Warm,479
Sonoran Central,Preserve,2019-11-25,2020-03-26,12,ConMod,Warm,480
Sonoran Central,Preserve,2019-11-25,2020-03-26,13,Mulch,Cool,481
Sonoran Central,Preserve,2019-11-25,2020-03-26,14,ConMod,Cool,482
Sonoran Central,Preserve,2019-11-25,2020-03-26,15,Seed,Cool,483
Sonoran Central,Preserve,2019-11-25,2020-03-26,16,Pits,Cool,484
Sonoran Central,Preserve,2019-11-25,2020-03-26,17,ConMod,Warm,485
Sonoran Central,Preserve,2019-11-25,2020-03-26,18,Pits,Warm,486
Sonoran Central,Preserve,2019-11-25,2020-03-26,19,Mulch,Warm,487
Sonoran Central,Preserve,2019-11-25,2020-03-26,20,ConMod,Cool,488
Sonoran Central,Preserve,2019-11-25,2020-03-26,21,Seed,Warm,489
Sonoran Central,Preserve,2019-11-25,2020-03-26,22,Pits,Cool,490
Sonoran Central,Preserve,2019-11-25,2020-03-26,23,Seed,Cool,491
Sonoran Central,Preserve,2019-11-25,2020-03-26,24,ConMod,Warm,492
Sonoran Central,Preserve,2019-11-25,2020-03-26,25,Mulch,Cool,493
Sonoran Central,Preserve,2019-11-25,2020-03-26,26,ConMod,Cool,494
Sonoran Central,Preserve,2019-11-25,2020-03-26,27,Pits,Warm,495
Sonoran Central,Preserve,2019-11-25,2020-03-26,28,Mulch,Warm,496
Sonoran Central,Preserve,2019-11-25,2020-03-26,29,Control,None,497
Sonoran Central,Preserve,2019-11-25,2020-03-26,30,Pits,Cool,498
Sonoran Central,Preserve,2019-11-25,2020-03-26,31,Mulch,Cool,499
Sonoran Central,Preserve,2019-11-25,2020-03-26,32,Seed,Warm,500
Sonoran Central,Preserve,2019-11-25,2020-03-26,33,Mulch,Warm,501
Sonoran Central,Preserve,2019-11-25,2020-03-26,34,ConMod,Warm,502
Sonoran Central,Preserve,2019-11-25,2020-03-26,35,Control,None,503
Sonoran Central,Preserve,2019-11-25,2020-03-26,36,Pits,Warm,504
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,1,Pits,Cool,433
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,2,Seed,Cool,434
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,3,ConMod,Cool,435
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,4,Mulch,Cool,436
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,5,Pits,Warm,437
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,6,ConMod,Warm,438
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,7,Seed,Warm,439
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,8,Pits,Cool,440
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,9,Control,None,441
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,10,ConMod,Warm,442
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,11,Seed,Cool,443
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,12,Control,None,444
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,13,Pits,Warm,445
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,14,Mulch,Warm,446
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,15,ConMod,Cool,447
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,16,Seed,Warm,448
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,17,Pits,Cool,449
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,18,Mulch,Cool,450
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,19,ConMod,Cool,451
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,20,Seed,Cool,452
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,21,Pits,Warm,453
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,22,Mulch,Warm,454
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,23,Mulch,Cool,455
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,24,ConMod,Warm,456
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,25,Control,None,457
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,26,Mulch,Warm,458
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,27,Pits,Cool,459
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,28,ConMod,Cool,460
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,29,Mulch,Cool,461
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,30,Seed,Warm,462
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,31,Mulch,Warm,463
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,32,ConMod,Warm,464
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,33,Pits,Warm,465
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,34,Seed,Cool,466
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,35,Control,None,467
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,36,Seed,Warm,468
Sonoran Central,SCC,2019-11-21,2020-03-27,1,Mulch,Cool,505
Sonoran Central,SCC,2019-11-21,2020-03-27,2,ConMod,Cool,506
Sonoran Central,SCC,2019-11-21,2020-03-27,3,Control,None,507
Sonoran Central,SCC,2019-11-21,2020-03-27,4,Seed,Cool,508
Sonoran Central,SCC,2019-11-21,2020-03-27,5,Pits,Cool,509
Sonoran Central,SCC,2019-11-21,2020-03-27,6,ConMod,Warm,510
Sonoran Central,SCC,2019-11-21,2020-03-27,7,Mulch,Warm,511
Sonoran Central,SCC,2019-11-21,2020-03-27,8,Seed,Warm,512
Sonoran Central,SCC,2019-11-21,2020-03-27,9,Mulch,Cool,513
Sonoran Central,SCC,2019-11-21,2020-03-27,10,Pits,Warm,514
Sonoran Central,SCC,2019-11-21,2020-03-27,11,ConMod,Cool,515
Sonoran Central,SCC,2019-11-21,2020-03-27,12,Control,None,516
Sonoran Central,SCC,2019-11-21,2020-03-27,13,Seed,Cool,517
Sonoran Central,SCC,2019-11-21,2020-03-27,14,ConMod,Warm,518
Sonoran Central,SCC,2019-11-21,2020-03-27,15,Control,None,519
Sonoran Central,SCC,2019-11-21,2020-03-27,16,Seed,Warm,520
Sonoran Central,SCC,2019-11-21,2020-03-27,17,Mulch,Warm,521
Sonoran Central,SCC,2019-11-21,2020-03-27,18,Pits,Cool,522
Sonoran Central,SCC,2019-11-21,2020-03-27,19,Mulch,Cool,523
Sonoran Central,SCC,2019-11-21,2020-03-27,20,ConMod,Cool,524
Sonoran Central,SCC,2019-11-21,2020-03-27,21,Pits,Warm,525
Sonoran Central,SCC,2019-11-21,2020-03-27,22,Seed,Cool,526
Sonoran Central,SCC,2019-11-21,2020-03-27,23,ConMod,Warm,527
Sonoran Central,SCC,2019-11-21,2020-03-27,24,Pits,Cool,528
Sonoran Central,SCC,2019-11-21,2020-03-27,25,Seed,Warm,529
Sonoran Central,SCC,2019-11-21,2020-03-27,26,ConMod,Cool,530
Sonoran Central,SCC,2019-11-21,2020-03-27,27,Mulch,Warm,531
