Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID
Sonoran Central,Preserve,2019-09-25,2020-03-26,1,Mulch,Cool,469
Sonoran Central,Preserve,2019-09-25,2020-03-26,2,Seed,Cool,470
Sonoran Central,Preserve,2019-09-25,2020-03-26,3,Pits,Cool,471
Sonoran Central,Preserve,2019-09-25,2020-03-26,4,ConMod,Cool,472
Sonoran Central,Preserve,2019-09-25,2020-03-26,5,Control,None,473
Sonoran Central,Preserve,2019-09-25,2020-03-26,6,Seed,Warm,474
Sonoran Central,Preserve,2019-09-25,2020-03-26,7,Pits,Warm,475
Sonoran Central,Preserve,2019-09-25,2020-03-26,8,Control,None,476
Sonoran Central,Preserve,2019-09-25,2020-03-26,9,Mulch,Warm,477
Sonoran Central,Preserve,2019-09-25,2020-03-26,10,Seed,Cool,478
Sonoran Central,Preserve,2019-09-25,2020-03-26,11,Seed,Warm,479
Sonoran Central,Preserve,2019-09-25,2020-03-26,12,ConMod,Warm,480
Sonoran Central,Preserve,2019-09-25,2020-03-26,13,Mulch,Cool,481
Sonoran Central,Preserve,2019-09-25,2020-03-26,14,ConMod,Cool,482
Sonoran Central,Preserve,2019-09-25,2020-03-26,15,Seed,Cool,483
Sonoran Central,Preserve,2019-09-25,2020-03-26,16,Pits,Cool,484
Sonoran Central,Preserve,2019-09-25,2020-03-26,17,ConMod,Warm,485
Sonoran Central,Preserve,2019-09-25,2020-03-26,18,Pits,Warm,486
Sonoran Central,Preserve,2019-09-25,2020-03-26,19,Mulch,Warm,487
Sonoran Central,Preserve,2019-09-25,2020-03-26,20,ConMod,Cool,488
Sonoran Central,Preserve,2019-09-25,2020-03-26,21,Seed,Warm,489
Sonoran Central,Preserve,2019-09-25,2020-03-26,22,Pits,Cool,490
Sonoran Central,Preserve,2019-09-25,2020-03-26,23,Seed,Cool,491
Sonoran Central,Preserve,2019-09-25,2020-03-26,24,ConMod,Warm,492
Sonoran Central,Preserve,2019-09-25,2020-03-26,25,Mulch,Cool,493
Sonoran Central,Preserve,2019-09-25,2020-03-26,26,ConMod,Cool,494
Sonoran Central,Preserve,2019-09-25,2020-03-26,27,Pits,Warm,495
Sonoran Central,Preserve,2019-09-25,2020-03-26,28,Mulch,Warm,496
Sonoran Central,Preserve,2019-09-25,2020-03-26,29,Control,None,497
Sonoran Central,Preserve,2019-09-25,2020-03-26,30,Pits,Cool,498
Sonoran Central,Preserve,2019-09-25,2020-03-26,31,Mulch,Cool,499
Sonoran Central,Preserve,2019-09-25,2020-03-26,32,Seed,Warm,500
Sonoran Central,Preserve,2019-09-25,2020-03-26,33,Mulch,Warm,501
Sonoran Central,Preserve,2019-09-25,2020-03-26,34,ConMod,Warm,502
Sonoran Central,Preserve,2019-09-25,2020-03-26,35,Control,None,503
Sonoran Central,Preserve,2019-09-25,2020-03-26,36,Pits,Warm,504
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,1,Pits,Cool,433
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,2,Seed,Cool,434
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,3,ConMod,Cool,435
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,4,Mulch,Cool,436
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,5,Pits,Warm,437
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,6,ConMod,Warm,438
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,7,Seed,Warm,439
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,8,Pits,Cool,440
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,9,Control,None,441
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,10,ConMod,Warm,442
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,11,Seed,Cool,443
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,12,Control,None,444
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,13,Pits,Warm,445
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,14,Mulch,Warm,446
