Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Pleasant,Sonoran Central,Warm,AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,Yes
Pleasant,Sonoran Central,Cool,AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,Yes
Pleasant,Sonoran Central,Warm,ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Pleasant,Sonoran Central,Cool,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Pleasant,Sonoran Central,Cool,DICA8,DICA8,Digitaria californica,Native,Perennial,Grass,Yes
Pleasant,Sonoran Central,Warm,ENFA,ENFA,Encelia farinosa,Native,Perennial,Shrub,Yes
Pleasant,Sonoran Central,Cool,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Warm,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Warm,PLOV,PLOV,Plantago ovata,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Cool,PLOV,PLOV,Plantago ovata,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Cool,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,None,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Warm,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Pleasant,Sonoran Central,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Pleasant,Sonoran Central,Cool,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Pleasant,Sonoran Central,Warm,SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,Yes
Pleasant,Sonoran Central,Cool,SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,Yes
Preserve,Sonoran Central,Cool,AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,Yes
Preserve,Sonoran Central,Warm,ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Preserve,Sonoran Central,Cool,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Preserve,Sonoran Central,Warm,BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,Yes
Preserve,Sonoran Central,Warm,BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass,Yes
Preserve,Sonoran Central,Cool,DICA8,DICA8,Digitaria californica,Native,Perennial,Grass,Yes
Preserve,Sonoran Central,Cool,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Preserve,Sonoran Central,None,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Preserve,Sonoran Central,Warm,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Preserve,Sonoran Central,Warm,PLOV,PLOV,Plantago ovata,Native,Annual,Forb,Yes
Preserve,Sonoran Central,Cool,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Preserve,Sonoran Central,Warm,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Preserve,Sonoran Central,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Preserve,Sonoran Central,Cool,SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,Yes
Preserve,Sonoran Central,Cool,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Roosevelt,Sonoran Central,Cool,AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,Yes
Roosevelt,Sonoran Central,Cool,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Roosevelt,Sonoran Central,Warm,BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass,Yes
Roosevelt,Sonoran Central,Cool,BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass,Yes
Roosevelt,Sonoran Central,Cool,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Roosevelt,Sonoran Central,Warm,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
Roosevelt,Sonoran Central,Warm,PLOV,PLOV,Plantago ovata,Native,Annual,Forb,Yes
Roosevelt,Sonoran Central,Cool,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Roosevelt,Sonoran Central,Warm,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
Roosevelt,Sonoran Central,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Roosevelt,Sonoran Central,Cool,SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,Yes
Roosevelt,Sonoran Central,Warm,SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,Yes
Roosevelt,Sonoran Central,Cool,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
SCC,Sonoran Central,Cool,AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,Yes
SCC,Sonoran Central,Warm,ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
SCC,Sonoran Central,Cool,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
SCC,Sonoran Central,Warm,BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass,Yes
SCC,Sonoran Central,Cool,LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,Yes
SCC,Sonoran Central,Cool,SACO6,SACO6,Salvia columbariae,Native,Annual,Forb,Yes
SCC,Sonoran Central,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Patagonia,Sonoran SE,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Warm,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Y
Patagonia,Sonoran SE,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
Patagonia,Sonoran SE,Warm,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Patagonia,Sonoran SE,Medium,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Patagonia,Sonoran SE,Warm,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Medium,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Medium,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
Patagonia,Sonoran SE,Medium,POSE,POSE,Poa secunda,Native,Perennial,Grass,Yes
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Y
Patagonia,Sonoran SE,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,y
Patagonia,Sonoran SE,Medium,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
