Region,Site,PlotMix,CodeOriginal,Code,Name,SpeciesSeeded
Sonoran Central,Pleasant,Warm,AMDE4,AMDE4,Ambrosia deltoidea,NA
Sonoran Central,Pleasant,Warm,ENFA,ENFA,Encelia farinosa,NA
Sonoran Central,Pleasant,None,LUSP2,LUSP2,Lupinus sparsiflorus,NA
Sonoran Central,Pleasant,Cool,SECO10,SECO10,Senna covesii,NA
Sonoran Central,Pleasant,Cool,SPAMA,SPAM2,Sphaeralcea ambigua,NA
Sonoran Central,Preserve,Cool,AMDE4,AMDE4,Ambrosia deltoidea,NA
Sonoran Central,Preserve,None,BORO2,BORO2,Bouteloua rothrockii,NA
Sonoran Central,Preserve,None,LUSP2,LUSP2,Lupinus sparsiflorus,NA
Sonoran Central,Preserve,Warm,SACO6,SACO6,Salvia columbariae,NA
Sonoran Central,Preserve,Cool,SPCR,SPCR,Sporobolus cryptandrus,NA
Sonoran Central,Roosevelt,Cool,AMDE4,AMDE4,Ambrosia deltoidea,NA
Sonoran Central,Roosevelt,Warm,BAMU,BAMU,Baileya multiradiata,NA
Sonoran Central,Roosevelt,Cool,DICA8,DICA8,Digitaria californica,NA
Sonoran Central,Roosevelt,Warm,ENFA,ENFA,Encelia farinosa,NA
Sonoran Central,Roosevelt,None,SACO6,SACO6,Salvia columbariae,NA
Sonoran Central,Roosevelt,Cool,SECO10,SECO10,Senna covesii,NA
Sonoran Central,Roosevelt,Warm,SPAMA,SPAM2,Sphaeralcea ambigua,NA
Sonoran Central,SCC,Cool,BORO2,BORO2,Bouteloua rothrockii,NA
Sonoran Central,SCC,Warm,ENFA,ENFA,Encelia farinosa,NA
Sonoran Central,SCC,Warm,PLOV,PLOV,Plantago ovata,NA
Sonoran Central,SCC,Cool,SPAMA,SPAM2,Sphaeralcea ambigua,NA
Sonoran Central,SCC,Cool,SPCR,SPCR,Sporobolus cryptandrus,NA
Sonoran SE,Patagonia,Warm,Couple big ARPUs and a few small ones throughout,ARPU9,Aristida purpurea,NA
Sonoran SE,Patagonia,Warm,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,ARPU9,Aristida purpurea,NA
Sonoran SE,Patagonia,Warm,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,ARPU9,Aristida purpurea,NA
