PRISM Time Series Data
Location:  Lat: 33.7695   Lon: -111.7940   Elev: 807m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2021-03-30 - 2021-10-06
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-03-30,0.00,13.0,20.2,27.2
2021-03-31,0.00,11.7,18.8,25.7
2021-04-01,0.00,14.6,21.3,27.8
2021-04-02,0.00,19.0,25.1,30.2
2021-04-03,0.00,18.8,24.6,30.0
2021-04-04,0.00,19.4,26.2,32.3
2021-04-05,0.00,18.6,25.7,32.6
2021-04-06,0.00,17.1,24.2,30.9
2021-04-07,0.00,16.8,23.1,28.5
2021-04-08,0.00,16.8,23.1,28.9
2021-04-09,0.00,16.5,23.3,29.6
2021-04-10,0.00,15.4,22.9,30.4
2021-04-11,0.00,15.4,22.7,29.8
2021-04-12,0.00,16.6,23.5,29.6
2021-04-13,0.00,16.2,22.7,28.7
2021-04-14,0.00,13.7,20.8,27.5
2021-04-15,0.00,13.1,19.9,26.3
2021-04-16,0.00,14.2,19.1,23.5
2021-04-17,0.00,13.9,19.2,24.3
2021-04-18,0.00,15.3,20.8,25.6
2021-04-19,0.00,15.7,20.4,24.6
2021-04-20,0.00,13.5,20.5,27.0
2021-04-21,0.00,13.4,21.4,29.0
2021-04-22,0.00,12.9,21.1,28.7
2021-04-23,0.00,12.3,18.1,23.6
2021-04-24,0.00,13.8,19.7,25.0
2021-04-25,0.00,14.6,21.6,28.2
2021-04-26,0.00,14.1,22.1,29.6
2021-04-27,0.96,11.3,16.7,21.8
2021-04-28,0.00,11.0,15.4,19.4
2021-04-29,0.34,12.9,17.1,20.8
2021-04-30,0.00,14.3,23.0,31.2
2021-05-01,0.00,19.3,25.9,31.9
2021-05-02,0.00,20.1,27.5,32.3
2021-05-03,0.00,17.2,23.5,29.2
2021-05-04,0.00,15.2,21.6,27.6
2021-05-05,0.00,16.6,23.6,30.2
2021-05-06,0.00,20.5,27.3,33.2
2021-05-07,0.00,18.5,26.6,34.3
2021-05-08,0.00,16.8,24.3,31.4
2021-05-09,0.00,16.2,23.0,29.7
2021-05-10,0.00,16.3,23.6,30.4
2021-05-11,0.00,15.6,23.4,30.8
2021-05-12,0.00,16.6,23.8,30.8
2021-05-13,0.00,19.5,26.8,33.6
2021-05-14,0.00,19.8,27.3,34.5
2021-05-15,0.00,19.3,26.8,33.9
2021-05-16,0.00,16.3,24.4,32.1
2021-05-17,0.00,15.6,22.4,28.8
2021-05-18,0.00,15.5,21.4,27.1
2021-05-19,0.00,17.8,24.4,30.7
2021-05-20,0.00,18.5,26.1,33.4
2021-05-21,2.16,17.7,25.0,32.0
2021-05-22,0.00,12.3,19.0,25.6
2021-05-23,0.00,12.7,18.2,23.8
2021-05-24,0.00,14.5,21.1,27.3
2021-05-25,0.00,18.1,25.0,30.9
2021-05-26,0.00,19.9,26.3,31.8
2021-05-27,0.00,17.9,24.5,30.9
2021-05-28,0.00,17.7,25.6,33.3
2021-05-29,0.00,20.2,27.4,34.3
2021-05-30,0.00,19.5,27.2,34.2
2021-05-31,0.00,18.8,26.2,33.5
2021-06-01,0.00,19.5,26.8,34.1
2021-06-02,0.00,21.2,28.5,35.7
2021-06-03,0.00,22.1,29.4,36.7
2021-06-04,0.00,23.6,30.4,37.1
2021-06-05,0.00,22.6,29.9,37.1
2021-06-06,0.00,21.7,29.6,37.4
2021-06-07,0.00,19.0,27.7,36.2
2021-06-08,0.00,19.1,27.1,35.1
2021-06-09,0.00,21.2,26.9,32.4
2021-06-10,0.00,22.0,28.5,34.9
2021-06-11,0.00,20.5,27.5,34.4
2021-06-12,0.00,19.6,27.8,36.3
2021-06-13,0.00,26.0,32.8,39.5
2021-06-14,0.00,28.7,35.3,41.7
2021-06-15,0.00,27.8,34.6,41.4
2021-06-16,0.00,29.7,36.2,42.6
2021-06-17,0.00,31.2,36.5,41.7
2021-06-18,0.00,30.7,36.9,43.0
2021-06-19,0.00,29.2,36.0,42.9
2021-06-20,0.00,28.3,35.4,42.6
2021-06-21,0.00,27.1,34.3,41.5
2021-06-22,0.00,25.2,31.9,38.4
2021-06-23,0.00,26.4,32.5,38.6
2021-06-24,1.77,22.3,25.7,29.3
2021-06-25,0.00,24.1,30.0,35.8
2021-06-26,0.00,24.9,31.1,37.3
2021-06-27,0.00,25.7,32.0,38.4
2021-06-28,0.00,28.9,35.0,40.9
2021-06-29,0.00,27.7,33.0,38.3
2021-06-30,0.54,27.0,31.8,36.6
2021-07-01,0.00,25.8,31.2,36.6
2021-07-02,1.83,25.2,31.6,37.9
2021-07-03,0.00,27.4,31.7,36.0
2021-07-04,5.60,23.4,30.7,38.0
2021-07-05,0.00,24.6,29.8,35.1
