PRISM Time Series Data
Location:  Lat: 33.6112   Lon: -111.0397   Elev: 754m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,56.80,2.7,9.7,16.6
February,46.71,4.2,11.5,18.8
March,50.90,6.8,14.8,22.8
April,14.02,10.1,18.6,27.0
May,10.68,14.8,23.5,32.2
June,2.37,19.9,28.9,38.0
July,38.48,23.7,31.4,39.0
August,47.29,23.1,30.7,38.2
September,34.19,19.7,27.5,35.3
October,22.42,13.3,21.2,29.2
November,26.87,7.1,14.5,22.0
December,47.64,2.7,9.5,16.2
Annual,398.38,12.3,20.1,27.9
