PRISM Time Series Data
Location:  Lat: 33.5139   Lon: -111.8792   Elev: 386m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-10-13 - 2021-03-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-10-13,0.00,18.7,27.7,36.7
2020-10-14,0.00,18.7,28.5,38.2
2020-10-15,0.00,18.0,27.7,37.4
2020-10-16,0.00,18.8,27.6,36.5
2020-10-17,0.00,19.5,29.2,38.8
2020-10-18,0.00,17.6,26.4,35.2
2020-10-19,0.00,16.6,26.0,35.3
2020-10-20,0.00,17.5,26.6,35.7
2020-10-21,0.00,17.2,26.3,35.4
2020-10-22,0.00,17.5,26.7,35.8
2020-10-23,0.00,18.0,26.0,34.0
2020-10-24,0.00,19.2,26.2,33.2
2020-10-25,0.00,19.1,24.7,30.4
2020-10-26,0.00,17.4,23.6,29.7
2020-10-27,0.00,9.4,14.0,18.6
2020-10-28,0.00,7.2,13.3,19.3
2020-10-29,0.00,7.0,14.0,20.9
2020-10-30,0.00,10.4,19.6,28.9
2020-10-31,0.00,14.4,22.3,30.2
2020-11-01,0.00,16.0,23.1,30.2
2020-11-02,0.00,17.9,26.1,34.4
2020-11-03,0.00,20.0,27.1,34.1
2020-11-04,0.00,17.6,25.6,33.7
2020-11-05,0.00,17.0,25.2,33.5
2020-11-06,0.00,18.0,27.0,36.0
2020-11-07,0.00,22.6,27.0,31.4
2020-11-08,0.00,11.3,18.6,26.0
2020-11-09,0.03,9.5,14.1,18.6
2020-11-10,0.00,6.5,11.5,16.6
2020-11-11,0.00,6.2,12.6,19.0
2020-11-12,0.00,6.0,13.7,21.5
2020-11-13,0.00,7.5,15.2,22.9
2020-11-14,0.00,8.3,16.3,24.3
2020-11-15,0.00,8.3,16.1,23.9
2020-11-16,0.00,9.2,18.6,28.1
2020-11-17,0.00,12.3,22.7,33.1
2020-11-18,0.00,14.4,23.6,32.7
2020-11-19,0.00,14.4,23.1,31.7
2020-11-20,0.00,13.7,22.1,30.6
2020-11-21,0.00,14.8,22.9,31.0
2020-11-22,0.00,14.7,21.8,29.0
2020-11-23,0.00,13.9,21.4,28.9
2020-11-24,0.00,12.0,18.9,25.8
2020-11-25,0.00,7.7,14.8,21.9
2020-11-26,0.00,6.6,14.1,21.6
2020-11-27,0.00,6.2,13.9,21.7
2020-11-28,0.00,5.4,11.8,18.2
2020-11-29,0.00,6.3,13.9,21.5
2020-11-30,0.00,6.1,15.0,23.8
2020-12-01,0.00,7.4,15.2,23.0
2020-12-02,0.00,6.1,13.8,21.5
2020-12-03,0.00,6.9,13.7,20.4
2020-12-04,0.00,4.5,11.6,18.7
2020-12-05,0.00,3.7,11.7,19.7
2020-12-06,0.00,4.3,13.0,21.6
2020-12-07,0.00,4.8,13.9,22.9
2020-12-08,0.00,6.5,16.2,25.9
2020-12-09,0.00,11.9,19.0,26.2
2020-12-10,7.67,11.7,19.3,26.9
2020-12-11,4.21,8.3,11.3,14.2
2020-12-12,0.00,7.5,12.8,18.2
2020-12-13,0.00,6.6,12.9,19.2
2020-12-14,0.00,5.0,10.6,16.3
2020-12-15,0.00,3.8,9.9,16.0
2020-12-16,0.00,4.0,10.0,16.1
2020-12-17,0.00,3.3,10.8,18.3
2020-12-18,0.00,3.8,10.5,17.2
2020-12-19,0.00,3.2,10.8,18.5
2020-12-20,0.00,4.0,11.7,19.4
2020-12-21,0.00,3.4,12.4,21.4
2020-12-22,0.00,5.7,15.2,24.7
2020-12-23,0.00,5.1,13.4,21.7
2020-12-24,0.00,4.4,12.4,20.5
2020-12-25,0.00,5.6,10.6,15.7
2020-12-26,0.00,6.4,13.9,21.4
2020-12-27,0.00,5.3,13.4,21.5
2020-12-28,0.00,5.4,13.9,22.4
2020-12-29,0.00,6.1,12.7,19.3
2020-12-30,0.00,5.4,10.6,15.9
2020-12-31,0.00,4.1,11.1,18.0
2021-01-01,0.00,3.7,9.9,16.0
2021-01-02,0.00,3.4,11.0,18.6
2021-01-03,0.00,2.9,10.2,17.6
2021-01-04,0.00,2.6,10.3,18.0
2021-01-05,0.00,3.7,12.6,21.3
2021-01-06,0.00,5.1,13.3,21.5
2021-01-07,0.00,4.7,13.2,21.9
2021-01-08,0.00,4.8,13.4,22.0
2021-01-09,0.00,4.7,12.8,21.0
2021-01-10,0.00,3.6,11.8,20.0
2021-01-11,0.00,4.3,11.9,19.7
2021-01-12,0.00,5.2,12.1,19.4
2021-01-13,0.00,3.6,11.6,19.9
2021-01-14,0.00,3.1,11.3,19.7
2021-01-15,0.00,4.6,13.6,22.5
2021-01-16,0.00,7.9,17.1,26.4
2021-01-17,0.00,7.5,16.3,25.3
2021-01-18,0.00,6.4,16.3,26.3
2021-01-19,0.26,5.5,14.3,23.1
2021-01-20,0.00,12.7,17.0,21.6
2021-01-21,0.00,14.5,19.0,23.3
2021-01-22,0.00,12.7,17.3,22.2
2021-01-23,0.00,12.6,16.2,19.9
2021-01-24,2.27,9.9,13.5,17.4
2021-01-25,4.45,7.6,10.0,12.4
2021-01-26,11.67,3.0,7.2,11.6
2021-01-27,1.07,3.3,7.0,10.8
2021-01-28,0.00,2.7,9.2,15.8
2021-01-29,0.00,9.9,15.9,22.0
2021-01-30,3.87,6.0,12.6,19.3
2021-01-31,0.00,5.2,11.2,17.2
2021-02-01,0.00,6.1,14.3,22.7
2021-02-02,0.00,13.2,17.8,22.5
2021-02-03,0.00,14.3,21.2,28.5
2021-02-04,0.00,14.1,20.6,26.9
2021-02-05,0.00,8.1,15.4,22.8
2021-02-06,0.00,6.8,13.7,20.6
2021-02-07,0.00,5.8,14.0,22.2
2021-02-08,0.00,6.5,14.6,22.7
2021-02-09,0.00,7.1,15.7,24.4
2021-02-10,0.00,7.6,15.4,23.3
2021-02-11,0.00,8.7,16.1,23.6
2021-02-12,0.00,8.1,16.1,24.3
2021-02-13,0.00,9.1,15.9,22.6
2021-02-14,0.00,8.6,14.8,20.9
2021-02-15,0.00,6.5,12.5,18.6
2021-02-16,0.00,5.5,11.8,18.1
2021-02-17,0.00,7.0,13.6,20.1
2021-02-18,0.00,5.5,12.1,18.6
2021-02-19,0.00,5.8,12.1,18.5
2021-02-20,0.00,5.7,13.8,22.1
2021-02-21,0.00,6.4,15.5,24.8
2021-02-22,0.00,7.3,14.2,21.3
2021-02-23,0.00,6.9,16.0,25.5
2021-02-24,0.00,8.2,16.9,25.9
2021-02-25,0.00,8.4,17.2,26.0
2021-02-26,0.00,6.2,13.1,19.9
2021-02-27,0.00,5.6,13.5,21.5
2021-02-28,0.00,5.2,13.5,21.7
2021-03-01,0.00,5.0,11.1,17.0
2021-03-02,0.00,4.0,12.8,21.6
2021-03-03,0.00,9.7,17.7,25.4
2021-03-04,0.00,9.5,19.2,28.8
2021-03-05,0.00,10.9,15.9,20.6
2021-03-06,0.00,13.3,20.8,28.2
2021-03-07,0.00,13.4,21.5,29.6
2021-03-08,0.00,12.7,21.9,31.0
2021-03-09,0.00,16.9,23.2,29.3
2021-03-10,0.00,10.0,17.7,25.3
2021-03-11,0.00,8.5,14.2,19.8
2021-03-12,2.98,7.7,13.7,19.6
2021-03-13,4.58,6.9,11.1,15.2
2021-03-14,0.10,5.6,10.6,15.5
2021-03-15,0.00,4.9,12.2,19.3
2021-03-16,0.00,8.9,15.7,22.4
2021-03-17,0.00,6.0,10.9,15.7
2021-03-18,0.00,5.6,14.1,22.4
2021-03-19,0.00,8.9,18.2,27.5
2021-03-20,0.00,10.3,19.7,28.9
2021-03-21,0.00,12.0,20.7,29.1
2021-03-22,0.00,12.2,18.5,24.5
2021-03-23,0.00,10.7,16.2,21.5
2021-03-24,0.00,8.7,13.5,18.1
2021-03-25,0.00,8.5,15.0,21.5
2021-03-26,0.00,10.1,15.8,21.5
2021-03-27,0.08,8.8,13.5,18.1
2021-03-28,0.00,8.2,17.1,25.9
2021-03-29,0.00,11.9,21.0,30.1
2021-03-30,0.00,13.2,22.0,30.8
2021-03-31,0.00,13.0,21.2,29.3
