PRISM Time Series Data
Location:  Lat: 31.7861   Lon: -110.8239   Elev: 1335m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-09-30 - 2021-03-10
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-09-30,0.00,15.9,24.5,33.2
2020-10-01,0.00,15.7,24.6,33.5
2020-10-02,0.00,16.7,26.0,35.2
2020-10-03,0.00,16.4,25.9,35.5
2020-10-04,0.00,16.7,25.3,33.9
2020-10-05,0.00,15.4,25.1,34.7
2020-10-06,0.00,16.9,25.5,34.1
2020-10-07,0.00,16.3,25.1,33.9
2020-10-08,0.00,15.1,24.7,34.3
2020-10-09,0.00,14.8,23.7,32.7
2020-10-10,0.00,14.7,23.1,31.5
2020-10-11,0.00,14.3,22.2,30.2
2020-10-12,0.00,13.5,21.6,29.7
2020-10-13,0.00,13.6,22.8,32.0
2020-10-14,0.00,15.0,24.4,33.8
2020-10-15,0.00,16.1,24.9,33.6
2020-10-16,0.00,15.1,23.5,32.0
2020-10-17,0.00,14.9,24.6,34.2
2020-10-18,0.00,14.3,23.6,32.9
2020-10-19,0.00,13.5,22.4,31.3
2020-10-20,0.00,13.5,22.6,31.7
2020-10-21,0.00,13.0,22.3,31.5
2020-10-22,0.00,13.4,22.3,31.2
2020-10-23,0.00,14.3,21.5,28.8
2020-10-24,0.00,14.2,21.7,29.2
2020-10-25,0.00,14.6,22.3,30.0
2020-10-26,0.00,13.7,19.7,25.7
2020-10-27,0.47,-1.3,7.8,16.9
2020-10-28,0.00,-1.0,4.6,10.2
2020-10-29,0.00,1.3,9.4,17.5
2020-10-30,0.00,7.4,15.7,24.0
2020-10-31,0.00,8.9,18.3,27.6
2020-11-01,0.00,10.2,19.1,28.0
2020-11-02,0.00,13.5,21.1,28.8
2020-11-03,0.00,14.4,21.1,27.7
2020-11-04,0.00,12.3,20.7,29.1
2020-11-05,0.00,13.4,21.3,29.2
2020-11-06,0.00,14.5,21.7,28.9
2020-11-07,0.00,18.1,23.1,28.0
2020-11-08,1.57,8.9,16.2,23.5
2020-11-09,0.68,6.1,12.1,18.0
2020-11-10,1.47,0.6,5.9,11.3
2020-11-11,0.00,0.4,8.0,15.5
2020-11-12,0.00,1.6,10.9,20.2
2020-11-13,0.00,4.4,11.7,19.0
2020-11-14,0.00,5.9,12.9,20.0
2020-11-15,0.00,5.4,13.2,20.9
2020-11-16,0.00,6.1,15.4,24.6
2020-11-17,0.00,10.7,19.1,27.4
2020-11-18,0.00,12.8,20.9,29.1
2020-11-19,0.00,13.0,21.1,29.2
2020-11-20,0.00,12.6,20.3,27.9
2020-11-21,0.00,11.2,19.0,26.8
2020-11-22,0.00,11.1,18.6,26.1
2020-11-23,0.00,10.4,18.7,27.1
2020-11-24,0.00,8.6,15.8,23.0
2020-11-25,0.00,3.7,10.6,17.6
2020-11-26,0.00,2.5,11.3,20.1
2020-11-27,0.00,2.9,11.3,19.7
2020-11-28,0.00,0.7,7.1,13.5
