ID,Site,Latitude_WGS84,Longitude_WGS84,Ecoregion_Level_3,MAP,MAT,Elevation_ft,Cumulative_Precip,Precip_since_monitor,Date_Seeded,Date_Monitored,Treatment,Sand_Category,Clay_Category,Relative_Seed_Mix,Plot,Seeded_Sps_Fx_Grp,Density,Height,Source
1904,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,A.Control,high,low,NA,21,NA,3,20,Native_Recruited
1969,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,A.Control,high,low,NA,17,NA,0,0,empty
1970,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,A.Control,high,low,NA,25,NA,0,0,empty
1971,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,A.Control,high,low,NA,38,NA,0,0,empty
1894,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,8,perennial forb ,6,8,Seeded
1897,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,43,perennial forb ,5,2,Seeded
1899,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,39,unknown,4,50,Seeded
1903,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,4,NA,4,3,Invasive
1908,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,23,NA,3,3,Native_Recruited
1909,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,33,perennial forb ,3,2,Seeded
1912,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,39,NA,2,30,Native_Recruited
1913,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,18,NA,2,20,Native_Recruited
1914,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,39,NA,2,15,Native_Recruited
1921,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,4,NA,2,5,Native_Recruited
1929,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,39,NA,2,2,Invasive
1931,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,33,NA,1,180,Native_Recruited
1933,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,33,NA,1,100,Native_Recruited
1935,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,8,NA,1,70,Native_Recruited
1936,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,43,NA,1,70,Native_Recruited
1941,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,43,NA,1,45,Invasive
1943,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,23,unknown,1,30,Seeded
1949,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,39,NA,1,12,Native_Recruited
1955,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Warm,18,perennial forb ,1,5,Seeded
1963,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,4,perennial forb,1,2,Seeded
1968,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,ConMod,high,low,Cool,13,NA,0,0,empty
1895,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,10,NA,5,25,Native_Recruited
1906,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,29,perennial forb ,3,4,Seeded
1911,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,24,NA,2,100,Native_Recruited
1924,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,28,perennial forb,2,2,Seeded
1930,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,28,NA,2,2,Invasive
1932,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,22,NA,1,120,Native_Recruited
1934,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,36,NA,1,75,Native_Recruited
1945,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,40,NA,1,20,Native_Recruited
1948,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,10,NA,1,15,Invasive
1950,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,7,shrub,1,10,Seeded
