Region,Site,Date_Seeded,Plot,SitePlotID
Colorado Plateau,AguaFria,2018-09-05,1,1
Colorado Plateau,AguaFria,2018-09-05,2,2
Colorado Plateau,AguaFria,2018-09-05,3,3
Colorado Plateau,AguaFria,2018-09-05,4,4
Colorado Plateau,AguaFria,2018-09-05,5,5
Colorado Plateau,AguaFria,2018-09-05,6,6
Colorado Plateau,AguaFria,2018-09-05,7,7
Colorado Plateau,AguaFria,2018-09-05,8,8
Colorado Plateau,AguaFria,2018-09-05,9,9
Colorado Plateau,AguaFria,2018-09-05,10,10
Colorado Plateau,AguaFria,2018-09-05,11,11
Colorado Plateau,AguaFria,2018-09-05,12,12
Colorado Plateau,AguaFria,2018-09-05,13,13
Colorado Plateau,AguaFria,2018-09-05,14,14
Colorado Plateau,AguaFria,2018-09-05,15,15
Colorado Plateau,AguaFria,2018-09-05,16,16
Colorado Plateau,AguaFria,2018-09-05,17,17
Colorado Plateau,AguaFria,2018-09-05,18,18
Colorado Plateau,AguaFria,2018-09-05,19,19
Colorado Plateau,AguaFria,2018-09-05,20,20
Colorado Plateau,AguaFria,2018-09-05,21,21
Colorado Plateau,AguaFria,2018-09-05,22,22
Colorado Plateau,AguaFria,2018-09-05,23,23
Colorado Plateau,AguaFria,2018-09-05,24,24
Colorado Plateau,AguaFria,2018-09-05,25,25
Colorado Plateau,AguaFria,2018-09-05,26,26
Colorado Plateau,AguaFria,2018-09-05,27,27
Colorado Plateau,AguaFria,2018-09-05,28,28
Colorado Plateau,AguaFria,2018-09-05,29,29
Colorado Plateau,AguaFria,2018-09-05,30,30
Colorado Plateau,AguaFria,2018-09-05,31,31
Colorado Plateau,AguaFria,2018-09-05,32,32
Colorado Plateau,AguaFria,2018-09-05,33,33
Colorado Plateau,AguaFria,2018-09-05,34,34
Colorado Plateau,AguaFria,2018-09-05,35,35
Colorado Plateau,AguaFria,2018-09-05,36,36
Colorado Plateau,BabbittPJ,2018-07-11,1,37
Colorado Plateau,BabbittPJ,2018-07-11,2,38
Colorado Plateau,BabbittPJ,2018-07-11,3,39
Colorado Plateau,BabbittPJ,2018-07-11,4,40
Colorado Plateau,BabbittPJ,2018-07-11,5,41
Colorado Plateau,BabbittPJ,2018-07-11,6,42
Colorado Plateau,BabbittPJ,2018-07-11,7,43
Colorado Plateau,BabbittPJ,2018-07-11,8,44
Colorado Plateau,BabbittPJ,2018-07-11,9,45
Colorado Plateau,BabbittPJ,2018-07-11,10,46
Colorado Plateau,BabbittPJ,2018-07-11,11,47
Colorado Plateau,BabbittPJ,2018-07-11,12,48
Colorado Plateau,BabbittPJ,2018-07-11,13,49
Colorado Plateau,BabbittPJ,2018-07-11,14,50
Colorado Plateau,BabbittPJ,2018-07-11,15,51
Colorado Plateau,BabbittPJ,2018-07-11,16,52
Colorado Plateau,BabbittPJ,2018-07-11,17,53
Colorado Plateau,BabbittPJ,2018-07-11,18,54
Colorado Plateau,BabbittPJ,2018-07-11,19,55
Colorado Plateau,BabbittPJ,2018-07-11,20,56
Colorado Plateau,BabbittPJ,2018-07-11,21,57
Colorado Plateau,BabbittPJ,2018-07-11,22,58
Colorado Plateau,BabbittPJ,2018-07-11,23,59
Colorado Plateau,BabbittPJ,2018-07-11,24,60
Colorado Plateau,BabbittPJ,2018-07-11,25,61
Colorado Plateau,BabbittPJ,2018-07-11,26,62
Colorado Plateau,BabbittPJ,2018-07-11,27,63
Colorado Plateau,BabbittPJ,2018-07-11,28,64
Colorado Plateau,BabbittPJ,2018-07-11,29,65
Colorado Plateau,BabbittPJ,2018-07-11,30,66
Colorado Plateau,BabbittPJ,2018-07-11,31,67
Colorado Plateau,BabbittPJ,2018-07-11,32,68
Colorado Plateau,BabbittPJ,2018-07-11,33,69
Colorado Plateau,BabbittPJ,2018-07-11,34,70
Colorado Plateau,BabbittPJ,2018-07-11,35,71
Colorado Plateau,BabbittPJ,2018-07-11,36,72
Colorado Plateau,BarTBar,2018-07-25,1,73
Colorado Plateau,BarTBar,2018-07-25,2,74
Colorado Plateau,BarTBar,2018-07-25,3,75
