Date,ppt_mm,tmin,tmean,tmax,Site,Region
2020-08-05,0,19.8,28.6,37.3,Creosote,Chihuahuan
2020-08-06,0.72,20.6,28.9,37.2,Creosote,Chihuahuan
2020-08-07,3.32,21.9,28.8,35.8,Creosote,Chihuahuan
2020-08-08,0,19.2,26.2,33.2,Creosote,Chihuahuan
2020-08-09,0.47,19.2,27.4,35.5,Creosote,Chihuahuan
2020-08-10,0,19.8,28.1,36.3,Creosote,Chihuahuan
2020-08-11,0,19.2,28.7,38.3,Creosote,Chihuahuan
2020-08-12,0,19.4,29,38.7,Creosote,Chihuahuan
2020-08-13,0,20.4,29.8,39.1,Creosote,Chihuahuan
2020-08-14,1.98,21.9,30.5,39.1,Creosote,Chihuahuan
2020-08-15,0.01,22.2,30.6,39,Creosote,Chihuahuan
2020-08-16,0.03,22,30.2,38.4,Creosote,Chihuahuan
2020-08-17,0,20.5,28.3,36.1,Creosote,Chihuahuan
2020-08-18,0.08,16.6,25.4,34.2,Creosote,Chihuahuan
2020-08-19,0,16.4,25.4,34.5,Creosote,Chihuahuan
2020-08-20,0,17.2,26.7,36.1,Creosote,Chihuahuan
2020-08-21,0,19.2,28.5,37.7,Creosote,Chihuahuan
2020-08-22,0,19.5,28.7,37.9,Creosote,Chihuahuan
2020-08-23,0,20.4,29,37.6,Creosote,Chihuahuan
2020-08-24,2.76,19,28.2,37.4,Creosote,Chihuahuan
2020-08-25,0.07,18,26.5,34.9,Creosote,Chihuahuan
2020-08-26,0,17.9,26,34.1,Creosote,Chihuahuan
2020-08-27,0,17.2,25.9,34.6,Creosote,Chihuahuan
2020-08-28,0,17.5,26.9,36.3,Creosote,Chihuahuan
2020-08-29,0,18.8,28.5,38.3,Creosote,Chihuahuan
2020-08-30,0,23.3,30.3,37.3,Creosote,Chihuahuan
2020-08-31,0,23.1,28.2,33.3,Creosote,Chihuahuan
2020-09-01,0,19.9,26.8,33.7,Creosote,Chihuahuan
2020-09-02,0.53,15.3,24.3,33.2,Creosote,Chihuahuan
2020-09-03,0,14,23.8,33.6,Creosote,Chihuahuan
2020-09-04,0,15.3,25.9,36.4,Creosote,Chihuahuan
2020-09-05,0,19,27.4,35.8,Creosote,Chihuahuan
2020-09-06,0,17.5,26,34.4,Creosote,Chihuahuan
2020-09-07,0,16.6,25.2,33.7,Creosote,Chihuahuan
2020-09-08,0,17.6,27,36.3,Creosote,Chihuahuan
2020-09-09,17.4,9.8,22.4,34.9,Creosote,Chihuahuan
2020-09-10,2.65,8.6,11.6,14.7,Creosote,Chihuahuan
2020-09-11,0,8.8,12.7,16.6,Creosote,Chihuahuan
2020-09-12,0,11,16.8,22.7,Creosote,Chihuahuan
2020-09-13,0,12.1,18.9,25.7,Creosote,Chihuahuan
2020-09-14,0,12.7,20.4,28.1,Creosote,Chihuahuan
2020-09-15,0,12.3,19.2,26.2,Creosote,Chihuahuan
2020-09-16,0,12.1,20.1,28.1,Creosote,Chihuahuan
2020-09-17,0,12.6,21.9,31.3,Creosote,Chihuahuan
2020-09-18,0,13.4,21.4,29.5,Creosote,Chihuahuan
2020-09-19,0,12.2,20.4,28.6,Creosote,Chihuahuan
2020-09-20,0,11.8,20.2,28.5,Creosote,Chihuahuan
2020-09-21,0,11.3,20.6,29.8,Creosote,Chihuahuan
2020-09-22,0,11.8,21.2,30.7,Creosote,Chihuahuan
2020-09-23,0,11.1,21.6,32.1,Creosote,Chihuahuan
2020-09-24,0,12.7,22.5,32.4,Creosote,Chihuahuan
2020-09-25,0,13,23.1,33.1,Creosote,Chihuahuan
2020-09-26,0,13.3,23.7,34.1,Creosote,Chihuahuan
2020-09-27,0,14.2,24.4,34.7,Creosote,Chihuahuan
