Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Latitude,Longitude,Elevation_ft,Sand_content,Clay_content,MAP,MAT,Cum_precip,Since_last_precip
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,1,32.510883,-106.788656,4484,high,low,266.3,16.2,30.02,30.02
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-08T00:00:00Z,2,32.510883,-106.788656,4484,high,low,266.3,16.2,30.02,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,3,32.510883,-106.788656,4484,high,low,266.3,16.2,46.559999999999995,16.54
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-11-14T00:00:00Z,4,32.510883,-106.788656,4484,high,low,266.3,16.2,46.559999999999995,0.08
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,5,32.510883,-106.788656,4484,high,low,266.3,16.2,51.58,5.0200000000000005
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,6,32.510883,-106.788656,4484,high,low,266.3,16.2,58.3,6.72
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2021-10-11T00:00:00Z,7,32.510883,-106.788656,4484,high,low,266.3,16.2,297.08,238.78
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,8,32.543934,-106.794483,4327,high,low,260.08,15.9,32.66,32.66
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,9,32.543934,-106.794483,4327,high,low,260.08,15.9,51.339999999999996,18.68
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-11-14T00:00:00Z,10,32.543934,-106.794483,4327,high,low,260.08,15.9,51.339999999999996,0.01
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,11,32.543934,-106.794483,4327,high,low,260.08,15.9,56.14,4.8
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,12,32.543934,-106.794483,4327,high,low,260.08,15.9,62.17,6.03
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,32.543934,-106.794483,4327,high,low,260.08,15.9,307.45,245.28
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2018-09-25T00:00:00Z,14,34.171598,-112.122006,3300,low,high,394.36,19,0.95,0.95
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2018-10-10T00:00:00Z,15,34.171598,-112.122006,3300,low,high,394.36,19,107.27,106.32
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2018-10-26T00:00:00Z,16,34.171598,-112.122006,3300,low,high,394.36,19,135.91,28.64
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2018-11-15T00:00:00Z,17,34.171598,-112.122006,3300,low,high,394.36,19,135.91,0
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2018-12-03T00:00:00Z,18,34.171598,-112.122006,3300,low,high,394.36,19,144.96,9.05
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2019-03-28T00:00:00Z,19,34.171598,-112.122006,3300,low,high,394.36,19,392.37,247.41
Colorado Plateau,AguaFria,2018-09-05T00:00:00Z,2019-06-20T00:00:00Z,20,34.171598,-112.122006,3300,low,high,394.36,19,413.17,20.8
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-07-27T00:00:00Z,21,35.60181,-111.935083,6473,low,high,460.3,10.1,82.18,82.18
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-08-14T00:00:00Z,22,35.60181,-111.935083,6473,low,high,460.3,10.1,110.61,28.43
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-08-24T00:00:00Z,23,35.60181,-111.935083,6473,low,high,460.3,10.1,143.78,35.35
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-09-07T00:00:00Z,24,35.60181,-111.935083,6473,low,high,460.3,10.1,172.79,33
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-09-17T00:00:00Z,25,35.60181,-111.935083,6473,low,high,460.3,10.1,172.79,0
Colorado Plateau,BabbittPJ,2018-07-11T00:00:00Z,2018-10-15T00:00:00Z,26,35.60181,-111.935083,6473,low,high,460.3,10.1,261.42,88.63
