Region,Site,Actual_CV,Normals_CV,Difference_CV
Chihuahuan,Creosote,2.054632648756484,1.2620213526256316,0.7926112961308522
Chihuahuan,Mesquite,1.8693856320238924,1.0948328247295736,0.7745528072943189
Colorado Plateau,AguaFria,1.5382944914957173,1.5367428174129092,0.0015516740828080966
Colorado Plateau,BabbittPJ,1.1516071364239926,1.249797786443079,-0.09819065001908633
Colorado Plateau,BarTBar,1.4152928602125734,1.38499464353435,0.0302982166782233
Colorado Plateau,FlyingM,1.195620951574568,1.161063302902341,0.03455764867222699
Colorado Plateau,MOWE,1.5427178486436794,1.3768290032438222,0.16588884539985727
Colorado Plateau,PEFO,1.4120559297263666,1.4018561227658386,0.010199806960528024
Colorado Plateau,Spiderweb,1.049690897580196,1.121787830215324,-0.07209693263512795
Colorado Plateau,TLE,1.4104223184940106,0.9065064273551552,0.5039158911388554
Mojave,29_Palms,0.7123187131759311,0.749482045467059,-0.03716333229112789
Mojave,AVRCD,0.785286403128902,0.6392572865533587,0.1460291165755433
Sonoran Central,Pleasant,0.8202222969037092,0.4171809150400826,0.4030413818636266
Sonoran Central,Preserve,0.7135816884248477,0.31277845738012816,0.40080323104471954
Sonoran Central,Roosevelt,0.5906464060101428,0.23480277639486732,0.3558436296152755
Sonoran Central,SCC,0.8572723494220489,0.18516211352834158,0.6721102358937073
Sonoran SE,Patagonia,0.7268442524343783,0.37346140729136595,0.3533828451430124
Sonoran SE,SRER,0.8173565266836833,0.27387583128830284,0.5434806953953805
Utah,CRC,1.7255141572135657,1.6545463067560338,0.07096785045753196
Utah,Salt_Desert,1.5846132416202015,2.1330380355198444,-0.5484247938996429
Utah,UtahPJ,1.5192214199517207,2.003751520192268,-0.48453010024054755
