Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Chihuahuan,Creosote,1,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,30.02,2020-08-01T00:00:00Z,2020-09-15T00:00:00Z,71.18,-0.5782523180668728,41.16000000000001
Chihuahuan,Creosote,2,2020-08-05T00:00:00Z,2020-10-08T00:00:00Z,0,2020-08-01T00:00:00Z,2020-09-30T00:00:00Z,18.92,-1,18.92
Chihuahuan,Creosote,3,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,16.54,2020-08-01T00:00:00Z,2020-10-31T00:00:00Z,24.84,-0.3341384863123994,8.3
Chihuahuan,Creosote,4,2020-08-05T00:00:00Z,2020-11-14T00:00:00Z,0.08,2020-08-01T00:00:00Z,2020-11-15T00:00:00Z,6.7,-0.9880597014925373,6.62
Chihuahuan,Creosote,5,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,5.0200000000000005,2020-08-01T00:00:00Z,2020-12-15T00:00:00Z,15.27,-0.6712508185985593,10.25
Chihuahuan,Creosote,6,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,6.72,2020-08-01T00:00:00Z,2021-03-15T00:00:00Z,36.105,-0.813876194432904,29.384999999999998
Chihuahuan,Creosote,7,2020-08-05T00:00:00Z,2021-10-11T00:00:00Z,238.78,2020-08-01T00:00:00Z,2021-10-15T00:00:00Z,195.795,0.21954084629331708,-42.985000000000014
Chihuahuan,Mesquite,8,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,32.66,2020-08-01T00:00:00Z,2020-09-15T00:00:00Z,69.575,-0.5305785123966943,36.915000000000006
Chihuahuan,Mesquite,9,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,18.68,2020-08-01T00:00:00Z,2020-10-31T00:00:00Z,42.045,-0.5557141158282792,23.365000000000002
Chihuahuan,Mesquite,10,2020-08-05T00:00:00Z,2020-11-14T00:00:00Z,0.01,2020-08-01T00:00:00Z,2020-11-15T00:00:00Z,6.405,-0.9984387197501952,6.3950000000000005
Chihuahuan,Mesquite,11,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,4.8,2020-08-01T00:00:00Z,2020-12-15T00:00:00Z,14.8,-0.6756756756756757,10
Chihuahuan,Mesquite,12,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,6.03,2020-08-01T00:00:00Z,2021-03-15T00:00:00Z,35.36,-0.8294683257918551,29.33
Chihuahuan,Mesquite,13,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,245.28,2020-08-01T00:00:00Z,2021-09-30T00:00:00Z,178.975,0.3704707361363319,-66.305
Colorado Plateau,AguaFria,14,2018-09-05T00:00:00Z,2018-09-25T00:00:00Z,0.95,2018-09-01T00:00:00Z,2018-09-30T00:00:00Z,37.58,-0.9747205960617349,36.629999999999995
