Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Plot,Treatment,PlotMix,SiteDatePlotID,CodeOriginal,Code,Name,Native,Duration,Lifeform,Count,Height,raw.row,SpeciesSeeded,PlantSource
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,1,Mulch,Med-Warm,1,0,0,0,0,0,0,0,0,1,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,2,Seed,Med-Warm,2,0,0,0,0,0,0,0,0,2,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,3,Control,None,3,0,0,0,0,0,0,0,0,3,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,4,Pits,Med-Warm,4,0,0,0,0,0,0,0,0,4,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,5,Seed,Warm,5,0,0,0,0,0,0,0,0,5,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,6,ConMod,Med-Warm,6,0,0,0,0,0,0,0,0,6,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,7,Mulch,Warm,7,0,0,0,0,0,0,0,0,7,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,8,Seed,Med-Warm,8,0,0,0,0,0,0,0,0,8,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,9,ConMod,Warm,9,0,0,0,0,0,0,0,0,9,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,10,Mulch,Med-Warm,10,0,0,0,0,0,0,0,0,10,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,11,Seed,Warm,11,0,0,0,0,0,0,0,0,11,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,12,ConMod,Med-Warm,12,0,0,0,0,0,0,0,0,12,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,13,Pits,Warm,13,0,0,0,0,0,0,0,0,13,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,14,Control,None,14,0,0,0,0,0,0,0,0,14,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,15,Pits,Med-Warm,15,0,0,0,0,0,0,0,0,15,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,16,Mulch,Warm,16,0,0,0,0,0,0,0,0,16,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,17,Seed,Med-Warm,17,0,0,0,0,0,0,0,0,17,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,18,ConMod,Warm,18,0,0,0,0,0,0,0,0,18,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,19,Seed,Warm,19,0,0,0,0,0,0,0,0,19,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,20,Pits,Warm,20,0,0,0,0,0,0,0,0,20,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,21,ConMod,Med-Warm,21,0,0,0,0,0,0,0,0,21,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,22,Mulch,Med-Warm,22,0,0,0,0,0,0,0,0,22,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,23,Control,None,23,0,0,0,0,0,0,0,0,23,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,24,Mulch,Warm,24,0,0,0,0,0,0,0,0,24,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,25,Pits,Med-Warm,25,0,0,0,0,0,0,0,0,25,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,26,Seed,Med-Warm,26,0,0,0,0,0,0,0,0,26,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,27,ConMod,Warm,27,0,0,0,0,0,0,0,0,27,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,28,Pits,Warm,28,0,0,0,0,0,0,0,0,28,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,29,Mulch,Med-Warm,29,0,0,0,0,0,0,0,0,29,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,30,ConMod,Med-Warm,30,0,0,0,0,0,0,0,0,30,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,31,Pits,Med-Warm,31,0,0,0,0,0,0,0,0,31,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,32,Pits,Warm,32,0,0,0,0,0,0,0,0,32,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,33,Seed,Warm,33,0,0,0,0,0,0,0,0,33,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,34,ConMod,Warm,34,0,0,0,0,0,0,0,0,34,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,35,Control,None,35,0,0,0,0,0,0,0,0,35,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,36,Mulch,Warm,36,0,0,0,0,0,0,0,0,36,0,0
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,1,Mulch,Med-Warm,37,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,4,6,37,No,Unknown_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,1,Mulch,Med-Warm,37,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,47,14,38,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,1,Mulch,Med-Warm,37,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,20,2,39,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,2,Seed,Med-Warm,38,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,1,25,40,Yes,Seeded
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,2,Seed,Med-Warm,38,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,16,16,41,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,2,Seed,Med-Warm,38,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,11,7,42,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,3,Control,None,39,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,11,13,43,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,3,Control,None,39,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,5,3,44,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,4,Pits,Med-Warm,40,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,1,16,45,Yes,Seeded
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,4,Pits,Med-Warm,40,UNGR2,UNGR2.AguaFria,"Unknown grass 2, AguaFria",Native,Unknown,Grass,1,32,46,Yes,Seeded
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,4,Pits,Med-Warm,40,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,19,17,47,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,5,Seed,Warm,41,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,2,6,48,No,Unknown_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,5,Seed,Warm,41,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,60,9,49,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,5,Seed,Warm,41,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,1,4,50,Yes,Seeded
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,5,Seed,Warm,41,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,5,3,51,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,6,ConMod,Med-Warm,42,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,33,18,52,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,6,ConMod,Med-Warm,42,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,8,3,53,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,7,Mulch,Warm,43,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,5,3,54,No,Unknown_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,7,Mulch,Warm,43,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,74,21,55,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,7,Mulch,Warm,43,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,2,4,56,Yes,Seeded
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,7,Mulch,Warm,43,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,14,3,57,No,Introduced/Invasive
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,8,Seed,Med-Warm,44,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,1,2,58,No,Unknown_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,8,Seed,Med-Warm,44,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,29,15,59,No,Native_recruit
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,15,8,Seed,Med-Warm,44,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,2,3,60,No,Introduced/Invasive
