Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID,SiteDateID,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded,ObsSource,PlantSource
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,201,ConMod,Medium,5694,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,201,ConMod,Medium,5694,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,202,Control,None,5695,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,202,Control,None,5695,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,203,Mulch,Medium,5696,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,203,Mulch,Medium,5696,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,203,Mulch,Medium,5696,1,CHAMA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,203,Mulch,Medium,5696,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,204,Seed,Warm,5697,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,204,Seed,Warm,5697,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,205,Mulch,Warm,5698,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,205,Mulch,Warm,5698,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,206,ConMod,Warm,5699,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,206,ConMod,Warm,5699,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,206,ConMod,Warm,5699,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
