Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
ATCO,460,13.172966781214205,0.13172966781214204,Native recruit,total,NA,"Native recruit, total"
SPSP.BarTBar,370,10.595647193585338,0.10595647193585338,Native recruit,total,NA,"Native recruit, total"
HESP.BabbittPJ,315,9.02061855670103,0.09020618556701031,Native recruit,total,NA,"Native recruit, total"
SOEL,253,7.245131729667813,0.07245131729667813,Native recruit,total,NA,"Native recruit, total"
CHAL11,215,6.156930126002291,0.06156930126002291,Native recruit,total,NA,"Native recruit, total"
SCMU6,151,4.324169530355097,0.04324169530355097,Native recruit,total,NA,"Native recruit, total"
CHEN.BabbittPJ,142,4.0664375715922105,0.0406643757159221,Native recruit,total,NA,"Native recruit, total"
LEPA6,137,3.9232531500572736,0.03923253150057274,Native recruit,total,NA,"Native recruit, total"
SAAB,133,3.8087056128293244,0.038087056128293245,Native recruit,total,NA,"Native recruit, total"
SPSP.TLE,105,3.006872852233677,0.03006872852233677,Native recruit,total,NA,"Native recruit, total"
DEPI,94,2.691867124856816,0.026918671248568157,Native recruit,total,NA,"Native recruit, total"
ATCA2,88,2.520045819014891,0.025200458190148912,Native recruit,total,NA,"Native recruit, total"
BOSPP.FlyingM,86,2.4627720504009165,0.024627720504009167,Native recruit,total,NA,"Native recruit, total"
SPSP.FlyingM,86,2.4627720504009165,0.024627720504009167,Native recruit,total,NA,"Native recruit, total"
CHCO2,83,2.376861397479954,0.02376861397479954,Native recruit,total,NA,"Native recruit, total"
SPAI,82,2.348224513172967,0.023482245131729668,Native recruit,total,NA,"Native recruit, total"
UNGR1.PEFO,81,2.3195876288659796,0.023195876288659795,Native recruit,total,NA,"Native recruit, total"
HECI,78,2.2336769759450172,0.022336769759450172,Native recruit,total,NA,"Native recruit, total"
MEMO4,78,2.2336769759450172,0.022336769759450172,Native recruit,total,NA,"Native recruit, total"
DAPU7,75,2.147766323024055,0.02147766323024055,Native recruit,total,NA,"Native recruit, total"
LILE3,74,2.1191294387170676,0.021191294387170677,Native recruit,total,NA,"Native recruit, total"
BOSPP.BarTBar,70,2.004581901489118,0.020045819014891178,Native recruit,total,NA,"Native recruit, total"
GUSA2,68,1.9473081328751431,0.019473081328751432,Native recruit,total,NA,"Native recruit, total"
UNFO9.BarTBar,59,1.6895761741122566,0.016895761741122565,Native recruit,total,NA,"Native recruit, total"
TOIN,57,1.632302405498282,0.01632302405498282,Native recruit,total,NA,"Native recruit, total"
UNGR3.AguaFria,56,1.6036655211912942,0.016036655211912942,Native recruit,total,NA,"Native recruit, total"
SARE3,53,1.5177548682703321,0.015177548682703322,Native recruit,total,NA,"Native recruit, total"
UNGR3.PEFO,52,1.4891179839633446,0.014891179839633445,Native recruit,total,NA,"Native recruit, total"
CRCR3,51,1.4604810996563573,0.014604810996563572,Native recruit,total,NA,"Native recruit, total"
MAGR10,51,1.4604810996563573,0.014604810996563572,Native recruit,total,NA,"Native recruit, total"
PHSPP.BabbittPJ,50,1.43184421534937,0.0143184421534937,Native recruit,total,NA,"Native recruit, total"
