Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
ATCO,460,13.172966781214205,0.13172966781214204,Native recruit,total,NA,"Native recruit, total"
SOEL,253,7.245131729667813,0.07245131729667813,Native recruit,total,NA,"Native recruit, total"
LEPA6,137,3.9232531500572736,0.03923253150057274,Native recruit,total,NA,"Native recruit, total"
ATCO,281,12.7959927140255,0.127959927140255,Native recruit,wetter,NA,"Native recruit, wetter"
LEPA6,137,6.238615664845173,0.06238615664845173,Native recruit,wetter,NA,"Native recruit, wetter"
SOEL,121,5.510018214936248,0.05510018214936248,Native recruit,wetter,NA,"Native recruit, wetter"
ATCO,179,13.811728395061728,0.1381172839506173,Native recruit,drier,NA,"Native recruit, drier"
SOEL,132,10.185185185185185,0.10185185185185185,Native recruit,drier,NA,"Native recruit, drier"
LEPA6,137,6.238615664845173,0.06238615664845173,Native recruit,very wet,NA,"Native recruit, very wet"
ATCO,82,3.7340619307832426,0.037340619307832425,Native recruit,very wet,NA,"Native recruit, very wet"
SOEL,27,1.2295081967213115,0.012295081967213115,Native recruit,very wet,NA,"Native recruit, very wet"
SOEL,100,7.716049382716049,0.07716049382716049,Native recruit,very dry,NA,"Native recruit, very dry"
ATCO,48,3.7037037037037033,0.037037037037037035,Native recruit,very dry,NA,"Native recruit, very dry"
SATR12,876,25.085910652920962,0.2508591065292096,Invasive,total,NA,"Invasive, total"
SATR12,526,23.95264116575592,0.2395264116575592,Invasive,wetter,NA,"Invasive, wetter"
SATR12,350,27.00617283950617,0.2700617283950617,Invasive,drier,NA,"Invasive, drier"
SATR12,115,11.831275720164609,0.11831275720164608,Invasive,very wet,NA,"Invasive, very wet"
SATR12,82,15.185185185185185,0.15185185185185185,Invasive,very dry,NA,"Invasive, very dry"
LILE3,189,26.25,0.2625,Current mix,total,"BarTBar, FlyingM","Current mix, total"
PASM,130,18.055555555555554,0.18055555555555552,Current mix,total,"BarTBar, FlyingM","Current mix, total"
DACA7,116,16.11111111111111,0.1611111111111111,Current mix,total,"BarTBar, FlyingM","Current mix, total"
LECI4,49,15.312500000000002,0.153125,Current mix,total,"BabbittPJ, TLE","Current mix, total"
HEBO,44,13.750000000000002,0.1375,Current mix,total,"BabbittPJ, TLE","Current mix, total"
HECO26,33,10.3125,0.103125,Current mix,total,"BabbittPJ, TLE","Current mix, total"
ELEL5,74,10.277777777777777,0.10277777777777777,Current mix,total,"BarTBar, FlyingM","Current mix, total"
LILE3,175,35.28225806451613,0.35282258064516125,Current mix,wetter,"BarTBar, FlyingM","Current mix, wetter"
DACA7,109,21.975806451612904,0.21975806451612903,Current mix,wetter,"BarTBar, FlyingM","Current mix, wetter"
PASM,108,21.774193548387096,0.21774193548387097,Current mix,wetter,"BarTBar, FlyingM","Current mix, wetter"
LECI4,38,19.791666666666664,0.19791666666666663,Current mix,wetter,"BabbittPJ, TLE","Current mix, wetter"
HEBO,33,17.1875,0.171875,Current mix,wetter,"BabbittPJ, TLE","Current mix, wetter"
