Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
LILE3,189,26.25,0.2625,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
PASM,130,18.055555555555554,0.18055555555555552,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
DACA7,116,16.11111111111111,0.1611111111111111,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
LECI4,49,15.312500000000002,0.153125,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
HEBO,44,13.750000000000002,0.1375,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
ACMI2,82,11.38888888888889,0.11388888888888889,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
HECO26,33,10.3125,0.103125,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
ELEL5,74,10.277777777777777,0.10277777777777777,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
ELTR7,22,6.875000000000001,0.06875,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
ELWA2,21,6.5625,0.065625,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
BOGR2,43,5.972222222222222,0.059722222222222225,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
MATA2,48,3.899268887083672,0.03899268887083672,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
PEPA8,35,2.843216896831844,0.02843216896831844,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
SPCR,26,2.1121039805036554,0.021121039805036556,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
POSE,19,1.543460601137287,0.01543460601137287,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
PLJA,15,1.2185215272136474,0.012185215272136474,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
KRLA2,13,1.0560519902518277,0.010560519902518278,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
SPGR2,2,0.625,0.00625,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
BOER4,4,0.3249390739236393,0.003249390739236393,Current mix,Total,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Total"
PSSP6,1,0.3125,0.003125,Current mix,Total,"BabbittPJ, TLE","Current mix, Total"
HEMU3,1,0.1388888888888889,0.001388888888888889,Current mix,Total,"BarTBar, FlyingM","Current mix, Total"
LILE3,175,35.28225806451613,0.35282258064516125,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
DACA7,109,21.975806451612904,0.21975806451612903,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
PASM,108,21.774193548387096,0.21774193548387097,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
LECI4,38,19.791666666666664,0.19791666666666663,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
HEBO,33,17.1875,0.171875,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
ACMI2,81,16.33064516129032,0.1633064516129032,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
ELEL5,64,12.903225806451612,0.12903225806451613,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
ELTR7,20,10.416666666666668,0.10416666666666669,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
ELWA2,19,9.895833333333332,0.09895833333333331,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
HECO26,19,9.895833333333332,0.09895833333333331,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
BOGR2,38,7.661290322580645,0.07661290322580645,Current mix,Wetter,"BarTBar, FlyingM","Current mix, Wetter"
MATA2,47,6.002554278416347,0.06002554278416347,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
PEPA8,31,3.959131545338442,0.03959131545338442,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
KRLA2,11,1.40485312899106,0.0140485312899106,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
POSE,9,1.1494252873563218,0.011494252873563218,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
SPCR,8,1.0217113665389528,0.010217113665389528,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
PSSP6,1,0.5208333333333333,0.005208333333333332,Current mix,Wetter,"BabbittPJ, TLE","Current mix, Wetter"
BOER4,3,0.38314176245210724,0.003831417624521072,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
PLJA,2,0.2554278416347382,0.002554278416347382,Current mix,Wetter,"AguaFria, MOWE, PEFO, Spiderweb","Current mix, Wetter"
HECO26,14,10.9375,0.109375,Current mix,Drier,"BabbittPJ, TLE","Current mix, Drier"
PASM,22,9.821428571428571,0.09821428571428571,Current mix,Drier,"BarTBar, FlyingM","Current mix, Drier"
HEBO,11,8.59375,0.0859375,Current mix,Drier,"BabbittPJ, TLE","Current mix, Drier"
LECI4,11,8.59375,0.0859375,Current mix,Drier,"BabbittPJ, TLE","Current mix, Drier"
LILE3,14,6.25,0.0625,Current mix,Drier,"BarTBar, FlyingM","Current mix, Drier"
ELEL5,10,4.464285714285714,0.044642857142857144,Current mix,Drier,"BarTBar, FlyingM","Current mix, Drier"
