Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
BAMU,217,26.113116726835138,0.2611311672683514,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
ASTU,108,12.996389891696749,0.1299638989169675,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
SECO10,90,10.830324909747292,0.10830324909747292,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
LILE3,62,8.61111111111111,0.08611111111111111,Projected mix,total,BabbitPJ,"Projected mix, total"
PASM,56,7.777777777777778,0.07777777777777778,Projected mix,total,BabbitPJ,"Projected mix, total"
ACHY,62,7.460890493381468,0.07460890493381468,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
ELEL5,33,4.583333333333333,0.04583333333333333,Projected mix,total,BabbitPJ,"Projected mix, total"
BOER4,48,3.899268887083672,0.03899268887083672,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
POSE,46,3.736799350121852,0.03736799350121852,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
ACMI2,24,3.3333333333333335,0.03333333333333333,Projected mix,total,BabbitPJ,"Projected mix, total"
KRLA2,40,3.249390739236393,0.03249390739236393,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
PLJA,30,2.4370430544272947,0.024370430544272948,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
BOCU,20,2.406738868832732,0.024067388688327317,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
ARPU9,15,1.8050541516245486,0.018050541516245487,Projected mix,total,"AguaFria, MOWE, PEFO, Spiderweb, TLE","Projected mix, total"
BOGR2,9,1.25,0.0125,Projected mix,total,BabbitPJ,"Projected mix, total"
HEMU3,9,1.25,0.0125,Projected mix,total,BabbitPJ,"Projected mix, total"
SPCR,10,0.8123476848090982,0.008123476848090982,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
DACA7,3,0.4166666666666667,0.004166666666666667,Projected mix,total,BabbitPJ,"Projected mix, total"
MATA2,4,0.3249390739236393,0.003249390739236393,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
PEPA8,4,0.3249390739236393,0.003249390739236393,Projected mix,total,"BarTBar, FlyingM","Projected mix, total"
