Code,n,perc_freq,Frequency,Plant,Plot,Type
LOHU2,253,21.961805555555554,0.21961805555555552,Native recruit,total,"Native recruit, total"
LOAR12,240,20.833333333333336,0.20833333333333337,Native recruit,total,"Native recruit, total"
CHPO12,173,15.01736111111111,0.1501736111111111,Native recruit,total,"Native recruit, total"
PERE,145,12.586805555555555,0.12586805555555555,Native recruit,total,"Native recruit, total"
VUOC,133,11.54513888888889,0.1154513888888889,Native recruit,total,"Native recruit, total"
PLAR,131,11.371527777777777,0.11371527777777776,Native recruit,total,"Native recruit, total"
LAGR10,130,11.284722222222223,0.11284722222222224,Native recruit,total,"Native recruit, total"
AMCO3,117,10.15625,0.1015625,Native recruit,total,"Native recruit, total"
CRYSPP.SRER,96,8.333333333333332,0.08333333333333331,Native recruit,total,"Native recruit, total"
PEPL,93,8.072916666666668,0.08072916666666669,Native recruit,total,"Native recruit, total"
PEHE,92,7.986111111111111,0.0798611111111111,Native recruit,total,"Native recruit, total"
DICA14,87,7.552083333333333,0.07552083333333333,Native recruit,total,"Native recruit, total"
PLPA2,87,7.552083333333333,0.07552083333333333,Native recruit,total,"Native recruit, total"
LUCO,70,6.076388888888888,0.06076388888888888,Native recruit,total,"Native recruit, total"
PSCA11,70,6.076388888888888,0.06076388888888888,Native recruit,total,"Native recruit, total"
ASNU4,66,5.729166666666666,0.05729166666666666,Native recruit,total,"Native recruit, total"
ARAD,63,5.46875,0.0546875,Native recruit,total,"Native recruit, total"
PLPR3,62,5.381944444444445,0.05381944444444445,Native recruit,total,"Native recruit, total"
MENSPP.SRER,60,5.208333333333334,0.05208333333333334,Native recruit,total,"Native recruit, total"
ERPA11,57,4.947916666666666,0.04947916666666666,Native recruit,total,"Native recruit, total"
LACA7,51,4.427083333333334,0.04427083333333334,Native recruit,total,"Native recruit, total"
MONU,49,4.253472222222222,0.042534722222222224,Native recruit,total,"Native recruit, total"
AMMEI2,46,3.9930555555555554,0.03993055555555555,Native recruit,total,"Native recruit, total"
LOSTT,46,3.9930555555555554,0.03993055555555555,Native recruit,total,"Native recruit, total"
PECTO,46,3.9930555555555554,0.03993055555555555,Native recruit,total,"Native recruit, total"
CACI2,44,3.8194444444444446,0.03819444444444445,Native recruit,total,"Native recruit, total"
MEAL6,40,3.4722222222222223,0.034722222222222224,Native recruit,total,"Native recruit, total"
SIDSPP.SRER,39,3.3854166666666665,0.033854166666666664,Native recruit,total,"Native recruit, total"
MOVE,36,3.125,0.03125,Native recruit,total,"Native recruit, total"
GIST,35,3.038194444444444,0.03038194444444444,Native recruit,total,"Native recruit, total"
CRYPT.Pleasant,34,2.951388888888889,0.029513888888888888,Native recruit,total,"Native recruit, total"
SIAN2,34,2.951388888888889,0.029513888888888888,Native recruit,total,"Native recruit, total"
DAPU3,32,2.7777777777777777,0.027777777777777776,Native recruit,total,"Native recruit, total"
LOSQ,32,2.7777777777777777,0.027777777777777776,Native recruit,total,"Native recruit, total"
ESCA2,30,2.604166666666667,0.02604166666666667,Native recruit,total,"Native recruit, total"
TRMU,30,2.604166666666667,0.02604166666666667,Native recruit,total,"Native recruit, total"
LUSP2,28,2.430555555555556,0.02430555555555556,Native recruit,total,"Native recruit, total"
SACO6,28,2.430555555555556,0.02430555555555556,Native recruit,total,"Native recruit, total"
DAPU7,27,2.34375,0.0234375,Native recruit,total,"Native recruit, total"
STGN,27,2.34375,0.0234375,Native recruit,total,"Native recruit, total"
CRAN4,26,2.256944444444444,0.02256944444444444,Native recruit,total,"Native recruit, total"
HAPAA,26,2.256944444444444,0.02256944444444444,Native recruit,total,"Native recruit, total"
CRCO34,25,2.170138888888889,0.021701388888888888,Native recruit,total,"Native recruit, total"
GILSPP.SRER,23,1.9965277777777777,0.019965277777777776,Native recruit,total,"Native recruit, total"
LELA,23,1.9965277777777777,0.019965277777777776,Native recruit,total,"Native recruit, total"
DEPI,22,1.9097222222222223,0.019097222222222224,Native recruit,total,"Native recruit, total"
PANSPP.SRER,22,1.9097222222222223,0.019097222222222224,Native recruit,total,"Native recruit, total"
ACASPP.SRER,21,1.8229166666666667,0.018229166666666668,Native recruit,total,"Native recruit, total"
BOUSPP.SRER,21,1.8229166666666667,0.018229166666666668,Native recruit,total,"Native recruit, total"
CHAL11,20,1.7361111111111112,0.017361111111111112,Native recruit,total,"Native recruit, total"
PACA6,20,1.7361111111111112,0.017361111111111112,Native recruit,total,"Native recruit, total"
BRASPP.SRER,19,1.6493055555555556,0.016493055555555556,Native recruit,total,"Native recruit, total"
ERDI2,19,1.6493055555555556,0.016493055555555556,Native recruit,total,"Native recruit, total"
UNFO_S_3.SRER,19,1.6493055555555556,0.016493055555555556,Native recruit,total,"Native recruit, total"
STMI2,18,1.5625,0.015625,Native recruit,total,"Native recruit, total"
BOAR,17,1.4756944444444444,0.014756944444444444,Native recruit,total,"Native recruit, total"
LOGR4,17,1.4756944444444444,0.014756944444444444,Native recruit,total,"Native recruit, total"
MAGR10,17,1.4756944444444444,0.014756944444444444,Native recruit,total,"Native recruit, total"
ERER2,16,1.3888888888888888,0.013888888888888888,Native recruit,total,"Native recruit, total"
KAGR,15,1.3020833333333335,0.013020833333333336,Native recruit,total,"Native recruit, total"
BORO2,14,1.215277777777778,0.01215277777777778,Native recruit,total,"Native recruit, total"
CHAB2,14,1.215277777777778,0.01215277777777778,Native recruit,total,"Native recruit, total"
CHHY3,14,1.215277777777778,0.01215277777777778,Native recruit,total,"Native recruit, total"
MAGL3,14,1.215277777777778,0.01215277777777778,Native recruit,total,"Native recruit, total"
SECO10,14,1.215277777777778,0.01215277777777778,Native recruit,total,"Native recruit, total"
BOIN,13,1.128472222222222,0.01128472222222222,Native recruit,total,"Native recruit, total"
COCA8,13,1.128472222222222,0.01128472222222222,Native recruit,total,"Native recruit, total"
EVAR,13,1.128472222222222,0.01128472222222222,Native recruit,total,"Native recruit, total"
