Code,n,perc_freq,Frequency,Plant,Plot,Type
LOHU2,253,21.961805555555554,0.21961805555555552,Native recruit,total,"Native recruit, total"
LOAR12,240,20.833333333333336,0.20833333333333337,Native recruit,total,"Native recruit, total"
VUOC,133,11.54513888888889,0.1154513888888889,Native recruit,total,"Native recruit, total"
LOAR12,91,25.27777777777778,0.25277777777777777,Native recruit,wetter,"Native recruit, wetter"
LOHU2,61,16.944444444444446,0.16944444444444445,Native recruit,wetter,"Native recruit, wetter"
VUOC,46,12.777777777777777,0.12777777777777777,Native recruit,wetter,"Native recruit, wetter"
LOHU2,192,24.242424242424242,0.24242424242424243,Native recruit,drier,"Native recruit, drier"
LOAR12,149,18.81313131313131,0.18813131313131312,Native recruit,drier,"Native recruit, drier"
VUOC,87,10.984848484848484,0.10984848484848485,Native recruit,drier,"Native recruit, drier"
LOAR12,57,31.666666666666664,0.31666666666666665,Native recruit,very wet,"Native recruit, very wet"
VUOC,39,21.666666666666668,0.21666666666666667,Native recruit,very wet,"Native recruit, very wet"
LOHU2,38,21.11111111111111,0.2111111111111111,Native recruit,very wet,"Native recruit, very wet"
LOHU2,103,35.76388888888889,0.35763888888888895,Native recruit,very dry,"Native recruit, very dry"
LOAR12,70,24.305555555555554,0.24305555555555552,Native recruit,very dry,"Native recruit, very dry"
VUOC,41,14.23611111111111,0.1423611111111111,Native recruit,very dry,"Native recruit, very dry"
ERCI6,387,33.59375,0.3359375,Invasive,total,"Invasive, total"
SCBA,325,28.211805555555557,0.2821180555555556,Invasive,total,"Invasive, total"
BRRU2,193,16.75347222222222,0.1675347222222222,Invasive,total,"Invasive, total"
ERCI6,131,36.388888888888886,0.3638888888888889,Invasive,wetter,"Invasive, wetter"
SCBA,123,34.166666666666664,0.3416666666666666,Invasive,wetter,"Invasive, wetter"
BRRU2,65,18.055555555555554,0.18055555555555552,Invasive,wetter,"Invasive, wetter"
ERCI6,256,32.323232323232325,0.32323232323232326,Invasive,drier,"Invasive, drier"
SCBA,202,25.5050505050505,0.255050505050505,Invasive,drier,"Invasive, drier"
BRRU2,128,16.161616161616163,0.16161616161616163,Invasive,drier,"Invasive, drier"
SCBA,90,50,0.5,Invasive,very wet,"Invasive, very wet"
ERCI6,89,49.44444444444444,0.4944444444444444,Invasive,very wet,"Invasive, very wet"
BRRU2,32,17.77777777777778,0.17777777777777778,Invasive,very wet,"Invasive, very wet"
ERCI6,139,48.26388888888889,0.48263888888888895,Invasive,very dry,"Invasive, very dry"
SCBA,110,38.19444444444444,0.3819444444444444,Invasive,very dry,"Invasive, very dry"
BRRU2,98,34.02777777777778,0.3402777777777778,Invasive,very dry,"Invasive, very dry"
SACO6,137,42.8125,0.428125,Current mix,total,"Current mix, total"
LUSP2,136,42.5,0.425,Current mix,total,"Current mix, total"
ARPU9,180,35.15625,0.3515625,Projected mix,total,"Projected mix, total"
SECO10,146,28.515625,0.28515625,Projected mix,total,"Projected mix, total"
PLOV,87,27.187499999999996,0.271875,Projected mix,total,"Projected mix, total"
ARPU9,101,63.125,0.63125,Projected mix,wetter,"Projected mix, wetter"
LUSP2,58,60.416666666666664,0.6041666666666666,Current mix,wetter,"Current mix, wetter"
SACO6,58,60.416666666666664,0.6041666666666666,Current mix,wetter,"Current mix, wetter"
PLOV,48,50,0.5,Projected mix,wetter,"Projected mix, wetter"
SECO10,44,27.500000000000004,0.275,Projected mix,wetter,"Projected mix, wetter"
SACO6,79,35.267857142857146,0.35267857142857145,Current mix,drier,"Current mix, drier"
LUSP2,78,34.82142857142857,0.3482142857142857,Current mix,drier,"Current mix, drier"
SECO10,102,28.97727272727273,0.2897727272727273,Projected mix,drier,"Projected mix, drier"
ARPU9,79,22.443181818181817,0.22443181818181818,Projected mix,drier,"Projected mix, drier"
PLOV,39,17.410714285714285,0.17410714285714285,Projected mix,drier,"Projected mix, drier"
LUSP2,42,87.5,0.875,Current mix,very wet,"Current mix, very wet"
SACO6,42,87.5,0.875,Current mix,very wet,"Current mix, very wet"
PLOV,32,66.66666666666666,0.6666666666666665,Projected mix,very wet,"Projected mix, very wet"
ARPU9,53,66.25,0.6625,Projected mix,very wet,"Projected mix, very wet"
SECO10,7,8.75,0.0875,Projected mix,very wet,"Projected mix, very wet"
SACO6,55,49.107142857142854,0.49107142857142855,Current mix,very dry,"Current mix, very dry"
LUSP2,45,40.17857142857143,0.4017857142857143,Current mix,very dry,"Current mix, very dry"
PLOV,29,25.892857142857146,0.25892857142857145,Projected mix,very dry,"Projected mix, very dry"
SECO10,33,25.78125,0.2578125,Projected mix,very dry,"Projected mix, very dry"
ARPU9,4,3.125,0.03125,Projected mix,very dry,"Projected mix, very dry"
Empty,238,20.65972222222222,0.2065972222222222,Empty,total,"Empty, total"
Empty,27,7.5,0.075,Empty,wetter,"Empty, wetter"
Empty,211,26.641414141414145,0.26641414141414144,Empty,drier,"Empty, drier"
Empty,2,1.1111111111111112,0.011111111111111112,Empty,very wet,"Empty, very wet"
Empty,81,28.125,0.28125,Empty,very dry,"Empty, very dry"
