Code,n,perc_freq,Frequency,Plant,Plot,Type
LOHU2,192,24.242424242424242,0.24242424242424243,Native recruit,Drier,"Native recruit, Drier"
LOAR12,149,18.81313131313131,0.18813131313131312,Native recruit,Drier,"Native recruit, Drier"
CHPO12,124,15.656565656565657,0.15656565656565657,Native recruit,Drier,"Native recruit, Drier"
AMCO3,111,14.015151515151514,0.14015151515151514,Native recruit,Drier,"Native recruit, Drier"
PLAR,107,13.51010101010101,0.1351010101010101,Native recruit,Drier,"Native recruit, Drier"
PERE,106,13.383838383838384,0.13383838383838384,Native recruit,Drier,"Native recruit, Drier"
VUOC,87,10.984848484848484,0.10984848484848485,Native recruit,Drier,"Native recruit, Drier"
CRYSPP.SRER,83,10.47979797979798,0.10479797979797979,Native recruit,Drier,"Native recruit, Drier"
PEPL,73,9.217171717171716,0.09217171717171717,Native recruit,Drier,"Native recruit, Drier"
PLPA2,68,8.585858585858585,0.08585858585858584,Native recruit,Drier,"Native recruit, Drier"
LOHU2,103,13.005050505050505,0.13005050505050506,Native recruit,Driest,"Native recruit, Driest"
PLAR,75,9.469696969696969,0.09469696969696968,Native recruit,Driest,"Native recruit, Driest"
PERE,71,8.964646464646464,0.08964646464646464,Native recruit,Driest,"Native recruit, Driest"
LOAR12,70,8.83838383838384,0.0883838383838384,Native recruit,Driest,"Native recruit, Driest"
CHPO12,58,7.3232323232323235,0.07323232323232323,Native recruit,Driest,"Native recruit, Driest"
PEPL,52,6.565656565656567,0.06565656565656566,Native recruit,Driest,"Native recruit, Driest"
LACA7,50,6.313131313131313,0.06313131313131314,Native recruit,Driest,"Native recruit, Driest"
PEHE,48,6.0606060606060606,0.06060606060606061,Native recruit,Driest,"Native recruit, Driest"
PLPA2,45,5.681818181818182,0.056818181818181816,Native recruit,Driest,"Native recruit, Driest"
VUOC,41,5.1767676767676765,0.05176767676767677,Native recruit,Driest,"Native recruit, Driest"
LOHU2,253,21.961805555555554,0.21961805555555552,Native recruit,Total,"Native recruit, Total"
LOAR12,240,20.833333333333336,0.20833333333333337,Native recruit,Total,"Native recruit, Total"
CHPO12,173,15.01736111111111,0.1501736111111111,Native recruit,Total,"Native recruit, Total"
PERE,145,12.586805555555555,0.12586805555555555,Native recruit,Total,"Native recruit, Total"
VUOC,133,11.54513888888889,0.1154513888888889,Native recruit,Total,"Native recruit, Total"
PLAR,131,11.371527777777777,0.11371527777777776,Native recruit,Total,"Native recruit, Total"
LAGR10,130,11.284722222222223,0.11284722222222224,Native recruit,Total,"Native recruit, Total"
AMCO3,117,10.15625,0.1015625,Native recruit,Total,"Native recruit, Total"
CRYSPP.SRER,96,8.333333333333332,0.08333333333333331,Native recruit,Total,"Native recruit, Total"
PEPL,93,8.072916666666668,0.08072916666666669,Native recruit,Total,"Native recruit, Total"
LOAR12,91,25.27777777777778,0.25277777777777777,Native recruit,Wetter,"Native recruit, Wetter"
LAGR10,65,18.055555555555554,0.18055555555555552,Native recruit,Wetter,"Native recruit, Wetter"
PLPR3,62,17.22222222222222,0.17222222222222222,Native recruit,Wetter,"Native recruit, Wetter"
LOHU2,61,16.944444444444446,0.16944444444444445,Native recruit,Wetter,"Native recruit, Wetter"
PSCA11,50,13.88888888888889,0.1388888888888889,Native recruit,Wetter,"Native recruit, Wetter"
CHPO12,49,13.61111111111111,0.1361111111111111,Native recruit,Wetter,"Native recruit, Wetter"
VUOC,46,12.777777777777777,0.12777777777777777,Native recruit,Wetter,"Native recruit, Wetter"
DICA14,41,11.38888888888889,0.11388888888888889,Native recruit,Wetter,"Native recruit, Wetter"
PERE,39,10.833333333333334,0.10833333333333334,Native recruit,Wetter,"Native recruit, Wetter"
GIST,35,9.722222222222223,0.09722222222222224,Native recruit,Wetter,"Native recruit, Wetter"
LOAR12,57,15.833333333333332,0.15833333333333333,Native recruit,Wettest,"Native recruit, Wettest"
VUOC,39,10.833333333333334,0.10833333333333334,Native recruit,Wettest,"Native recruit, Wettest"
LOHU2,38,10.555555555555555,0.10555555555555556,Native recruit,Wettest,"Native recruit, Wettest"
GIST,35,9.722222222222223,0.09722222222222224,Native recruit,Wettest,"Native recruit, Wettest"
LAGR10,33,9.166666666666666,0.09166666666666666,Native recruit,Wettest,"Native recruit, Wettest"
MEAL6,32,8.88888888888889,0.08888888888888889,Native recruit,Wettest,"Native recruit, Wettest"
PSCA11,32,8.88888888888889,0.08888888888888889,Native recruit,Wettest,"Native recruit, Wettest"
PLPR3,31,8.61111111111111,0.08611111111111111,Native recruit,Wettest,"Native recruit, Wettest"
ESCA2,29,8.055555555555555,0.08055555555555555,Native recruit,Wettest,"Native recruit, Wettest"
PEHE,29,8.055555555555555,0.08055555555555555,Native recruit,Wettest,"Native recruit, Wettest"
