Code,n,perc_freq,Frequency,Plant,Plot,Type
SACO6,137,42.8125,0.428125,Current mix,Total,"Current mix, Total"
LUSP2,136,42.5,0.425,Current mix,Total,"Current mix, Total"
SPAM2,67,20.9375,0.209375,Current mix,Total,"Current mix, Total"
BAMU,83,16.2109375,0.162109375,Current mix,Total,"Current mix, Total"
MATA2,30,15.625,0.15625,Current mix,Total,"Current mix, Total"
DICA8,32,10,0.1,Current mix,Total,"Current mix, Total"
AMDE4,22,6.875000000000001,0.06875,Current mix,Total,"Current mix, Total"
SPCR,31,6.0546875,0.060546875,Current mix,Total,"Current mix, Total"
ELEL5,11,5.729166666666666,0.05729166666666666,Current mix,Total,"Current mix, Total"
POSE,11,5.729166666666666,0.05729166666666666,Current mix,Total,"Current mix, Total"
BOGR2,6,3.125,0.03125,Current mix,Total,"Current mix, Total"
HEMU3,1,0.5208333333333333,0.005208333333333332,Current mix,Total,"Current mix, Total"
LUSP2,58,60.416666666666664,0.6041666666666666,Current mix,Wetter,"Current mix, Wetter"
SACO6,58,60.416666666666664,0.6041666666666666,Current mix,Wetter,"Current mix, Wetter"
MATA2,19,29.6875,0.296875,Current mix,Wetter,"Current mix, Wetter"
BAMU,38,23.75,0.2375,Current mix,Wetter,"Current mix, Wetter"
SPAM2,20,20.833333333333336,0.20833333333333337,Current mix,Wetter,"Current mix, Wetter"
DICA8,19,19.791666666666664,0.19791666666666663,Current mix,Wetter,"Current mix, Wetter"
ELEL5,11,17.1875,0.171875,Current mix,Wetter,"Current mix, Wetter"
SPCR,18,11.25,0.1125,Current mix,Wetter,"Current mix, Wetter"
BOGR2,6,9.375,0.09375,Current mix,Wetter,"Current mix, Wetter"
POSE,5,7.8125,0.078125,Current mix,Wetter,"Current mix, Wetter"
AMDE4,4,4.166666666666666,0.04166666666666666,Current mix,Wetter,"Current mix, Wetter"
HEMU3,1,1.5625,0.015625,Current mix,Wetter,"Current mix, Wetter"
SACO6,79,35.267857142857146,0.35267857142857145,Current mix,Drier,"Current mix, Drier"
LUSP2,78,34.82142857142857,0.3482142857142857,Current mix,Drier,"Current mix, Drier"
SPAM2,47,20.982142857142858,0.20982142857142858,Current mix,Drier,"Current mix, Drier"
BAMU,45,12.784090909090908,0.1278409090909091,Current mix,Drier,"Current mix, Drier"
MATA2,11,8.59375,0.0859375,Current mix,Drier,"Current mix, Drier"
AMDE4,18,8.035714285714286,0.08035714285714286,Current mix,Drier,"Current mix, Drier"
DICA8,13,5.803571428571429,0.05803571428571429,Current mix,Drier,"Current mix, Drier"
POSE,6,4.6875,0.046875,Current mix,Drier,"Current mix, Drier"
SPCR,13,3.6931818181818183,0.036931818181818184,Current mix,Drier,"Current mix, Drier"
LUSP2,42,87.5,0.875,Current mix,Wettest,"Current mix, Wettest"
SACO6,42,87.5,0.875,Current mix,Wettest,"Current mix, Wettest"
ELEL5,11,34.375,0.34375,Current mix,Wettest,"Current mix, Wettest"
BAMU,25,31.25,0.3125,Current mix,Wettest,"Current mix, Wettest"
DICA8,13,27.083333333333332,0.2708333333333333,Current mix,Wettest,"Current mix, Wettest"
MATA2,5,15.625,0.15625,Current mix,Wettest,"Current mix, Wettest"
SPAM2,6,12.5,0.125,Current mix,Wettest,"Current mix, Wettest"
POSE,4,12.5,0.125,Current mix,Wettest,"Current mix, Wettest"
AMDE4,2,4.166666666666666,0.04166666666666666,Current mix,Wettest,"Current mix, Wettest"
SPCR,3,3.75,0.0375,Current mix,Wettest,"Current mix, Wettest"
HEMU3,1,3.125,0.03125,Current mix,Wettest,"Current mix, Wettest"
SACO6,55,49.107142857142854,0.49107142857142855,Current mix,Driest,"Current mix, Driest"
LUSP2,45,40.17857142857143,0.4017857142857143,Current mix,Driest,"Current mix, Driest"
SPAM2,35,31.25,0.3125,Current mix,Driest,"Current mix, Driest"
BAMU,33,25.78125,0.2578125,Current mix,Driest,"Current mix, Driest"
AMDE4,4,3.571428571428571,0.03571428571428571,Current mix,Driest,"Current mix, Driest"
DICA8,1,0.8928571428571428,0.008928571428571428,Current mix,Driest,"Current mix, Driest"
Empty,111,21.6796875,0.216796875,Empty seeded,Total,"Empty seeded, Total"
Empty,15,9.375,0.09375,Empty seeded,Wetter,"Empty seeded, Wetter"
Empty,96,27.27272727272727,0.2727272727272727,Empty seeded,Drier,"Empty seeded, Drier"
Empty,2,2.5,0.025,Empty seeded,Wettest,"Empty seeded, Wettest"
Empty,36,28.125,0.28125,Empty seeded,Driest,"Empty seeded, Driest"
