Code,n,perc_freq,Frequency,Plant,Plot,Type
ERCI6,387,33.59375,0.3359375,Weed,total,"Weed, total"
SCBA,325,28.21180556,0.282118056,Weed,total,"Weed, total"
BRRU2,193,16.75347222,0.167534722,Weed,total,"Weed, total"
ERLE,131,11.37152778,0.113715278,Weed,total,"Weed, total"
HEHIC,91,7.899305556,0.078993056,Weed,total,"Weed, total"
ERCU2,64,5.555555556,0.055555556,Weed,total,"Weed, total"
MAPA5,57,4.947916667,0.049479167,Weed,total,"Weed, total"
TRTE,48,4.166666667,0.041666667,Weed,total,"Weed, total"
SIIR,46,3.993055556,0.039930556,Weed,total,"Weed, total"
UNFO3.SRER,31,2.690972222,0.026909722,Weed,total,"Weed, total"
SATR12,29,2.517361111,0.025173611,Weed,total,"Weed, total"
UNFO-3.SRER,29,2.517361111,0.025173611,Weed,total,"Weed, total"
UNDPF.SRER,25,2.170138889,0.021701389,Weed,total,"Weed, total"
UNFO4.SRER,24,2.083333333,0.020833333,Weed,total,"Weed, total"
LUPSPP.SRER,16,1.388888889,0.013888889,Weed,total,"Weed, total"
ERCI6,131,36.38888889,0.363888889,Weed,wetter,"Weed, wetter"
SCBA,123,34.16666667,0.341666667,Weed,wetter,"Weed, wetter"
BRRU2,65,18.05555556,0.180555556,Weed,wetter,"Weed, wetter"
ERLE,54,15,0.15,Weed,wetter,"Weed, wetter"
TRTE,48,13.33333333,0.133333333,Weed,wetter,"Weed, wetter"
HEHIC,43,11.94444444,0.119444444,Weed,wetter,"Weed, wetter"
MAPA5,39,10.83333333,0.108333333,Weed,wetter,"Weed, wetter"
SIIR,39,10.83333333,0.108333333,Weed,wetter,"Weed, wetter"
ERCU2,31,8.611111111,0.086111111,Weed,wetter,"Weed, wetter"
UNFO3.SRER,31,8.611111111,0.086111111,Weed,wetter,"Weed, wetter"
UNFO4.SRER,24,6.666666667,0.066666667,Weed,wetter,"Weed, wetter"
SATR12,11,3.055555556,0.030555556,Weed,wetter,"Weed, wetter"
ERCI6,256,32.32323232,0.323232323,Weed,drier,"Weed, drier"
SCBA,202,25.50505051,0.255050505,Weed,drier,"Weed, drier"
BRRU2,128,16.16161616,0.161616162,Weed,drier,"Weed, drier"
ERLE,77,9.722222222,0.097222222,Weed,drier,"Weed, drier"
HEHIC,48,6.060606061,0.060606061,Weed,drier,"Weed, drier"
ERCU2,33,4.166666667,0.041666667,Weed,drier,"Weed, drier"
UNFO-3.SRER,29,3.661616162,0.036616162,Weed,drier,"Weed, drier"
UNDPF.SRER,25,3.156565657,0.031565657,Weed,drier,"Weed, drier"
MAPA5,18,2.272727273,0.022727273,Weed,drier,"Weed, drier"
SATR12,18,2.272727273,0.022727273,Weed,drier,"Weed, drier"
LUPSPP.SRER,16,2.02020202,0.02020202,Weed,drier,"Weed, drier"
SIIR,7,0.883838384,0.008838384,Weed,drier,"Weed, drier"
SCBA,90,50,0.5,Weed,very wet,"Weed, very wet"
ERCI6,89,49.44444444,0.494444444,Weed,very wet,"Weed, very wet"
MAPA5,39,21.66666667,0.216666667,Weed,very wet,"Weed, very wet"
SIIR,39,21.66666667,0.216666667,Weed,very wet,"Weed, very wet"
HEHIC,34,18.88888889,0.188888889,Weed,very wet,"Weed, very wet"
BRRU2,32,17.77777778,0.177777778,Weed,very wet,"Weed, very wet"
UNFO3.SRER,31,17.22222222,0.172222222,Weed,very wet,"Weed, very wet"
UNFO4.SRER,24,13.33333333,0.133333333,Weed,very wet,"Weed, very wet"
ERLE,21,11.66666667,0.116666667,Weed,very wet,"Weed, very wet"
TRTE,11,6.111111111,0.061111111,Weed,very wet,"Weed, very wet"
ERCU2,7,3.888888889,0.038888889,Weed,very wet,"Weed, very wet"
SATR12,2,1.111111111,0.011111111,Weed,very wet,"Weed, very wet"
ERCI6,139,48.26388889,0.482638889,Weed,very dry,"Weed, very dry"
SCBA,110,38.19444444,0.381944444,Weed,very dry,"Weed, very dry"
BRRU2,98,34.02777778,0.340277778,Weed,very dry,"Weed, very dry"
LUPSPP.SRER,16,5.555555556,0.055555556,Weed,very dry,"Weed, very dry"
HEHIC,11,3.819444444,0.038194444,Weed,very dry,"Weed, very dry"
MAPA5,11,3.819444444,0.038194444,Weed,very dry,"Weed, very dry"
SATR12,6,2.083333333,0.020833333,Weed,very dry,"Weed, very dry"
ERLE,4,1.388888889,0.013888889,Weed,very dry,"Weed, very dry"
SIIR,2,0.694444444,0.006944444,Weed,very dry,"Weed, very dry"
