Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,MonitorID
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,1,Mulch,Med-Warm,1
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,2,Seed,Med-Warm,2
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,3,Control,None,3
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,4,Pits,Med-Warm,4
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,5,Seed,Warm,5
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,6,ConMod,Med-Warm,6
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,7,Mulch,Warm,7
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,8,Seed,Med-Warm,8
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,9,ConMod,Warm,9
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,10,Mulch,Med-Warm,10
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,11,Seed,Warm,11
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,12,ConMod,Med-Warm,12
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,13,Pits,Warm,13
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,Control,None,14
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,15,Pits,Med-Warm,15
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,16,Mulch,Warm,16
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,17,Seed,Med-Warm,17
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,18,ConMod,Warm,18
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,19,Seed,Warm,19
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,20,Pits,Warm,20
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,21,ConMod,Med-Warm,21
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,22,Mulch,Med-Warm,22
