CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate,DuplicateNum
0,0,0,0,0,0,No,0
BOCU just outside NE corner with a little overhang and possibly in,0,0,0,0,0,No,0
Conmods are starting to lose shape and are partially flopping over with a high amount of debris/dirt buildup. SW conmod is partially buried,0,0,0,0,0,No,0
None seeded,0,0,0,0,0,No,0
Not recorded,0,0,0,0,0,No,0
Pits are mostly infilled or completely depending on pit anywhere from 80-100%,0,0,0,0,0,No,0
Possible Poa secunda POSE just outside of NE plot corner but not in/overhanging yet due to small size,0,0,0,0,0,No,0
none seeded,0,0,0,0,0,No,0
ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,No,0
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,No,0
ACMIS,ACMIS,Acmispon (Lotus),Native,Annual,Forb,No,0
ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No,0
ALIN,ALIN,Allionia incarnata,Native,Unknown,Forb,No,0
AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,0
AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,No,0
AMDU2,AMDU2,Ambrosia dumosa,Native,Perennial,Shrub,No,0
AMIN3,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,No,0
AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,No,0
AMPA,AMPA,Amaranthus palmeri,Native,Annual,Forb,No,0
AMSIN,AMSIN,Amsinckia,Native,Annual,Forb,No,0
AMTE3,AMTE3,Amsinckia tessellata,Native,Annual,Forb,No,0
AMTO3,AMTO3,Ambrosia tomentosa,Native,Perennial,Forb,No,0
ARAD,ARAD,Aristida adscensionis,Native,Annual,Grass,No,0
ARFR4,ARFR4,Artemisia frigida,Native,Perennial,Shrub,No,0
ARNE2,ARNE2,Argythamnia neomexicana,Native,Unknown,Forb,No,0
3 small ARPUs 1 on north border of subplot and other 2 in southwest section of plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
A few possible ARPUs (2 certainty) or other ARsp. (ARTE),ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU a few individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU a few small tufts and 1 taller,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU many small tufts and some with seed,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU multiple individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU numerous individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU small tufts and a tall individual,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Aristida species between the northeast and southeast pits possibly an ARPU if not than seeded species cover would be 0%,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
At least 10 ARPUs throughout small to large in size,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Couple big ARPUs and a few small ones throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Few small to medium ARPUs spaced throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Multiple medium to extra large ARPUS,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Multiple medium to extra large ARPUs mostly in/near conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Small to large ARPUs throughout especially in the south half of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Small to medium/large ARPUs throughout especially in the S half of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,ARPU9,Aristida purpurea,Native,Perennial,Grass,No,0
1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
3 individual ARPUs  and a BOCU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
A couple BOCUs and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
ARPU about 5 individuals and an individual BAMU resprouting at base,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
BOCU partially in/on the west edge of the plot and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,ARPU9,Aristida purpurea,Native,Unknown,Grass,Yes,1
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
Medium sized BOCU and ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
Multiple BOCU's medium-large and a possible medium sized ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple BOCUS and a couple possible ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple med to extra large BOCUs and a few small to large ARPUs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to large ARPUs and BOCUs along the northeast edge,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
"Possible ARPUs, SECO seedling in subplot",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs throughout and a couple of small SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small/medium to large ARPUs and small to large BOCU throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
