Site,CodeOriginal,DuplicateNum,Code,Name,Native,Duration,Lifeform,Region
SRER,ACASPP,NA,ACASPP.SRER,"Acalypha spp., SRER",Native/Unknown,Unknown,Forb,Sonoran SE
Creosote,ACCH,NA,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,Chihuahuan
Spiderweb,ALNI,NA,ALNI.Spiderweb,"Unknown ALNI, Spiderweb",Unknown,Unknown,Unknown,Colorado Plateau
FlyingM,AmaranthusSpp,NA,AmaranthusSpp.FlyingM,"Amaranthus spp., FlyingM",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,AMASPP,NA,AMASPP.BarTBar,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb,Colorado Plateau
BabbittPJ,AMBSPP,NA,AMBSPP.BabbittPJ,"Ambrosia spp., BabbittPJ",Native/Unknown,Unknown,Forb,Colorado Plateau
SRER,ANOSPP,NA,ANOSPP.SRER,"Anoda spp., SRER",Native,Unknown,Forb,Sonoran SE
Patagonia,ARISPP,NA,ARISPP.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass,Sonoran SE
SRER,ARISPP,NA,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Sonoran SE
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,2,ARPUspp.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass,Sonoran SE
SRER,A few possible ARPUs (2 certainty) or other ARsp. (ARTE),NA,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,2,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.,NA,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,2,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Sonoran SE
BarTBar,ARSPP,NA,ARSPP.BarTBar,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub,Colorado Plateau
SRER,ASTSPP,NA,ASTSPP.SRER,"Astragalus spp., SRER",Native/Unknown,Unknown,Forb,Sonoran SE
Mesquite,ATCA,NA,ATCA.Mesquite,"Unknown ATCA (but not Atriplex, a grass?), Mesquite",Native,Unknown,Grass,Chihuahuan
PEFO,ATSP,NA,ATSP.PEFO,"Atriplex spp., PEFO",Native/Unknown,Perennial,Shrub,Colorado Plateau
FlyingM,ATSPP,NA,ATSPP.FlyingM,"Unknown AT spp., FlyingM",Unknown,Unknown,Unknown,Colorado Plateau
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,2,BOCU/BOER4.SRER,"BOCUs, or might be BOER4, SRER",Native,Perennial,Grass,Sonoran SE
SRER,BOCUs up to this point could also possibly be slender grama BORE or purple BORA,NA,BOCU/BORE/BORA.SRER,"Bouteloua curtipendula/repens/radicosa (spp.), SRER",Native,Perennial,Grass,Sonoran SE
SRER,BOsp. a lot of possibly BOCU but could also be BORE or BORA,NA,BOCU/BORE/BORA.SRER,"Bouteloua curtipendula/repens/radicosa (spp.), SRER",Native,Perennial,Grass,Sonoran SE
AguaFria,BOSPP,NA,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass,Colorado Plateau
BabbittPJ,BOSPP,NA,BOSPP.BabbittPJ,"Bouteloua spp., BabbittPJ",Native,Unknown,Grass,Colorado Plateau
BarTBar,BOSPP,NA,BOSPP.BarTBar,"Bouteloua spp., BarTBar",Native,Unknown,Grass,Colorado Plateau
BarTBar,BOSPP,NA,BOSPP.BarTBar,"local Bouteloua species (unknown), BarTBar",Native,Unknown,Grass,Colorado Plateau
FlyingM,BOSPP,NA,BOSPP.FlyingM,"Bouteloua spp., FlyingM",Native,Unknown,Grass,Colorado Plateau
FlyingM,BOSPP,NA,BOSPP.FlyingM,"local Bouteloua species (unknown), FlyingM",Native,Unknown,Grass,Colorado Plateau
MOWE,BOSPP,NA,BOSPP.MOWE,"Bouteloua spp., MOWE",Native,Unknown,Grass,Colorado Plateau
Patagonia,Possibly a BOER if not than other BOsp. possibly BOGR,NA,BOspp.Patagonia,"Bouteloua spp., Patagonia",Native,Unknown,Grass,Sonoran SE
PEFO,BOSPP,NA,BOSPP.PEFO,"Bouteloua spp., PEFO",Native,Unknown,Grass,Colorado Plateau
PEFO,BOSPP,NA,BOSPP.PEFO,"local Bouteloua species (unknown), PEFO",Native,Unknown,Grass,Colorado Plateau
Spiderweb,BOSPP,NA,BOSPP.Spiderweb,"Bouteloua spp., Spiderweb",Native,Unknown,Grass,Colorado Plateau
Spiderweb,BOSPP,NA,BOSPP.Spiderweb,"local Bouteloua species (unknown), Spiderweb",Native,Unknown,Grass,Colorado Plateau
SRER,Possible Boutelouas not sure if BOER because they've been grazed down,NA,BOspp.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,Possibly 3 small BOER (1 certainty) or other BOsp.,NA,BOspp.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,3,BOspp.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,BOUSPP,NA,BOUSPP.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,Sonoran SE
SRER,BRASPP,NA,BRASPP.SRER,"Brassica spp. (likely DEPI), SRER",Native/Unknown,Unknown,Forb,Sonoran SE
Patagonia,CALSPP,NA,CALSPP.Patagonia,"Calandrinia spp., Patagonia",Native,Unknown,Forb,Sonoran SE
Creosote,CHAMA,NA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,Chihuahuan
Mesquite,CHAMA,NA,CHAMA.Mesquite,"Chamaesyce spp., Mesquite",Native,Unknown,Forb,Chihuahuan
29_Palms,CHASPP,NA,CHASPP.29_Palms,"Chaenactis spp., 29_Palms",Native,Unknown,Forb,Mojave
BabbittPJ,CHEN,NA,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb,Colorado Plateau
MOWE,CHEN,NA,CHEN.MOWE,"Unknown chenopod, MOWE",Native/Unknown,Unknown,Forb,Colorado Plateau
PEFO,CHEN,NA,CHEN.PEFO,"Unknown chenopod, PEFO",Native/Unknown,Unknown,Forb,Colorado Plateau
TLE,CHEN,NA,CHEN.TLE,"Unknown chenopod, TLE",Native/Unknown,Unknown,Forb,Colorado Plateau
Patagonia,CHESPP,NA,CHESPP.Patagonia,"Chenopodium spp., Patagonia",Unknown,Unknown,Forb,Sonoran SE
AVRCD,CRSE1,NA,CRSE1.AVRCD,"Croton or Cryptantha spp. (?), AVRCD",Native/Unknown,Unknown,Forb,Mojave
Roosevelt,CRYPT,NA,CRYPT.Roosevelt,"Cryptantha spp., Roosevelt",Native,Unknown,Forb,Sonoran Central
29_Palms,CRYSPP,NA,CRYSPP.29_Palms,"Cryptantha spp., 29_Palms",Native,Unknown,Forb,Mojave
AVRCD,CRYSPP,NA,CRYSPP.AVRCD,"Cryptantha spp., AVRCD",Native,Unknown,Forb,Mojave
SRER,CRYSPP,NA,CRYSPP.SRER,"Cryptantha spp., SRER",Native,Unknown,Forb,Sonoran SE
Spiderweb,DASPUL,NA,DASPUL.Spiderweb,"Unknown DASPUL, Spiderweb",Unknown,Unknown,Unknown,Colorado Plateau
UtahPJ,DRABA,NA,DRABA.UtahPJ,"Draba spp., UtahPJ",Native/Unknown,Unknown,Forb,Utah
BabbittPJ,ELSP,NA,ELSP.BabbittPJ,"Elymus spp., BabbittPJ",Native/Unknown,Unknown,Grass,Colorado Plateau
AguaFria,ELSPP,NA,ELSPP.AguaFria,"Elymus spp., AguaFria",Native/Unknown,Unknown,Grass,Colorado Plateau
BabbittPJ,ELSPP,NA,ELSPP.BabbittPJ,"Elymus spp., BabbittPJ",Native,Unknown,Grass,Colorado Plateau
FlyingM,ELSPP,NA,ELSPP.FlyingM,"Elymus spp., FlyingM",Native/Unknown,Unknown,Grass,Colorado Plateau
BabbittPJ,ELSP (seeded),NA,ELSPse.BabbittPJ,"seeded Elymus spp., BabbittPJ",Native,Unknown,Grass,Colorado Plateau
Patagonia,ERASPP,NA,ERASPP.Patagonia,"Eragrostis spp., ERCU or ERLE, Patagonia",Unknown,Unknown,Grass,Sonoran SE
UtahPJ,ERIGSPP,NA,ERIGSPP.UtahPJ,"Unknown ERIG (?), UtahPJ",Unknown,Unknown,Unknown,Utah
UtahPJ,Eriogonum sp.,NA,Eriogonum sp..UtahPJ,"Erigonum spp., UtahPJ",Native,Unknown,Forb,Utah
Creosote,Eriogonum,NA,Eriogonum.Creosote,"Eriogonum spp., Creosote",Native,Unknown,Forb,Chihuahuan
BarTBar,ERISP,NA,ERISP.BarTBar,"Eriogonum spp., BarTBar",Native,Unknown,Forb,Colorado Plateau
PEFO,ERISP,NA,ERISP.PEFO,"Eriogonum spp., PEFO",Native,Unknown,Forb,Colorado Plateau
Patagonia,ERISPP,NA,ERISPP.Patagonia,"Eriastrum or Erigonum spp. (?), Patagonia",Native,Unknown,Forb,Sonoran SE
SRER,ERISPP,NA,ERISPP.SRER,"Eriastrum or Erigonum spp. (?), SRER",Native,Unknown,Forb,Sonoran SE
SRER,FESSPP,NA,FESSPP.SRER,"FES (fescue?) spp., SRER",Unknown,Unknown,Grass,Sonoran SE
29_Palms,GILSPP,NA,GILSPP.29_Palms,"Gilia spp., 29_Palms",Native,Unknown,Forb,Mojave
Spiderweb,GILSPP,NA,GILSPP.Spiderweb,"Gilia spp., Spiderweb",Native,Unknown,Forb,Colorado Plateau
BabbittPJ,HCI,NA,HCI.BabbittPJ,"Unknown HCI (?), BabbittPJ",Unknown,Unknown,Unknown,Colorado Plateau
BabbittPJ,HESP,NA,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb,Colorado Plateau
FlyingM,HESP,NA,HESP.FlyingM,"Heliomeris spp., FlyingM",Native,Unknown,Forb,Colorado Plateau
29_Palms,LEPSPP,NA,LEPSPP.29_Palms,"Lepidium spp., 29_Palms",Native/Unknown,Unknown,Forb,Mojave
Creosote,Lesquerella sp.,NA,LESSPP.Creosote,"Lesquerella spp., Creosote",Native,Unknown,Forb,Chihuahuan
SRER,LUPSPP,NA,LUPSPP.SRER,"Lupinus spp., SRER",Unknown,Unknown,Forb,Sonoran SE
AguaFria,LUSPP,NA,LUSPP.AguaFria,"Lupinus spp., AguaFria",Native/Unknown,Unknown,Forb,Colorado Plateau
TLE,MACSPP,NA,MACSPP.TLE,"Machaeranthera spp., TLE",Native,Unknown,Forb,Colorado Plateau
29_Palms,MENSPP,NA,MENSPP.29_Palms,"Mentzelia spp., 29_Palms",Native,Unknown,Forb,Mojave
Patagonia,MENSPP,NA,MENSPP.Patagonia,"Mentzelia spp., Patagonia",Native,Unknown,Forb,Sonoran SE
PEFO,MENSPP,NA,MENSPP.PEFO,"Mentzelia spp., PEFO",Native,Unknown,Forb,Colorado Plateau
SRER,MENSPP,NA,MENSPP.SRER,"Mentzelia spp., SRER",Native,Unknown,Forb,Sonoran SE
BarTBar,OESP,NA,OESP.BarTBar,"Oenothera spp., BarTBar",Native/Unknown,Unknown,Forb,Colorado Plateau
SRER,PANSPP,NA,PANSPP.SRER,"Panicum spp., SRER",Native,Unknown,Grass,Sonoran SE
29_Palms,PECSPP,NA,PECSPP.29_Palms,"Pectocarya spp., 29_Palms",Native,Unknown,Forb,Mojave
Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,2,PEPAspp.Patagonia,"Unknown PEPA, Patagonia",Unknown,Unknown,Unknown,Sonoran SE
SRER,PEPA (possibly),NA,PEPAspp.SRER,"Unknown PEPA, SRER",Unknown,Unknown,Unknown,Sonoran SE
BabbittPJ,PHSPP,NA,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ",Native,Unknown,Forb,Colorado Plateau
SRER,PLASPP,NA,PLASPP.SRER,"Plantago spp., SRER",Unknown,Unknown,Forb,Sonoran SE
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,1,PLJAspp.SRER,"Possibly Pleuraphis jamesii, SRER",Native,Perennial,Grass,Sonoran SE
BarTBar,PORSPP,NA,PORSPP.BarTBar,"Portulaca spp., BarTBar",Native,Unknown,Forb,Colorado Plateau
FlyingM,PORSPP,NA,PORSPP.FlyingM,"Portulaca spp., FlyingM",Native,Unknown,Forb,Colorado Plateau
Patagonia,PORSPP,NA,PORSPP.Patagonia,"Portulaca spp., Patagonia",Native,Unknown,Forb,Sonoran SE
PEFO,PORSPP,NA,PORSPP.PEFO,"Portulaca spp., PEFO",Native,Unknown,Forb,Colorado Plateau
UtahPJ,Regrowth,NA,Regrowth.UtahPJ,"Regrowth of unknown spp., UtahPJ",Unknown,Unknown,Unknown,Utah
CRC,S-UNFO2,NA,S-UNFO2.CRC,"Seeded unknown forb 2, CRC",Native,Unknown,Forb,Utah
Salt_Desert,S-UNFO2,NA,S-UNFO2.Salt_Desert,"Seeded unknown forb 2, Salt_Desert",Native,Unknown,Forb,Utah
CRC,S-UNGR1,NA,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,Utah
Salt_Desert,S-UNGR1,NA,S-UNGR1.Salt_Desert,"Seeded unknown grass 1, Salt_Desert",Native,Unknown,Grass,Utah
CRC,S-UNGR2,NA,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,Utah
Salt_Desert,S-UNGR2,NA,S-UNGR2.Salt_Desert,"Seeded unknown grass 2, Salt_Desert",Native,Unknown,Grass,Utah
UtahPJ,S-UNGR2,NA,S-UNGR2.UtahPJ,"Seeded unknown grass 2, UtahPJ",Native,Unknown,Grass,Utah
CRC,S-UNGR3,NA,S-UNGR3.CRC,"Seeded unknown grass 3, CRC",Native,Unknown,Grass,Utah
Salt_Desert,S-UNGR3,NA,S-UNGR3.Salt_Desert,"Seeded unknown grass 3, Salt_Desert",Native,Unknown,Grass,Utah
UtahPJ,S-UNGR3,NA,S-UNGR3.UtahPJ,"Seeded unknown grass 3, UtahPJ",Native,Unknown,Grass,Utah
CRC,S-UNGR4,NA,S-UNGR4.CRC,"Seeded unknown grass 4, CRC",Native,Unknown,Grass,Utah
UtahPJ,S-UNGR4,NA,S-UNGR4.UtahPJ,"Seeded unknown grass 4, UtahPJ",Native,Unknown,Grass,Utah
UtahPJ,S-UNGR5,NA,S-UNGR5.UtahPJ,"Seeded unknown grass 5, UtahPJ",Native,Unknown,Grass,Utah
FlyingM,SALRE,NA,SALRE.FlyingM,"Unknown SALRE, FlyingM",Unknown,Unknown,Unknown,Colorado Plateau
29_Palms,SCHSPP,NA,SCHSPP.29_Palms,"Unknown SCH spp., 29_Palms",Unknown,Unknown,Unknown,Mojave
UtahPJ,Dormant shrubs,NA,SHRUBdor.UtahPJ,"Dormant shrubs, UtahPJ",Unknown,Perennial,Shrub,Utah
SRER,SIDSPP,NA,SIDSPP.SRER,"Sida spp., SRER",Native/Unknown,Unknown,Forb,Sonoran SE
FlyingM,SOSP,NA,SOSP.FlyingM,"Solanum spp., FlyingM",Native,Unknown,Forb,Colorado Plateau
Spiderweb,Sporobolus,NA,SPOspp.Spiderweb,"Sporobolus spp., Spiderweb",Unknown,Unknown,Grass,Colorado Plateau
AguaFria,SPSP,NA,SPSP.AguaFria,"Sphaeralcea spp., AguaFria",Native/Unknown,Unknown,Forb,Colorado Plateau
BarTBar,SPSP,NA,SPSP.BarTBar,"Sphaeralcea spp., BarTBar",Native/Unknown,Unknown,Forb,Colorado Plateau
FlyingM,SPSP,NA,SPSP.FlyingM,"Sphaeralcea spp., FlyingM",Native/Unknown,Unknown,Forb,Colorado Plateau
TLE,SPSP,NA,SPSP.TLE,"Sphaeralcea spp., TLE",Native/Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,SPSP,NA,SPSP.UtahPJ,"Sphaeralcea spp., UtahPJ",Native/Unknown,Unknown,Forb,Utah
29_Palms,STISPP,NA,STISPP.29_Palms,"Stipa spp., 29_Palms",Native,Unknown,Grass,Mojave
Spiderweb,SUNFO,NA,SUNFO.Spiderweb,"Seeded unknown forb, Spiderweb",Native,Unknown,Forb,Colorado Plateau
BabbittPJ,SUNGR,NA,SUNGR.BabbittPJ,"Seeded unknown grass (?), BabbittPJ",Native,Unknown,Shrub,Colorado Plateau
BabbittPJ,SUNGR,NA,SUNGR.BabbittPJ,"Seeded unknown grass, BabbittPJ",Native,Unknown,Grass,Colorado Plateau
MOWE,SUNGR,NA,SUNGR.MOWE,"Seeded unknown grass, MOWE",Native,Unknown,Grass,Colorado Plateau
PEFO,SUNGR,NA,SUNGR.PEFO,"Seeded unknown grass, PEFO",Native,Unknown,Grass,Colorado Plateau
Spiderweb,SUNGR,NA,SUNGR.Spiderweb,"Seeded unknown grass, Spiderweb",Native,Unknown,Grass,Colorado Plateau
TLE,SUNGR,NA,SUNGR.TLE,"Seeded unknown grass (?), TLE",Native,Unknown,Shrub,Colorado Plateau
TLE,SUNGR,NA,SUNGR.TLE,"Seeded unknown grass, TLE",Native,Unknown,Grass,Colorado Plateau
PEFO,SUNGR1,NA,SUNGR1.PEFO,"Seeded unknown grass 1, PEFO",Native,Unknown,Grass,Colorado Plateau
Mesquite,Trifolium,NA,Trifolium.Mesquite,"Trifolium spp., Mesquite",Unknown,Unknown,Forb,Chihuahuan
PEFO,UCHEN1,NA,UCHEN1.PEFO,"Unknown UCHEN1 (?), PEFO",Unknown,Unknown,Unknown,Colorado Plateau
PEFO,UCHEN2,NA,UCHEN2.PEFO,"Unknown UCHEN2 (?), PEFO",Unknown,Unknown,Unknown,Colorado Plateau
BabbittPJ,UNAM,NA,UNAM.BabbittPJ,"Unknown UNAM, BabbittPJ",Unknown,Unknown,Unknown,Colorado Plateau
SRER,UNDPF,NA,UNDPF.SRER,"Unknown dead pod forb, SRER",Unknown,Unknown,Forb,Sonoran SE
SRER,UNDPF,NA,UNDPF.SRER,"Unknown DPF, SRER",Unknown,Unknown,Unknown,Sonoran SE
SRER,UNDSF,NA,UNDSF.SRER,"Unknown dead spikey forb, SRER",Unknown,Unknown,Forb,Sonoran SE
Salt_Desert,UNFO.12166.assigned,NA,UNFO.12166.assigned.Salt_Desert,"Unknown forb with assigned code, and manually entered, Salt_Desert",Unknown,Unknown,Forb,Utah
FlyingM,UNFO,NA,UNFO.FlyingM,"Unknown forb, FlyingM",Native,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO,NA,UNFO.Spiderweb,"Unknown forb, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO,NA,UNFO.Spiderweb,"Unknown forb, Spiderweb",Native,Unknown,Forb,Colorado Plateau
Patagonia,UNFO_P_1,NA,UNFO_P_1.Patagonia,"Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_2,NA,UNFO_P_2.Patagonia,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_3,NA,UNFO_P_3.Patagonia,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_4,NA,UNFO_P_4.Patagonia,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_5,NA,UNFO_P_5.Patagonia,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_6,NA,UNFO_P_6.Patagonia,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
Patagonia,UNFO_P_7,NA,UNFO_P_7.Patagonia,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021), Patagonia",Unknown,Unknown,Forb,Sonoran SE
SRER,UNFO_S_1,NA,UNFO_S_1.SRER,"Unknown forb; Purple vine, sagitate leaves (Spring 2021), SRER",Unknown,Unknown,Forb,Sonoran SE
SRER,UNFO_S_3,NA,UNFO_S_3.SRER,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021), SRER",Unknown,Unknown,Forb,Sonoran SE
