CodeOriginal,Code,Name
0,0,0
ABPA3,ABPA3,Abutilon parvulum
ACASPP,ACASPP,Acalypha spp.
ACMI2,ACMI2,Achillea millefolium
ACHY,ACHY,Achnatherum hymenoides
ACMIS,ACMIS,Acmispon (Lotus)
ACNA2,ACNA2,Acourtia nana
ALIN,ALIN,Allionia incarnata
AMPA,AMPA,Amaranthus palmeri
AmaranthusSpp,AmaranthusSpp,Amaranthus spp.
AMASPP,AMASPP,Amaranthus spp.
AMCO3,AMCO3,Ambrosia confertiflora
AMDE4,AMDE4,Ambrosia deltoidea
AMBSPP,AMBSPP,Ambrosia spp.
AMTO3,AMTO3,Ambrosia tomentosa
AMCH3,AMCH3,Ammocodon chenopodioides
AMMEI2,AMMEI2,Amsinckia menziesii
AMTE3,AMTE3,Amsinckia tessellata
ANCR2,ANCR2,Anoda cristata
ANOSPP,ANOSPP,Anoda spp.
ARAD,ARAD,Aristida adscensionis
ARPU9,ARPU9,Aristida purpurea
ARISPP,ARISPP,Aristida spp.
ARTE3,ARTE3,Aristida ternipes
ARWA,ARWA,Aristolochia watsonii
ARFR4,ARFR4,Artemisia frigida
ARSPP,ARSPP,Artemisia spp.
ASTU,ASTU,Asclepias tuberosa
ASNU4,ASNU4,Astragalus nuttallianus
ASNU5,ASNU5,Astragalus nuttallii
ASTSPP,ASTSPP,Astragalus spp.
ATCA2,ATCA2,Atriplex canescens
ATCO,ATCO,Atriplex confertifolia
ATSP,ATSP,Atriplex spp.
AVFA,AVFA,Avena fatua
BAAB,BAAB,Bahia absinthifolia
BAMU,BAMU,Baileya multiradiata
BAHI,BAHI,Balsamorhiza hookeri
BOERH2,BOERH2,Boerhavia
BOCO,BOCO,Boerhavia coccinea
BOIN,BOIN,Boerhavia intermedia
BOAR,BOAR,Bouteloua aristidoides
BOBA2,BOBA2,Bouteloua barbata
BOCU,BOCU,Bouteloua curtipendula
BOER4,BOER4,Bouteloua eriopoda
BOGR2,BOGR2,Bouteloua gracilis
BORA,BORA,Bouteloua radicosa
BORO2,BORO2,Bouteloua rothrockii
BOSI2,BOSI2,Bouteloua simplex
BOUSPP,BOUSPP,Bouteloua spp.
BRNI,BRNI,Brassica nigra
BRASPP,BRASPP,Brassica spp. (likely DEPI)
BRRU2,BRRU2,Bromus rubens
BRTE,BRTE,Bromus tectorum
CACI2,CACI2,Calandrinia ciliata
CALSPP,CALSPP,Calandrinia spp.
CANU3,CANU3,Calochortus nuttallii
CETE5,CETE5,Ceratocephala testiculata
CHASPP,CHASPP,Chaenactis spp.
CHER2,CHER2,Chaetopappa ericoides
CHCO2,CHCO2,Chamaesaracha coronopus
EUAB,EUAB,Chamaesyce abramsiana
CHAL11,CHAL11,Chamaesyce albomarginata
CHHY3,CHHY3,Chamaesyce hyssopifolia
CHPO12,CHPO12,Chamaesyce polycarpa
CHAMA,CHAMA,Chamaesyce spp.
CHFR3,CHFR3,Chenopodium fremontii
CHIN2,CHIN2,Chenopodium incanum
CHESPP,CHESPP,Chenopodium spp.
CHWA,CHWA,Chenopodium watsonii
CHVI4,CHVI4,Chloris virgata
CHTE2,CHTE2,Chorispora tenella
CHBR,CHBR,Chorizanthe brevicornu
CLLU2,CLLU2,Cleome lutea
COCA5,COCA5,Conyza canadensis
COCA8,COCA8,Coreopsis califonica
Unk bunchGrass #1,Unk bunchGrass #1,Could be BOCU
CRCO34,CRCO34,Crassula connata
CRPO5,CRPO5,Croton pottsii
CRSE11,CRSE11,Croton setigerus
CRAN4,CRAN4,Cryptantha angustifolia
CRBA5,CRBA5,Cryptantha barbigera
CRCR3,CRCR3,Cryptantha crassisepala
CRYPT,CRYPT,Cryptantha spp.
CRYSPP,CRYSPP,Cryptantha spp.
Unkcrypt,Unkcrypt,Cryptantha spp.
CYAC,CYAC,Cymopterus acaulis
DACA7,DACA7,Dalea candida
DAPU7,DAPU7,Dasyochloa pulchella
DAPU3,DAPU3,Daucus pusillus
DeadStem,DeadStem,Dead stem
DEPI,DEPI,Descurainia pinnata
DICA14,DICA14,Dichelostemma capitatum
DICA8,DICA8,Digitaria californica
DRCU,DRCU,Draba cuneifolia
DRABA,DRABA,Draba spp.
ELEL5,ELEL5,Elymus elymoides
ELSPP,ELSPP,Elymus spp.
ELTR7,ELTR7,Elymus trachycaulus
ELWA2,ELWA2,Elymus wawawaiensis
ERCU2,ERCU2,Eragrostis curvula
ERLE,ERLE,Eragrostis lehmanniana
ERASPP,ERASPP,"Eragrostis spp., ERCU or ERLE"
ERSU,ERSU,Eragrostis superba
ERIAS,ERIAS,Eriastrum
ERDI2,ERDI2,Eriastrum diffusum
ERISPP,ERISPP,Eriastrum or Erigonum spp. (?)
Eriogonum sp.,Eriogonum sp.,Erigonum spp.
ERFA2,ERFA2,Eriogonum fasciculatum
ERIN4,ERIN4,Eriogonum inflatum
ERPA11,ERPA11,Eriogonum palmerianum
ERPO4,ERPO4,Eriogonum polycladon
ERRA3,ERRA3,Eriogonum racemosum
Eriogonum,Eriogonum,Eriogonum spp.
ERISP,ERISP,Eriogonum spp.
ERCI6,ERCI6,Erodium cicutarium
ESCA2,ESCA2,Eschscholzia californica
EVAR,EVAR,Evolvulus arizonicus
FESSPP,FESSPP,FES (fescue?) spp.
GILSPP,GILSPP,Gilia spp.
GIST,GIST,Gilia stellata
GLGO,GLGO,Glandularia gooddingii
GUSA2,GUSA2,Gutierrezia sarothrae
HAGL,HAGL,Halogeton glomeratus
HAPAA,HAPAA,Harpagonella palmeri
HEBO,HEBO,Hedysarum boreale
HECI,HECI,Helianthus ciliaris
HEMU3,HEMU3,Heliomeris multiflora
HESP,HESP,Heliomeris spp.
HEHIC,HEHIC,Herniaria hirsuta
HECO26,HECO26,Hesperostipa comata
HIIN3,HIIN3,Hirschfeldia incana
HOGL2,HOGL2,Hoffmannseggia glauca
HOMU,HOMU,Hordeum murinum
HOPU,HOPU,Hordeum pusillum
KAGR,KAGR,Kallstroemia grandiflora
KAHI,KAHI,Kallstroemia hirsutissima
KRLA2,KRLA2,Krascheninnikovia lanata
LATR2,LATR2,Larrea tridentata
LACA7,LACA7,Lasthenia californica
LAGR10,LAGR10,Lasthenia gracilis
LAGL5,LAGL5,Layia glandulosa
LEFR2,LEFR2,Lepidium fremontii
LELA,LELA,Lepidium lasiocarpum
LEPSPP,LEPSPP,Lepidium spp.
LETH2,LETH2,Lepidium thurberi
LEPA6,LEPA6,Leptochloa panicea
LEAU16,LEAU16,Leptosiphon aureus
LILE,LILE,Leptosiphon lemmonii
LECI4,LECI4,Leymus cinereus
LILE3,LILE3,Linum lewisii
BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria"
BOSPP,BOSPP.BarTBar,"local Bouteloua species (unknown), BarTBar"
BOSPP,BOSPP.FlyingM,"local Bouteloua species (unknown), FlyingM"
BOSPP,BOSPP.PEFO,"local Bouteloua species (unknown), PEFO"
BOSPP,BOSPP.Spiderweb,"local Bouteloua species (unknown), Spiderweb"
LOSQ,LOSQ,Loeflingia squarrosa
LOESE2,LOESE2,Loeseliastrum franciscanum
LOAR12,LOAR12,Logfia arizonica
LOHU2,LOHU2,Lotus humistratus
LOSA,LOSA,Lotus salsuginosus
LOSTT,LOSTT,Lotus strigosus
LUCO,LUCO,Lupinus concinnus
LUSP2,LUSP2,Lupinus sparsiflorus
LUSP,LUSP,Lupinus sparsiflorus (?)
LUPSPP,LUPSPP,Lupinus spp.
LUSPP,LUSPP,Lupinus spp.
MAGR10,MAGR10,Machaeranthera gracilis
MACSPP,MACSPP,Machaeranthera spp.
MATA2,MATA2,Machaeranthera tanacetifolia
MAGL3,MAGL3,Malacothrix glabrata
MAPA5,MAPA5,Malva parviflora
MADI6,MADI6,Matricaria discoidea
MEIN2,MEIN2,Melilotus indicus
MEOF,MEOF,Melilotus officinalis
MEAL6,MEAL6,Mentzelia albicaulis
MEMO4,MEMO4,Mentzelia montana
MENSPP,MENSPP,Mentzelia spp.
PROACASPP,PROACASPP,Mesquite/Acacia species
MIGR,MIGR,Microsteris gracilis
MOCE,MOCE,Mollugo cerviana
MOVE,MOVE,Mollugo verticillata
MONU,MONU,Monolepis nuttalliana
OESP,OESP,Oenothera spp.
ONPI,ONPI,Oncosiphon piluliferum
PAHI7,PAHI7,Oplismenus hirtellus (Panicum hirtellum)
PACA6,PACA6,Panicum capillare
PAHI5,PAHI5,Panicum hirticaule
PANSPP,PANSPP,Panicum spp.
PASM,PASM,Pascopyrum smithii
PEPA2,PEPA2,Pectis papposa
PECTO,PECTO,Pectocarya
PEHE,PEHE,Pectocarya heterocarpa
PEPL,PEPL,Pectocarya platycarpa
PERE,PERE,Pectocarya recurvata
PECSPP,PECSPP,Pectocarya spp.
PEPA8,PEPA8,Penstemon palmeri
PHDI,PHDI,Phacelia distans
PHNE3,PHNE3,Phacelia neomexicana
PHSPP,PHSPP,Phacelia spp.
PHLO2,PHLO2,Phlox longifolia
PLAR,PLAR,Plagiobothrys arizonicus
PLPR3,PLPR3,Plagiobothrys pringlei
PLANT,PLANT,Plantago
PLOV,PLOV,Plantago ovata
PLPA2,PLPA2,Plantago patagonica
PLASPP,PLASPP,Plantago spp.
PLJA,PLJA,Pleuraphis jamesii
POBI,POBI,Poa bigelovii
