Region,Site,Code,CodeOriginal,Name,Native,Duration,Lifeform
Sonoran SE,SRER,ACASPP.SRER,ACASPP,"Acalypha spp., SRER",Native/Unknown,Unknown,Forb
Colorado Plateau,BarTBar,AMASPP.BarTBar,AMASPP,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb
Colorado Plateau,BabbittPJ,AMBSPP.BabbittPJ,AMBSPP,"Ambrosia spp., BabbittPJ",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,ANOSPP.SRER,ANOSPP,"Anoda spp., SRER",Native,Unknown,Forb
Sonoran SE,SRER,ARISPP.SRER,ARISPP,"Aristida spp., SRER",Native,Unknown,Grass
Sonoran SE,Patagonia,ARISPP.Patagonia,ARISPP,"Aristida spp., Patagonia",Native,Unknown,Grass
Colorado Plateau,BarTBar,ARSPP.BarTBar,ARSPP,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub
Sonoran SE,SRER,ASTSPP.SRER,ASTSPP,"Astragalus spp., SRER",Native/Unknown,Unknown,Forb
Colorado Plateau,PEFO,ATSP.PEFO,ATSP,"Atriplex spp., PEFO",Native/Unknown,Perennial,Shrub
Colorado Plateau,AguaFria,BOSPP.AguaFria,BOSPP,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass
Colorado Plateau,BarTBar,BOSPP.BarTBar,BOSPP,"local Bouteloua species (unknown), BarTBar",Native,Unknown,Grass
Colorado Plateau,FlyingM,BOSPP.FlyingM,BOSPP,"local Bouteloua species (unknown), FlyingM",Native,Unknown,Grass
Colorado Plateau,PEFO,BOSPP.PEFO,BOSPP,"local Bouteloua species (unknown), PEFO",Native,Unknown,Grass
Colorado Plateau,Spiderweb,BOSPP.Spiderweb,BOSPP,"local Bouteloua species (unknown), Spiderweb",Native,Unknown,Grass
Colorado Plateau,MOWE,BOSPP.MOWE,BOSPP,"local Bouteloua species (unknown), MOWE",Native,Unknown,Grass
Sonoran SE,SRER,BOUSPP.SRER,BOUSPP,"Bouteloua spp., SRER",Native,Unknown,Grass
Sonoran SE,SRER,BRASPP.SRER,BRASPP,"Brassica spp. (likely DEPI), SRER",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,CALSPP.Patagonia,CALSPP,"Calandrinia spp., Patagonia",Native,Unknown,Forb
Chihuahuan,Creosote,CHAMA.Creosote,CHAMA,"Chamaesyce spp., Creosote",Native,Unknown,Forb
Chihuahuan,Mesquite,CHAMA.Mesquite,CHAMA,"Chamaesyce spp., Mesquite",Native,Unknown,Forb
Mojave,29_Palms,CHASPP.29_Palms,CHASPP,"Chaenactis spp., 29_Palms",Native,Unknown,Forb
Colorado Plateau,BabbittPJ,CHEN.BabbittPJ,CHEN,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb
Colorado Plateau,TLE,CHEN.TLE,CHEN,"Unknown chenopod, TLE",Native/Unknown,Unknown,Forb
Colorado Plateau,MOWE,CHEN.MOWE,CHEN,"Unknown chenopod, MOWE",Native/Unknown,Unknown,Forb
Sonoran SE,Patagonia,CHESPP.Patagonia,CHESPP,"Chenopodium spp., Patagonia",Unknown,Unknown,Forb
Sonoran Central,Roosevelt,CRYPT.Roosevelt,CRYPT,"Cryptantha spp., Roosevelt",Native,Unknown,Forb
Sonoran Central,Pleasant,CRYPT.Pleasant,CRYPT,"Cryptantha spp., Pleasant",Native,Unknown,Forb
Colorado Plateau,PEFO,CRYSPP.PEFO,CRYSPP,"Cryptantha spp., PEFO",Native,Unknown,Forb
Mojave,29_Palms,CRYSPP.29_Palms,CRYSPP,"Cryptantha spp., 29_Palms",Native,Unknown,Forb
Mojave,AVRCD,CRYSPP.AVRCD,CRYSPP,"Cryptantha spp., AVRCD",Native,Unknown,Forb
Sonoran SE,SRER,CRYSPP.SRER,CRYSPP,"Cryptantha spp., SRER",Native,Unknown,Forb
Utah,UtahPJ,DRABA.UtahPJ,DRABA,"Draba spp., UtahPJ",Native/Unknown,Unknown,Forb
Colorado Plateau,AguaFria,ELSPP.AguaFria,ELSPP,"Elymus spp., AguaFria",Native/Unknown,Unknown,Grass
Colorado Plateau,BabbittPJ,ELSPP.BabbittPJ,ELSPP,"Elymus spp., BabbittPJ",Native/Unknown,Unknown,Grass
Colorado Plateau,FlyingM,ELSPP.FlyingM,ELSPP,"Elymus spp., FlyingM",Native/Unknown,Unknown,Grass
Sonoran SE,Patagonia,ERASPP.Patagonia,ERASPP,"Eragrostis spp., ERCU or ERLE, Patagonia",Introduced,Unknown,Grass
Sonoran SE,SRER,ERIASPP.SRER,ERIASPP,"Eriastrum spp., SRER",Native,Unknown,Forb
Sonoran Central,Pleasant,ERIOG.Pleasant,ERIOG,"Eriogonum spp., Pleasant",Native,Unknown,Forb
Colorado Plateau,BarTBar,ERISP.BarTBar,ERISP,"Eriogonum spp., BarTBar",Native,Unknown,Forb
Colorado Plateau,PEFO,ERISP.PEFO,ERISP,"Eriogonum spp., PEFO",Native,Unknown,Forb
Sonoran SE,Patagonia,ERISPP.Patagonia,ERISPP,"Erigeron spp., Patagonia",Native,Unknown,Forb
Chihuahuan,Creosote,Eriogonum.Creosote,Eriogonum,"Eriogonum spp., Creosote",Native,Unknown,Forb
Colorado Plateau,Spiderweb,GILSPP.Spiderweb,GILSPP,"Gilia spp., Spiderweb",Native,Unknown,Forb
Mojave,29_Palms,GILSPP.29_Palms,GILSPP,"Gilia spp., 29_Palms",Native,Unknown,Forb
Sonoran SE,SRER,GILSPP.SRER,GILSPP,"Gilia spp., SRER",Native,Unknown,Forb
Colorado Plateau,BabbittPJ,HESP.BabbittPJ,HESP,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb
Colorado Plateau,FlyingM,HESP.FlyingM,HESP,"Heliomeris spp., FlyingM",Native,Unknown,Forb
Mojave,29_Palms,LEPSPP.29_Palms,LEPSPP,"Lepidium spp., 29_Palms",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,LUPSPP.SRER,LUPSPP,"Lupinus spp., SRER",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,LUSPP.AguaFria,LUSPP,"Lupinus spp., AguaFria",Native/Unknown,Unknown,Forb
Colorado Plateau,TLE,MACSPP.TLE,MACSPP,"Machaeranthera spp., TLE",Native,Unknown,Forb
Colorado Plateau,PEFO,MENSPP.PEFO,MENSPP,"Mentzelia spp., PEFO",Native,Unknown,Forb
Mojave,29_Palms,MENSPP.29_Palms,MENSPP,"Mentzelia spp., 29_Palms",Native,Unknown,Forb
Sonoran SE,SRER,MENSPP.SRER,MENSPP,"Mentzelia spp., SRER",Native,Unknown,Forb
Sonoran SE,Patagonia,MENSPP.Patagonia,MENSPP,"Mentzelia spp., Patagonia",Native,Unknown,Forb
Colorado Plateau,BarTBar,OESP.BarTBar,OESP,"Oenothera spp., BarTBar",Native/Unknown,Unknown,Forb
Sonoran SE,SRER,PANSPP.SRER,PANSPP,"Panicum spp., SRER",Native,Unknown,Grass
Mojave,29_Palms,PECSPP.29_Palms,PECSPP,"Pectocarya spp., 29_Palms",Native,Unknown,Forb
Colorado Plateau,BabbittPJ,PHSPP.BabbittPJ,PHSPP,"Phacelia spp., BabbittPJ",Native,Unknown,Forb
Sonoran SE,SRER,PLASPP.SRER,PLASPP,"Plantago spp., SRER",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,PORSPP.BarTBar,PORSPP,"Portulaca spp., BarTBar",Native,Unknown,Forb
Colorado Plateau,FlyingM,PORSPP.FlyingM,PORSPP,"Portulaca spp., FlyingM",Native,Unknown,Forb
Colorado Plateau,PEFO,PORSPP.PEFO,PORSPP,"Portulaca spp., PEFO",Native,Unknown,Forb
Sonoran SE,Patagonia,PORSPP.Patagonia,PORSPP,"Portulaca spp., Patagonia",Native,Unknown,Forb
Sonoran SE,Patagonia,PROACASPP.Patagonia,PROACASPP,"Mesquite/Acacia spp., Patagonia",Native/Unknown,Perennial,Shrub
