Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,MonitorID
Mojave,29_Palms,2021-12-19,2022-04-15,1,Seed,Cool,NA
Mojave,29_Palms,2020-03-13,2022-04-15,2,Pellets,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,3,Mulch,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,4,ConMod,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,5,Seed,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,6,Pits,Cool,NA
Mojave,29_Palms,2020-03-13,2022-04-15,7,Pellets,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,8,ConMod,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,9,Seed,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,10,Mulch,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,11,Pits,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,12,Mulch,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,13,ConMod,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,14,Seed,Warm,NA
Mojave,29_Palms,2020-03-13,2022-04-15,15,Pellets,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,16,Pits,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,17,Control,None,NA
Mojave,29_Palms,2021-12-19,2022-04-15,18,ConMod,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,19,Pits,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,20,Mulch,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,21,Control,None,NA
Mojave,29_Palms,2020-03-13,2022-04-15,22,Pellets,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,23,ConMod,Cool,NA
Mojave,29_Palms,2020-03-13,2022-04-15,24,Pellets,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,25,Control,None,NA
Mojave,29_Palms,2021-12-19,2022-04-15,26,Seed,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,27,Pits,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,28,Mulch,Cool,NA
Mojave,29_Palms,2020-03-13,2022-04-15,29,Pellets,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,30,Mulch,Warm,NA
Mojave,29_Palms,2020-03-13,2022-04-15,31,Pellets,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,32,Pits,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,33,ConMod,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,34,Seed,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,35,Pits,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,36,Mulch,Cool,NA
Mojave,29_Palms,2020-03-13,2022-04-15,37,Pellets,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,38,Control,None,NA
Mojave,29_Palms,2021-12-19,2022-04-15,39,ConMod,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,40,Mulch,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,41,Pits,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,42,Seed,Cool,NA
Mojave,29_Palms,2021-12-19,2022-04-15,43,ConMod,Warm,NA
Mojave,29_Palms,2021-12-19,2022-04-15,44,Seed,Warm,NA
Mojave,AVRCD,2022-01-15,2022-04-13,2,Mulch,Cool,NA
Mojave,AVRCD,2022-01-15,2022-04-13,44,Mulch,Warm,NA
Colorado Plateau,FlyingM,2018-07-25,2019-06-13,36,Pits,Med-Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,201,Mulch,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,202,Pits,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,203,Seed,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,204,ConMod,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,205,Mulch,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,206,Control,None,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,207,Mulch,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,208,Pits,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,209,ConMod,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,210,Mulch,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,211,Pits,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,212,Seed,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,213,ConMod,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,214,Mulch,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,215,Seed,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,216,ConMod,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,217,Pits,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,218,Control,None,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,219,Seed,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,220,Control,None,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,221,ConMod,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,222,Pits,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,223,Seed,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,224,Mulch,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,225,Pits,Medium,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,226,Seed,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,227,Mulch,Warm,NA
Chihuahuan,Mesquite,2020-08-05,2020-12-13,228,ConMod,Medium,NA
