Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,MonitorID
Mojave,AVRCD,2020-03-17,2020-04-30,14,Seed,Warm,3588
Mojave,AVRCD,2021-03-17,2021-04-06,1,ConMod,Cool,3663
Mojave,AVRCD,2021-03-17,2021-04-06,2,Mulch,Cool,3664
Mojave,AVRCD,2021-03-17,2021-04-06,3,Mulch,Warm,3665
Mojave,AVRCD,2021-03-17,2021-04-06,4,Pellets,Cool,3666
Mojave,AVRCD,2021-03-17,2021-04-06,5,Pits,Cool,3667
Mojave,AVRCD,2021-03-17,2021-04-06,6,Mulch,Cool,3668
Mojave,AVRCD,2021-03-17,2021-04-06,7,Seed,Cool,3669
Mojave,AVRCD,2021-03-17,2021-04-06,8,Pellets,Warm,3670
Mojave,AVRCD,2021-03-17,2021-04-06,9,Pits,Warm,3671
Mojave,AVRCD,2021-03-17,2021-04-06,10,Mulch,Warm,3672
Mojave,AVRCD,2021-03-17,2021-04-06,11,Pits,Cool,3673
Mojave,AVRCD,2021-03-17,2021-04-06,12,Seed,Warm,3674
Mojave,AVRCD,2021-03-17,2021-04-06,13,Control,None,3675
Mojave,AVRCD,2021-03-17,2021-04-06,14,Seed,Cool,3676
Mojave,AVRCD,2021-03-17,2021-04-06,15,Pellets,Cool,3677
Mojave,AVRCD,2021-03-17,2021-04-06,16,Pits,Warm,3678
Mojave,AVRCD,2021-03-17,2021-04-06,17,Control,None,3679
Mojave,AVRCD,2021-03-17,2021-04-06,18,Control,None,3680
Mojave,AVRCD,2021-03-17,2021-04-06,19,Pellets,Warm,3681
Mojave,AVRCD,2021-03-17,2021-04-06,20,ConMod,Warm,3682
Mojave,AVRCD,2021-03-17,2021-04-06,21,Pellets,Cool,3683
Mojave,AVRCD,2021-03-17,2021-04-06,22,ConMod,Cool,3684
Mojave,AVRCD,2021-03-17,2021-04-06,23,Mulch,Cool,3685
Mojave,AVRCD,2021-03-17,2021-04-06,24,Seed,Warm,3686
