Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Creosote,Chihuahuan,Medium,0,0,0,0,0,0,NA
Creosote,Chihuahuan,None,0,0,0,0,0,0,NA
Creosote,Chihuahuan,Warm,0,0,0,0,0,0,NA
Mesquite,Chihuahuan,Warm,0,0,0,0,0,0,NA
Mesquite,Chihuahuan,None,0,0,0,0,0,0,NA
Mesquite,Chihuahuan,Medium,0,0,0,0,0,0,NA
AguaFria,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
AguaFria,Colorado Plateau,None,0,0,0,0,0,0,NA
AguaFria,Colorado Plateau,Warm,0,0,0,0,0,0,NA
BabbittPJ,Colorado Plateau,Cool,0,0,0,0,0,0,NA
BabbittPJ,Colorado Plateau,Cool-Med,0,0,0,0,0,0,NA
BabbittPJ,Colorado Plateau,None,0,0,0,0,0,0,NA
BarTBar,Colorado Plateau,Cool-Med,0,0,0,0,0,0,NA
BarTBar,Colorado Plateau,None,0,0,0,0,0,0,NA
BarTBar,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
FlyingM,Colorado Plateau,Cool-Med,0,0,0,0,0,0,NA
FlyingM,Colorado Plateau,None,0,0,0,0,0,0,NA
FlyingM,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
MOWE,Colorado Plateau,Warm,0,0,0,0,0,0,NA
MOWE,Colorado Plateau,None,0,0,0,0,0,0,NA
MOWE,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
PEFO,Colorado Plateau,Warm,0,0,0,0,0,0,NA
PEFO,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
PEFO,Colorado Plateau,None,0,0,0,0,0,0,NA
Spiderweb,Colorado Plateau,Med-Warm,0,0,0,0,0,0,NA
Spiderweb,Colorado Plateau,None,0,0,0,0,0,0,NA
Spiderweb,Colorado Plateau,Warm,0,0,0,0,0,0,NA
Spiderweb,Colorado Plateau,Warm,HAGL,HAGL,Halogeton glomeratus,Introduced,Annual,Forb,NA
TLE,Colorado Plateau,Warm,0,0,0,0,0,0,NA
TLE,Colorado Plateau,Cool,0,0,0,0,0,0,NA
TLE,Colorado Plateau,None,0,0,0,0,0,0,NA
29_Palms,Mojave,Cool,0,0,0,0,0,0,NA
29_Palms,Mojave,None,0,0,0,0,0,0,NA
29_Palms,Mojave,Warm,0,0,0,0,0,0,NA
29_Palms,Mojave,Cool,UNFO1,UNFO1.29_Palms,"Unknown forb 1, 29_Palms",Unknown,Unknown,Forb,NA
29_Palms,Mojave,Cool,UNFO2,UNFO2.29_Palms,"Unknown forb 2, 29_Palms",Unknown,Unknown,Forb,NA
AVRCD,Mojave,Cool,0,0,0,0,0,0,NA
AVRCD,Mojave,Warm,0,0,0,0,0,0,NA
AVRCD,Mojave,Cool,AMIN3,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,NA
AVRCD,Mojave,None,AMIN3,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,NA
AVRCD,Mojave,Warm,AMIN3,AMMEI2,Amsinckia menziesii,Native,Annual,Forb,NA
AVRCD,Mojave,Warm,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,NA
AVRCD,Mojave,None,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,NA
AVRCD,Mojave,Cool,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,NA
AVRCD,Mojave,Warm,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,NA
AVRCD,Mojave,Warm,CRIN8,CRIN8,Cryptantha intermedia,Native,Annual,Forb,NA
