Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Plot,Treatment,PlotMix,SiteDatePlotID,CodeOriginal,Code,Name,Native,Duration,Lifeform,Count,Height,raw.row,SpeciesSeeded,PlantSource,PlantSource2,Weedy,PlotMix_Climate
Utah,CRC,2018-10-17T00:00:00Z,2019-03-22T00:00:00Z,164,6,Mulch,Cool-Med,3964,HEMU3,HEMU3,Heliomeris multiflora,Native,Perennial,Forb,1,NA,9950,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,2,NA,10251,No,Introduced/Invasive,Introduced/Invasive,Weedy,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,1,NA,10252,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,S-UNGR3,S-UNGR3.CRC,"Seeded unknown grass 3, CRC",Native,Unknown,Grass,3,NA,10253,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,1,NA,10254,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,1,NA,10255,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,2,NA,10256,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,21,Mulch,Cool-Med,4051,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,1,NA,10257,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,22,ConMod,Med-Warm,4052,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,6,NA,10258,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,23,Control,None,4053,CHTE2,CHTE2,Chorispora tenella,Introduced,Annual,Forb,7,NA,10259,No,Introduced/Invasive,Introduced/Invasive,Weedy,None
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,24,Seed,Med-Warm,4054,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,1,NA,10260,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,24,Seed,Med-Warm,4054,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,3,NA,10261,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,24,Seed,Med-Warm,4054,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,5,NA,10262,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,24,Seed,Med-Warm,4054,CHTE2,CHTE2,Chorispora tenella,Introduced,Annual,Forb,1,NA,10263,No,Introduced/Invasive,Introduced/Invasive,Weedy,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,25,Pits,Cool-Med,4055,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,4,NA,10264,No,Introduced/Invasive,Introduced/Invasive,Weedy,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-04-05T00:00:00Z,165,25,Pits,Cool-Med,4055,S-UNGR2,S-UNGR2.CRC,"Seeded unknown grass 2, CRC",Native,Unknown,Grass,1,NA,10265,Yes,Seeded,Seeded,Desirable,Current
