Region,Site,PlotMix,CodeOriginal,Code,Name,SpeciesSeeded
Chihuahuan,Creosote,Warm,BOER,BOER4,Bouteloua eriopoda,NA
Chihuahuan,Creosote,Medium,DICA8,DICA8,Digitaria californica,NA
Chihuahuan,Creosote,Warm,DICA8,DICA8,Digitaria californica,NA
Chihuahuan,Mesquite,Warm,BOAR,BOAR,Bouteloua aristidoides,NA
Chihuahuan,Mesquite,Medium,BOAR,BOAR,Bouteloua aristidoides,NA
Chihuahuan,Mesquite,None,BOAR,BOAR,Bouteloua aristidoides,NA
Colorado Plateau,AguaFria,Med-Warm,BAMU,BAMU,Baileya multiradiata,NA
Colorado Plateau,BabbittPJ,Cool,ACMI2,ACMI2,Achillea millefolium,NA
Colorado Plateau,BabbittPJ,Cool,ELEL5,ELEL5,Elymus elymoides,NA
Colorado Plateau,BabbittPJ,Cool,ELEL5 (unseeded),ELEL5,Elymus elymoides,NA
Colorado Plateau,BabbittPJ,Cool-Med,ELEL5 (seeded),ELEL5,Elymus elymoides,NA
Colorado Plateau,BabbittPJ,None,ELEL5 (unseeded),ELEL5,Elymus elymoides,NA
Colorado Plateau,BabbittPJ,Cool,ELTR7 (seeded),ELTR7,Elymus trachycaulus,NA
Colorado Plateau,BabbittPJ,Cool,ELWA2 (seeded),ELWA2,Elymus wawawaiensis,NA
Colorado Plateau,BabbittPJ,Cool,ELWA,ELWA2,Elymus wawawaiensis,NA
Colorado Plateau,BabbittPJ,Cool-Med,HEBO,HEBO,Hedysarum boreale,NA
Colorado Plateau,BabbittPJ,None,HECO26,HECO26,Hesperostipa comata,NA
Colorado Plateau,BabbittPJ,Cool-Med,HEMU3,HEMU3,Heliomeris multiflora,NA
Colorado Plateau,BabbittPJ,Cool,PASM,PASM,Pascopyrum smithii,NA
Colorado Plateau,BabbittPJ,Cool,PASM (maybe),PASM,Pascopyrum smithii,NA
Colorado Plateau,BabbittPJ,None,PASM,PASM,Pascopyrum smithii,NA
Colorado Plateau,BabbittPJ,Cool,PSSP6 (maybe),PSSP6,Pseudoroegneria spicata,NA
Colorado Plateau,BabbittPJ,Cool,SPGR2,SPGR2,Sphaeralcea grossulariifolia,NA
Colorado Plateau,BarTBar,None,ATCA,ATCA2,Atriplex canescens,NA
Colorado Plateau,BarTBar,Cool-Med,ATCA,ATCA2,Atriplex canescens,NA
Colorado Plateau,BarTBar,None,LILE3,LILE3,Linum lewisii,NA
Colorado Plateau,BarTBar,Med-Warm,SPCR,SPCR,Sporobolus cryptandrus,NA
Colorado Plateau,FlyingM,Med-Warm,ACMI2,ACMI2,Achillea millefolium,NA
Colorado Plateau,FlyingM,None,ATCA2,ATCA2,Atriplex canescens,NA
Colorado Plateau,FlyingM,Med-Warm,ATCA2,ATCA2,Atriplex canescens,NA
Colorado Plateau,FlyingM,Med-Warm,LILE3,LILE3,Linum lewisii,NA
Colorado Plateau,FlyingM,None,LILE3,LILE3,Linum lewisii,NA
Colorado Plateau,FlyingM,Med-Warm,MATA2,MATA2,Machaeranthera tanacetifolia,NA
Colorado Plateau,FlyingM,Med-Warm,PASM,PASM,Pascopyrum smithii,NA
Colorado Plateau,FlyingM,Med-Warm,PEPA8,PEPA8,Penstemon palmeri,NA
Colorado Plateau,FlyingM,Cool-Med,PLJA,PLJA,Pleuraphis jamesii,NA
Colorado Plateau,FlyingM,Cool-Med,POSE,POSE,Poa secunda,NA
Colorado Plateau,MOWE,Med-Warm,BAMU,BAMU,Baileya multiradiata,NA
