CodeOriginal,Code,Name,Native,Duration,Lifeform
0,0,0,0,0,0
CEME2,CEME2,Centaurea melitensis,Introduced,Annual,Forb
ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb
HEHIC,HEHIC,Herniaria hirsuta,Introduced,Annual,Forb
MAPA5,MAPA5,Malva parviflora,Introduced,Unknown,Forb
MEIN2,MEIN2,Melilotus indicus,Introduced,Annual,Forb
MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb
ONPI,ONPI,Oncosiphon piluliferum,Introduced,Annual,Forb
SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb
SIAB,SIAB,Sida abutifolia,Introduced,Unknown,Forb
SIIR,SIIR,Sisymbrium irio,Introduced,Annual,Forb
SOOL,SOOL,Sonchus oleraceus,Introduced,Annual,Forb
TRTE,TRTE,Tribulus terrestris,Introduced,Annual,Forb
BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass
ERASPP,ERASPP.Patagonia,"Eragrostis spp., ERCU or ERLE, Patagonia",Introduced,Unknown,Grass
ERCI,ERCI2.Preserve,"Eragrostis ciliaris, Preserve",Introduced,Annual,Grass
ERCU2,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass
Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass
ERLE,ERLE,Eragrostis lehmanniana,Introduced,Perennial,Grass
ERSU,ERSU,Eragrostis superba,Introduced,Perennial,Grass
SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass
UNGRS-1,UNGRS-1.SRER,"Unknown grass seedling (SRER), but most likely ERLE, spring 2022, SRER",Introduced,Unknown,Grass
ABPA3,ABPA3,Abutilon parvulum,Native,Perennial,Forb
ACMIS,ACMIS,Acmispon (Lotus),Native,Annual,Forb
