Region,Site,Date_Seeded,Monitored_Previous,Date_Monitored,SiteDateID,Days_elapsed,Days_since_last
Sonoran Central,Pleasant,2019-12-19,2020-03-30,2020-03-30,120,102,0
Sonoran Central,Pleasant,2019-12-19,2020-03-30,2020-10-14,121,300,198
Sonoran Central,Pleasant,2019-12-19,2020-10-14,2021-04-02,122,470,170
Sonoran Central,Pleasant,2019-12-19,2021-04-02,2021-10-04,123,655,185
Sonoran Central,Pleasant,2019-12-19,2021-10-04,2022-03-29,124,831,176
Sonoran Central,Pleasant,2019-12-19,2022-03-29,2023-03-24,125,1191,360
Sonoran Central,Preserve,2019-11-25,2020-03-26,2020-03-26,126,122,0
Sonoran Central,Preserve,2019-11-25,2020-03-26,2020-10-12,127,322,200
Sonoran Central,Preserve,2019-11-25,2020-10-12,2021-03-30,128,491,169
Sonoran Central,Preserve,2019-11-25,2021-03-30,2021-10-06,129,681,190
Sonoran Central,Preserve,2019-11-25,2021-10-06,2022-03-31,130,857,176
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,2020-03-25,131,124,0
Sonoran Central,Roosevelt,2019-11-22,2020-03-25,2020-10-15,132,328,204
Sonoran Central,Roosevelt,2019-11-22,2020-10-15,2021-04-01,133,496,168
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,2021-10-08,134,686,190
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,2022-03-28,135,857,171
Sonoran Central,SCC,2019-11-21,2020-03-27,2020-03-27,136,127,0
Sonoran Central,SCC,2019-11-21,2020-03-27,2020-10-13,137,327,200
Sonoran Central,SCC,2019-11-21,2020-10-13,2021-03-31,138,496,169
Sonoran Central,SCC,2019-11-21,2021-03-31,2021-10-13,139,692,196
Sonoran SE,Patagonia,2019-08-09,2019-11-12,2019-11-12,140,95,0
Sonoran SE,Patagonia,2019-08-09,2019-11-12,2020-03-30,141,234,139
Sonoran SE,Patagonia,2019-08-09,2020-03-30,2020-10-01,142,419,185
Sonoran SE,Patagonia,2019-08-09,2020-03-30,2020-10-04,143,422,188
Sonoran SE,Patagonia,2019-08-09,2020-10-01,2021-03-12,144,581,162
Sonoran SE,Patagonia,2019-08-09,2021-03-12,2021-10-13,145,796,215
Sonoran SE,Patagonia,2019-08-09,2021-03-12,2021-10-14,146,797,216
Sonoran SE,Patagonia,2019-08-09,2021-10-13,2022-03-30,147,964,168
Sonoran SE,Patagonia,2019-08-09,2021-10-14,2022-03-31,148,965,168
Sonoran SE,SRER,2019-08-09,2019-11-07,2019-11-07,149,90,0
Sonoran SE,SRER,2019-08-09,2019-11-07,2020-04-02,150,237,147
Sonoran SE,SRER,2019-08-09,2020-04-02,2020-09-30,151,418,181
Sonoran SE,SRER,2019-08-09,2020-09-30,2021-03-10,152,579,161
Sonoran SE,SRER,2019-08-09,2020-09-30,2021-03-11,153,580,162
Sonoran SE,SRER,2019-08-09,2021-03-10,2021-10-06,154,789,210
Sonoran SE,SRER,2019-08-09,2021-03-10,2021-10-07,155,790,211
Sonoran SE,SRER,2019-08-09,2021-03-11,2021-10-08,156,791,211
Sonoran SE,SRER,2019-08-09,2021-03-11,2021-10-09,157,792,212
Sonoran SE,SRER,2019-08-09,2021-10-06,2022-03-23,158,957,168
Sonoran SE,SRER,2019-08-09,2021-10-07,2022-03-24,159,958,168
Sonoran SE,SRER,2019-08-09,2021-10-08,2022-03-28,160,962,171
