PRISM Time Series Data
Location:  Lat: 34.7015   Lon: -118.3097   Elev: 769m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-03-17 - 2020-04-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-03-17,17.71,2.1,7.5,13.0
2020-03-18,0.01,0.6,5.3,9.9
2020-03-19,0.00,0.6,6.7,12.8
2020-03-20,0.44,3.0,7.1,11.2
2020-03-21,0.55,3.5,7.6,11.8
2020-03-22,0.00,5.0,9.7,14.5
2020-03-23,12.44,3.5,9.9,16.3
2020-03-24,0.51,7.1,10.9,14.8
2020-03-25,0.00,6.9,10.7,14.6
2020-03-26,0.27,2.4,8.0,13.6
2020-03-27,0.42,1.9,6.5,11.1
2020-03-28,0.00,2.4,7.7,12.9
2020-03-29,0.00,3.1,9.8,16.4
2020-03-30,0.00,4.9,9.8,14.6
2020-03-31,0.00,4.5,13.0,21.6
2020-04-01,0.00,9.3,15.6,21.8
2020-04-02,0.00,7.5,14.7,21.9
2020-04-03,0.00,5.7,11.6,17.6
2020-04-04,0.00,6.3,12.7,19.0
2020-04-05,0.01,8.2,12.8,17.3
2020-04-06,17.20,8.0,9.9,11.8
2020-04-07,6.11,3.2,7.3,11.3
2020-04-08,14.15,2.7,7.4,12.0
2020-04-09,5.53,5.1,7.5,9.9
2020-04-10,17.09,5.1,6.2,7.3
2020-04-11,2.32,5.4,8.6,11.9
2020-04-12,0.00,5.6,13.6,21.6
2020-04-13,2.88,9.4,12.9,16.4
2020-04-14,0.00,6.6,13.2,19.8
2020-04-15,0.00,4.7,12.3,19.8
2020-04-16,0.00,5.6,15.0,24.5
2020-04-17,0.00,11.2,17.0,22.8
2020-04-18,0.00,8.8,13.4,18.0
2020-04-19,0.00,8.2,13.1,17.9
2020-04-20,0.00,8.1,14.0,20.0
2020-04-21,0.00,9.3,14.7,20.1
2020-04-22,0.00,9.2,14.8,20.5
2020-04-23,0.00,9.3,18.1,27.0
2020-04-24,0.00,13.9,20.1,26.3
2020-04-25,0.00,11.4,20.4,29.4
2020-04-26,0.00,12.5,22.3,32.1
2020-04-27,0.00,14.9,22.6,30.4
2020-04-28,0.00,14.3,21.3,28.4
2020-04-29,0.00,13.0,23.8,34.5
2020-04-30,0.00,12.8,23.0,33.2
