PRISM Time Series Data
Location:  Lat: 34.7015   Lon: -118.3097   Elev: 750m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,47.16,1.0,7.9,14.9
February,58.06,2.3,9.3,16.3
March,34.29,4.6,12.0,19.4
April,12.45,7.2,14.9,22.6
May,4.87,11.4,19.2,27.0
June,1.16,15.7,24.0,32.2
July,2.67,19.3,27.6,36.0
August,0.90,18.5,27.4,36.3
September,3.70,14.7,23.9,33.0
October,8.47,9.3,18.0,26.7
November,10.56,3.5,11.6,19.7
December,34.23,0.2,7.2,14.2
Annual,218.53,9.0,16.9,24.9
