PRISM Time Series Data
Location:  Lat: 34.1716   Lon: -112.1220   Elev: 967m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2018-11-15 - 2018-12-03
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2018-11-15,0.00,6.8,12.1,17.5
2018-11-16,0.00,6.2,13.7,21.2
2018-11-17,0.00,5.8,13.2,20.6
2018-11-18,0.00,6.3,12.7,19.1
2018-11-19,0.00,6.4,13.0,19.6
2018-11-20,0.00,7.1,13.7,20.3
2018-11-21,0.00,7.5,13.9,20.4
2018-11-22,0.00,6.6,13.6,20.7
2018-11-23,0.00,5.0,10.2,15.4
2018-11-24,0.00,4.9,10.7,16.5
2018-11-25,0.00,4.8,10.6,16.5
2018-11-26,0.00,6.2,11.5,16.9
2018-11-27,0.00,6.9,13.0,19.1
2018-11-28,0.00,6.3,13.0,19.6
2018-11-29,0.00,5.8,12.0,18.2
2018-11-30,7.18,6.1,10.8,15.5
2018-12-01,1.87,3.6,7.2,10.8
2018-12-02,0.00,3.3,8.1,12.9
2018-12-03,0.00,0.9,5.9,10.8
