PRISM Time Series Data
Location:  Lat: 35.6018   Lon: -111.9351   Elev: 1981m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2018-07-11 - 2018-08-24
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2018-07-11,1.30,13.6,19.1,24.7
2018-07-12,2.85,13.8,19.9,26.0
2018-07-13,6.90,13.7,18.7,23.8
2018-07-14,2.36,13.4,20.0,26.6
2018-07-15,11.23,14.2,19.6,25.1
2018-07-16,11.90,13.8,19.2,24.7
2018-07-17,9.60,14.3,21.6,28.9
2018-07-18,6.10,14.8,21.5,28.3
2018-07-19,8.20,14.1,21.2,28.3
2018-07-20,17.44,12.9,21.5,30.1
2018-07-21,0.33,13.9,22.2,30.6
2018-07-22,2.62,13.1,21.0,28.9
2018-07-23,0.00,12.8,21.9,31.0
2018-07-24,0.00,14.2,24.2,34.1
2018-07-25,1.11,14.8,24.1,33.4
2018-07-26,0.24,14.6,23.9,33.2
2018-07-27,0.00,14.5,23.9,33.4
2018-07-28,2.64,14.9,23.7,32.5
2018-07-29,6.33,14.1,22.7,31.2
2018-07-30,3.32,14.1,22.3,30.5
2018-07-31,0.27,14.7,23.7,32.6
2018-08-01,1.55,14.8,23.5,32.2
2018-08-02,2.15,14.3,23.0,31.8
2018-08-03,1.25,14.0,22.0,30.0
2018-08-04,0.49,13.9,22.3,30.8
2018-08-05,0.00,13.0,22.3,31.5
2018-08-06,0.00,12.5,22.1,31.7
2018-08-07,0.00,11.6,22.5,33.3
2018-08-08,0.00,12.4,23.1,33.8
2018-08-09,0.85,14.6,23.3,31.9
2018-08-10,2.96,13.1,21.6,30.1
2018-08-11,2.38,13.3,21.6,29.9
2018-08-12,0.35,12.4,20.1,27.9
2018-08-13,1.71,11.5,20.4,29.2
2018-08-14,2.18,13.8,21.5,29.2
2018-08-15,7.79,13.6,21.7,29.8
2018-08-16,1.03,13.5,20.4,27.3
2018-08-17,3.65,13.5,20.2,27.0
2018-08-18,1.08,13.5,20.0,26.5
2018-08-19,0.30,12.6,21.2,29.8
2018-08-20,0.00,12.8,22.3,31.7
2018-08-21,0.00,14.2,22.2,30.2
2018-08-22,9.61,13.8,20.2,26.5
2018-08-23,5.72,11.2,17.8,24.3
2018-08-24,3.99,10.8,17.7,24.5
