PRISM Time Series Data
Location:  Lat: 34.8894   Lon: -111.0606   Elev: 1782m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-10-07 - 2021-05-19
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-10-07,0.00,3.4,16.4,29.4
2020-10-08,0.00,4.2,16.6,29.0
2020-10-09,0.00,6.2,17.1,27.9
2020-10-10,0.00,6.4,16.8,27.1
2020-10-11,0.00,6.7,16.1,25.4
2020-10-12,0.00,5.5,15.5,25.4
2020-10-13,0.00,3.5,15.3,27.1
2020-10-14,0.00,3.8,16.0,28.2
2020-10-15,0.00,3.9,16.6,29.3
2020-10-16,0.00,4.5,16.0,27.5
2020-10-17,0.00,2.7,13.7,24.7
2020-10-18,0.00,2.4,14.6,26.9
2020-10-19,0.00,4.0,15.8,27.7
2020-10-20,0.00,4.3,15.7,27.1
2020-10-21,0.00,3.1,14.9,26.6
2020-10-22,0.00,3.2,14.7,26.2
2020-10-23,0.00,4.1,14.3,24.5
2020-10-24,0.00,5.2,14.5,23.9
2020-10-25,1.19,8.6,16.0,23.4
2020-10-26,0.02,0.8,10.3,19.9
2020-10-27,0.00,-5.8,-1.7,2.3
2020-10-28,0.00,-6.5,-0.3,6.0
2020-10-29,0.00,-5.7,4.2,14.0
2020-10-30,0.00,-2.4,7.3,17.1
2020-10-31,0.00,-1.8,8.9,19.5
2020-11-01,0.89,0.9,10.2,19.5
2020-11-02,0.00,4.8,13.4,22.1
2020-11-03,0.00,4.3,12.8,21.3
2020-11-04,0.00,4.1,11.9,19.8
2020-11-05,0.00,1.4,11.4,21.4
2020-11-06,0.00,4.1,12.7,21.3
2020-11-07,0.00,8.2,15.0,21.8
2020-11-08,1.41,-0.1,8.3,16.6
2020-11-09,2.08,-2.8,1.0,4.8
2020-11-10,0.00,-7.2,-1.5,4.3
2020-11-11,0.00,-7.3,0.7,8.7
2020-11-12,0.00,-5.6,3.5,12.5
2020-11-13,0.00,-3.5,4.9,13.2
2020-11-14,0.00,-2.0,7.2,16.3
2020-11-15,0.00,-1.8,6.4,14.6
2020-11-16,0.00,-2.5,8.5,19.5
2020-11-17,0.00,-1.6,9.1,19.8
2020-11-18,0.00,2.7,12.5,22.3
2020-11-19,0.00,4.3,13.2,22.1
2020-11-20,0.00,4.1,12.8,21.5
2020-11-21,0.00,6.4,13.6,20.7
2020-11-22,0.00,2.0,11.8,21.6
2020-11-23,0.00,0.7,8.9,17.0
