PRISM Time Series Data
Location:  Lat: 38.1375   Lon: -109.6124   Elev: 1617m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2018-10-17 - 2019-04-05
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2018-10-17,1.52,-1.4,6.7,14.8
2018-10-18,6.53,4.0,7.7,11.3
2018-10-19,0.90,2.2,6.2,10.3
2018-10-20,0.00,2.6,8.9,15.3
2018-10-21,0.00,3.2,11.4,19.5
2018-10-22,0.00,5.6,12.7,19.8
2018-10-23,4.87,5.9,13.4,20.8
2018-10-24,0.01,6.9,11.1,15.2
2018-10-25,0.00,4.7,10.7,16.7
2018-10-26,0.00,2.7,8.9,15.1
2018-10-27,0.00,2.6,9.8,16.9
2018-10-28,0.00,2.8,11.1,19.4
2018-10-29,0.00,4.8,12.8,20.8
2018-10-30,0.00,6.4,14.0,21.5
2018-10-31,0.36,1.5,6.1,10.7
2018-11-01,0.00,0.3,5.9,11.4
2018-11-02,0.00,1.5,7.4,13.4
2018-11-03,0.00,1.7,9.2,16.7
2018-11-04,0.00,1.1,7.9,14.7
2018-11-05,0.00,-0.6,5.6,11.8
2018-11-06,0.00,-1.2,6.0,13.1
2018-11-07,0.00,-2.6,5.0,12.6
2018-11-08,0.00,-4.1,4.1,12.2
2018-11-09,0.00,-5.0,2.2,9.4
2018-11-10,0.00,-5.6,1.7,9.0
2018-11-11,0.00,-5.9,2.4,10.6
2018-11-12,0.00,-5.1,0.5,6.2
2018-11-13,0.00,-8.3,-2.1,4.1
2018-11-14,0.00,-6.6,0.2,7.1
2018-11-15,0.00,-5.6,2.0,9.7
2018-11-16,0.00,-4.5,3.5,11.5
2018-11-17,0.00,-3.8,4.2,12.2
2018-11-18,0.00,-2.3,5.5,13.3
2018-11-19,0.00,-6.9,0.8,8.5
2018-11-20,0.00,-7.1,0.9,8.9
2018-11-21,0.00,-6.7,1.4,9.5
2018-11-22,0.00,-5.1,2.4,10.0
2018-11-23,0.00,-4.6,2.0,8.6
2018-11-24,0.00,-1.8,4.8,11.4
2018-11-25,0.00,-7.8,2.2,12.2
2018-11-26,0.00,-8.4,-1.2,6.1
2018-11-27,0.00,-7.8,-0.6,6.6
2018-11-28,0.00,-5.6,0.8,7.3
2018-11-29,0.00,-2.8,2.2,7.1
2018-11-30,0.93,-0.3,5.3,11.0
2018-12-01,0.89,-0.9,3.9,8.8
2018-12-02,4.66,-2.8,1.5,5.8
2018-12-03,2.47,-8.6,-4.6,-0.5
2018-12-04,0.00,-12.7,-7.3,-1.9
2018-12-05,0.00,-11.2,-6.0,-0.8
2018-12-06,0.00,-7.2,-3.1,1.0
2018-12-07,0.00,-5.4,-2.1,1.3
2018-12-08,0.00,-7.0,-1.0,4.9
2018-12-09,0.00,-6.8,-0.3,6.2
2018-12-10,0.00,-7.6,-0.6,6.4
2018-12-11,0.00,-5.2,-0.1,5.0
2018-12-12,0.00,-4.3,1.5,7.3
2018-12-13,0.00,-6.8,-0.5,5.7
2018-12-14,0.00,-9.1,-2.5,4.1
2018-12-15,0.00,-9.6,-3.2,3.1
2018-12-16,0.00,-5.3,1.2,7.7
2018-12-17,0.00,-7.0,0.3,7.5
2018-12-18,0.00,-5.5,-1.3,2.9
2018-12-19,0.00,-6.7,0.2,7.1
2018-12-20,0.00,-6.2,1.9,9.9
2018-12-21,0.00,-6.5,1.1,8.7
2018-12-22,0.00,-4.3,0.7,5.6
2018-12-23,0.00,-6.5,0.4,7.3
2018-12-24,0.00,-5.0,0.5,5.9
2018-12-25,0.00,-2.6,2.6,7.9
2018-12-26,3.44,-1.6,3.0,7.6
2018-12-27,0.00,-5.2,-0.6,4.1
2018-12-28,0.09,-7.6,-3.9,-0.3
2018-12-29,0.00,-12.3,-6.9,-1.5
2018-12-30,0.00,-13.1,-6.8,-0.6
2018-12-31,3.69,-9.1,-4.1,0.8
2019-01-01,3.67,-11.3,-6.9,-2.5
2019-01-02,0.00,-17.9,-11.5,-5.1
2019-01-03,0.00,-17.7,-11.3,-5.0
2019-01-04,0.00,-15.2,-9.2,-3.2
2019-01-05,0.00,-12.0,-5.9,0.3
2019-01-06,5.70,-9.8,-5.2,-0.5
2019-01-07,0.10,-5.5,-1.4,2.7
2019-01-08,0.00,-6.9,-1.2,4.4
2019-01-09,0.00,-7.0,-1.1,4.8
2019-01-10,0.00,-5.8,-1.4,3.0
2019-01-11,0.00,-6.4,-1.7,3.1
2019-01-12,0.00,-6.0,-1.4,3.2
2019-01-13,0.00,-7.2,-1.8,3.6
2019-01-14,0.00,-6.9,-1.5,3.8
2019-01-15,0.00,-6.1,-1.3,3.6
2019-01-16,7.62,-2.6,-0.5,1.6
2019-01-17,0.00,-2.2,2.0,6.2
2019-01-18,5.62,-2.0,2.1,6.2
2019-01-19,0.00,-5.2,-0.2,4.8
2019-01-20,0.00,-5.8,-0.2,5.5
2019-01-21,0.00,-4.2,0.4,4.9
2019-01-22,0.10,-4.3,0.4,5.1
2019-01-23,0.00,-8.8,-3.3,2.2
2019-01-24,0.00,-9.0,-3.1,2.9
2019-01-25,0.00,-6.7,-0.7,5.4
2019-01-26,0.00,-6.9,-1.3,4.2
2019-01-27,0.00,-6.6,-0.2,6.3
2019-01-28,0.00,-4.8,0.0,4.8
2019-01-29,0.00,-6.1,0.2,6.5
2019-01-30,0.00,-7.0,-1.1,4.7
2019-01-31,0.00,-7.9,-1.2,5.5
2019-02-01,0.00,-6.6,0.4,7.3
2019-02-02,0.00,-6.5,0.8,8.2
2019-02-03,3.63,-3.0,2.9,8.9
2019-02-04,0.11,2.2,6.0,9.8
