PRISM Time Series Data
Location:  Lat: 32.5109   Lon: -106.7887   Elev: 1381m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-10-08 - 2020-10-29
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-10-08,0.00,8.9,20.5,32.1
2020-10-09,0.00,8.8,20.6,32.3
2020-10-10,0.00,8.3,20.3,32.2
2020-10-11,0.00,8.9,20.0,31.1
2020-10-12,0.00,9.1,19.7,30.3
2020-10-13,0.00,7.9,18.5,29.0
2020-10-14,0.00,8.3,19.7,31.0
2020-10-15,0.00,8.8,21.1,33.4
2020-10-16,0.00,7.9,18.3,28.7
2020-10-17,0.00,6.0,15.0,24.1
2020-10-18,0.00,5.6,18.5,31.4
2020-10-19,0.00,7.4,19.1,30.8
2020-10-20,0.00,6.7,18.8,30.9
2020-10-21,0.00,6.6,18.5,30.4
2020-10-22,0.00,6.4,18.6,30.7
2020-10-23,0.00,8.1,18.6,29.1
2020-10-24,0.00,7.8,17.9,28.0
2020-10-25,0.00,9.0,18.1,27.2
2020-10-26,0.00,10.9,19.2,27.5
2020-10-27,8.65,-3.9,8.0,19.8
2020-10-28,7.81,-4.3,-2.0,0.4
2020-10-29,0.08,-1.6,4.4,10.5
