PRISM Time Series Data
Location:  Lat: 34.8358   Lon: -111.1116   Elev: 1862m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-06-12 - 2020-07-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-06-12,0.00,9.9,20.2,30.4
2019-06-13,0.00,10.2,20.7,31.3
2019-06-14,0.00,11.9,21.3,30.7
2019-06-15,0.00,9.6,18.9,28.2
2019-06-16,0.00,12.5,20.6,28.7
2019-06-17,0.00,10.1,19.6,29.1
2019-06-18,0.00,8.8,18.5,28.1
2019-06-19,0.00,7.7,18.3,29.0
2019-06-20,0.00,9.2,19.4,29.7
2019-06-21,0.00,11.3,19.9,28.5
2019-06-22,0.00,10.4,18.7,27.1
2019-06-23,0.00,8.4,17.2,26.0
2019-06-24,0.00,4.6,15.2,25.8
2019-06-25,0.00,6.1,17.8,29.5
2019-06-26,0.00,8.9,18.9,29.0
2019-06-27,0.00,9.4,18.7,28.0
2019-06-28,0.00,11.2,21.4,31.6
2019-06-29,0.00,12.4,22.6,32.8
2019-06-30,0.00,16.6,24.9,33.2
2019-07-01,0.00,13.1,22.2,31.4
2019-07-02,0.00,12.1,22.2,32.3
2019-07-03,0.00,11.9,21.2,30.5
2019-07-04,0.00,11.8,20.9,29.9
2019-07-05,0.00,10.0,19.8,29.7
2019-07-06,0.00,11.5,20.7,30.0
2019-07-07,0.00,12.9,20.0,27.1
2019-07-08,0.00,11.8,20.0,28.2
2019-07-09,0.00,7.0,17.3,27.7
2019-07-10,0.00,8.8,19.8,30.8
2019-07-11,0.00,11.7,22.1,32.6
2019-07-12,0.00,15.2,24.3,33.3
2019-07-13,0.00,15.5,23.8,32.1
2019-07-14,0.40,16.2,24.3,32.3
2019-07-15,0.46,14.2,22.9,31.6
2019-07-16,0.00,15.5,24.6,33.7
2019-07-17,0.00,17.6,25.8,34.0
2019-07-18,0.00,15.2,23.2,31.2
2019-07-19,0.00,15.9,24.6,33.2
2019-07-20,0.00,16.1,24.3,32.5
2019-07-21,0.00,15.7,24.1,32.4
2019-07-22,0.00,14.0,23.6,33.1
2019-07-23,2.39,15.6,24.7,33.7
2019-07-24,1.25,17.1,23.0,29.0
2019-07-25,1.32,16.9,23.1,29.3
2019-07-26,0.00,15.7,23.5,31.3
2019-07-27,1.36,15.4,22.9,30.3
2019-07-28,0.00,15.5,24.3,33.2
2019-07-29,1.88,15.1,24.2,33.3
2019-07-30,0.18,15.8,24.8,33.8
2019-07-31,7.84,16.7,23.8,30.9
2019-08-01,2.87,14.7,20.4,26.1
2019-08-02,0.97,14.0,21.6,29.2
2019-08-03,0.01,14.5,22.6,30.7
2019-08-04,1.90,14.8,22.6,30.4
2019-08-05,8.18,15.4,22.8,30.1
2019-08-06,4.76,15.1,23.5,32.0
2019-08-07,0.00,17.4,22.9,28.4
2019-08-08,0.00,14.4,21.6,28.8
2019-08-09,0.00,13.1,21.6,30.0
2019-08-10,0.00,12.6,20.4,28.2
2019-08-11,0.00,15.2,22.1,29.0
2019-08-12,0.00,14.7,21.9,29.1
2019-08-13,0.00,11.9,21.0,30.2
2019-08-14,0.00,12.8,22.1,31.5
2019-08-15,0.00,13.7,23.0,32.4
2019-08-16,0.00,16.3,24.4,32.5
2019-08-17,0.00,15.7,23.8,31.8
2019-08-18,0.00,14.9,22.8,30.8
2019-08-19,0.00,13.5,22.4,31.3
2019-08-20,0.00,12.9,22.7,32.5
2019-08-21,0.00,15.2,24.4,33.6
2019-08-22,0.00,15.5,24.6,33.8
2019-08-23,0.00,15.6,23.5,31.5
2019-08-24,0.00,14.5,22.9,31.2
2019-08-25,0.00,15.1,23.4,31.7
2019-08-26,0.00,15.2,24.1,32.9
2019-08-27,0.00,14.0,23.7,33.3
2019-08-28,2.43,16.4,24.9,33.5
2019-08-29,0.03,16.7,24.3,32.0
2019-08-30,0.00,13.9,22.0,30.0
2019-08-31,0.01,14.5,23.0,31.6
2019-09-01,0.00,16.1,24.9,33.7
2019-09-02,0.00,15.6,24.2,32.7
2019-09-03,0.34,15.7,23.4,31.1
2019-09-04,0.96,15.2,22.8,30.3
2019-09-05,0.03,15.0,23.2,31.5
2019-09-06,0.00,13.7,21.9,30.1
2019-09-07,0.00,15.6,23.4,31.2
2019-09-08,0.34,17.0,22.8,28.6
2019-09-09,0.00,12.9,19.4,25.9
2019-09-10,0.00,12.5,19.3,26.1
2019-09-11,0.81,13.9,19.2,24.4
2019-09-12,0.00,7.0,15.7,24.4
2019-09-13,0.00,6.7,15.9,25.1
2019-09-14,0.00,8.1,18.6,29.0
2019-09-15,0.00,12.8,20.7,28.5
2019-09-16,0.00,10.8,17.2,23.7
2019-09-17,0.00,12.7,19.0,25.3
2019-09-18,0.00,11.9,18.5,25.1
2019-09-19,0.00,10.4,18.1,25.9
2019-09-20,0.00,11.3,18.6,25.9
2019-09-21,0.00,9.0,16.6,24.1
2019-09-22,0.00,4.8,14.5,24.2
2019-09-23,9.67,2.6,14.0,25.4
2019-09-24,10.71,9.1,12.9,16.6
2019-09-25,0.01,8.6,14.3,20.0
2019-09-26,0.62,8.1,15.4,22.8
2019-09-27,1.12,9.9,15.5,21.1
2019-09-28,0.00,9.2,16.1,22.9
