PRISM Time Series Data
Location:  Lat: 32.5439   Lon: -106.7945   Elev: 1319m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,13.01,-3.5,5.2,13.9
February,10.30,-1.6,7.6,16.8
March,7.31,1.6,11.2,20.8
April,5.69,5.4,15.2,25.0
May,11.99,10.3,20.1,29.9
June,14.78,16.1,25.5,35.0
July,55.79,18.9,26.8,34.8
August,52.08,18.0,25.9,33.7
September,34.99,14.1,22.4,30.6
October,24.55,7.2,16.5,25.7
November,12.81,0.6,9.8,18.9
December,16.79,-3.3,5.0,13.4
Annual,260.08,7.0,15.9,24.9
