PRISM Time Series Data
Location:  Lat: 34.8893   Lon: -109.7594   Elev: 1679m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2018-10-11 - 2018-10-25
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2018-10-11,0.00,4.2,11.3,18.3
2018-10-12,0.30,9.2,14.2,19.3
2018-10-13,0.00,7.7,12.8,17.9
2018-10-14,1.36,8.8,14.1,19.4
2018-10-15,4.77,4.2,10.2,16.2
2018-10-16,9.24,2.1,4.8,7.6
2018-10-17,10.31,1.6,5.1,8.5
2018-10-18,0.00,1.7,7.6,13.6
2018-10-19,0.00,2.5,9.7,17.0
2018-10-20,0.00,2.4,10.3,18.2
2018-10-21,0.00,2.2,13.0,23.7
2018-10-22,0.00,5.0,13.1,21.2
2018-10-23,1.23,5.1,13.4,21.8
2018-10-24,6.55,4.9,9.7,14.5
2018-10-25,0.00,6.0,10.5,15.0
