PRISM Time Series Data
Location:  Lat: 31.5832   Lon: -110.7350   Elev: 1353m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-10-04 - 2021-03-12
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-10-04,0.00,8.6,20.9,33.2
2020-10-05,0.00,7.9,20.7,33.6
2020-10-06,0.00,8.7,20.9,33.0
2020-10-07,0.00,7.9,20.4,32.9
2020-10-08,0.00,8.2,20.7,33.1
2020-10-09,0.00,7.6,19.4,31.3
2020-10-10,0.00,7.3,18.9,30.5
2020-10-11,0.00,6.4,17.7,29.1
2020-10-12,0.00,6.4,17.7,29.1
2020-10-13,0.00,7.3,19.4,31.5
2020-10-14,0.00,9.3,21.3,33.2
2020-10-15,0.00,9.3,21.1,32.8
2020-10-16,0.00,8.3,19.6,30.8
2020-10-17,0.00,8.0,20.6,33.3
2020-10-18,0.00,8.3,19.8,31.4
2020-10-19,0.00,6.6,18.5,30.4
2020-10-20,0.00,6.0,18.4,30.8
2020-10-21,0.00,6.0,18.2,30.5
2020-10-22,0.00,5.7,17.9,30.1
2020-10-23,0.00,6.6,17.2,27.8
2020-10-24,0.00,8.1,18.1,28.1
2020-10-25,0.00,8.7,19.0,29.4
2020-10-26,0.00,11.0,18.2,25.4
2020-10-27,0.00,-7.0,5.3,17.7
2020-10-28,0.00,-4.2,4.4,13.0
2020-10-29,0.00,0.5,10.4,20.2
2020-10-30,0.00,4.2,14.4,24.6
2020-10-31,0.00,4.8,15.9,26.9
2020-11-01,0.00,5.7,16.5,27.3
2020-11-02,0.00,9.1,19.3,29.4
2020-11-03,0.00,7.7,17.9,28.1
2020-11-04,0.00,7.6,18.5,29.4
2020-11-05,0.00,9.3,19.4,29.5
2020-11-06,0.00,12.0,20.8,29.6
2020-11-07,0.00,14.3,21.8,29.3
2020-11-08,2.86,6.6,15.6,24.5
2020-11-09,0.51,4.8,11.6,18.4
2020-11-10,0.21,-2.6,5.3,13.3
2020-11-11,0.00,-2.9,7.4,17.7
2020-11-12,0.00,-2.2,9.1,20.5
2020-11-13,0.00,1.2,10.2,19.1
2020-11-14,0.00,1.4,10.5,19.5
2020-11-15,0.00,-0.0,10.9,21.8
2020-11-16,0.00,1.6,13.9,26.1
2020-11-17,0.00,5.6,17.0,28.4
2020-11-18,0.00,6.2,17.9,29.7
2020-11-19,0.00,9.4,19.6,29.8
2020-11-20,0.00,7.8,18.2,28.5
2020-11-21,0.00,5.1,16.2,27.3
2020-11-22,0.00,6.7,16.8,27.0
2020-11-23,0.00,6.3,16.7,27.1
2020-11-24,0.00,4.7,14.0,23.3
2020-11-25,0.00,0.1,9.3,18.4
2020-11-26,0.00,-0.8,9.9,20.5
2020-11-27,0.00,-1.6,9.2,20.0
2020-11-28,0.00,-3.9,5.3,14.4
2020-11-29,0.00,-5.0,6.3,17.5
2020-11-30,0.00,-5.0,7.7,20.4
2020-12-01,0.00,-1.5,8.4,18.2
2020-12-02,0.00,-5.2,7.2,19.7
2020-12-03,0.00,-4.6,6.3,17.3
2020-12-04,0.00,-1.7,4.4,10.6
2020-12-05,0.00,-4.6,4.7,14.1
2020-12-06,0.00,-5.2,6.0,17.2
2020-12-07,0.00,-3.1,8.4,19.9
2020-12-08,0.00,0.2,9.9,19.6
2020-12-09,0.00,0.3,11.0,21.7
2020-12-10,10.48,5.0,14.0,23.0
2020-12-11,0.57,-1.2,6.4,14.0
2020-12-12,0.00,-3.0,6.4,15.8
2020-12-13,0.00,-2.6,7.2,17.0
2020-12-14,0.00,-3.7,5.2,14.0
2020-12-15,0.00,-4.5,6.5,17.5
2020-12-16,0.00,-7.8,2.8,13.3
2020-12-17,0.00,-6.8,5.3,17.4
2020-12-18,0.00,-2.4,9.3,20.9
2020-12-19,0.00,-4.3,5.5,15.4
2020-12-20,0.00,-5.5,6.2,17.9
2020-12-21,0.00,-5.8,7.4,20.6
2020-12-22,0.00,-2.5,9.7,22.0
2020-12-23,0.00,-0.1,10.3,20.7
2020-12-24,0.00,-4.7,6.4,17.6
2020-12-25,0.00,-5.7,3.6,13.0
2020-12-26,0.00,-2.1,8.3,18.8
2020-12-27,0.00,-3.0,8.6,20.3
2020-12-28,0.00,0.2,10.7,21.2
2020-12-29,0.00,2.0,10.5,19.0
2020-12-30,0.00,-6.4,1.9,10.3
2020-12-31,0.00,-7.9,1.3,10.6
2021-01-01,0.00,-7.4,2.6,12.7
2021-01-02,0.00,-7.4,3.0,13.4
2021-01-03,0.00,-7.5,3.7,14.8
2021-01-04,0.00,-6.7,5.7,18.1
2021-01-05,0.00,-4.0,8.2,20.5
2021-01-06,0.00,-2.6,9.2,21.1
2021-01-07,0.00,-5.1,7.9,20.8
2021-01-08,0.00,-4.1,8.9,21.7
