PRISM Time Series Data
Location:  Lat: 33.9366   Lon: -112.3232   Elev: 575m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-12-19 - 2020-10-14
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-12-19,0.00,3.4,10.3,17.2
2019-12-20,0.00,2.8,9.4,16.0
2019-12-21,0.00,4.0,11.5,19.0
2019-12-22,0.00,5.4,13.0,20.6
2019-12-23,0.00,8.3,14.5,20.7
2019-12-24,3.80,10.0,13.5,17.0
2019-12-25,18.82,8.1,10.8,13.4
2019-12-26,3.23,4.9,8.7,12.6
2019-12-27,2.86,4.6,9.0,13.3
2019-12-28,11.61,5.1,7.2,9.3
2019-12-29,0.02,1.1,5.8,10.6
2019-12-30,0.00,-0.0,4.9,9.8
2019-12-31,0.00,3.1,7.4,11.7
2020-01-01,0.00,3.7,9.3,15.0
2020-01-02,0.00,2.3,8.1,13.8
2020-01-03,0.00,3.2,9.7,16.2
2020-01-04,0.00,3.2,10.1,17.0
2020-01-05,0.00,3.8,11.3,18.8
2020-01-06,0.00,3.9,11.7,19.6
2020-01-07,0.00,4.9,12.6,20.3
2020-01-08,0.00,4.5,12.9,21.4
2020-01-09,0.00,3.6,10.7,17.7
2020-01-10,0.00,5.0,10.3,15.5
2020-01-11,0.00,2.6,9.4,16.1
2020-01-12,0.00,1.9,8.4,14.9
2020-01-13,0.00,1.7,9.0,16.3
2020-01-14,0.00,2.7,10.3,18.0
2020-01-15,0.00,3.4,11.2,19.1
2020-01-16,0.00,4.9,11.7,18.5
2020-01-17,0.00,6.1,12.0,18.0
2020-01-18,0.00,4.7,10.8,16.9
2020-01-19,0.00,4.5,12.5,20.6
2020-01-20,0.00,6.5,14.9,23.3
