PRISM Time Series Data
Location:  Lat: 33.6112   Lon: -111.0397   Elev: 744m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2021-10-08 - 2022-03-28
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-10-08,0.00,13.5,21.0,28.5
2021-10-09,0.00,15.6,22.9,30.1
2021-10-10,0.00,9.5,18.7,28.0
2021-10-11,0.26,9.7,17.9,26.1
2021-10-12,0.00,5.9,16.2,26.5
2021-10-13,0.00,5.6,11.4,17.1
2021-10-14,0.00,3.4,11.9,20.5
2021-10-15,0.00,5.9,14.7,23.6
2021-10-16,0.00,6.3,15.5,24.7
2021-10-17,0.00,10.6,19.0,27.4
2021-10-18,0.00,9.1,19.0,28.8
2021-10-19,0.00,11.2,18.8,26.3
2021-10-20,0.00,7.6,15.8,24.0
2021-10-21,0.00,9.2,17.4,25.6
2021-10-22,0.00,9.1,18.3,27.5
2021-10-23,0.00,9.7,18.7,27.6
2021-10-24,0.00,8.7,17.5,26.3
2021-10-25,1.08,9.8,18.3,26.8
2021-10-26,0.03,10.7,19.8,28.8
2021-10-27,0.00,4.9,12.1,19.3
2021-10-28,0.00,7.1,14.6,22.2
2021-10-29,0.00,8.6,17.2,25.9
2021-10-30,0.00,10.6,19.1,27.6
2021-10-31,0.00,10.1,18.5,27.0
2021-11-01,0.00,10.2,19.0,27.8
2021-11-02,0.00,9.8,18.2,26.5
2021-11-03,0.00,9.4,17.7,25.9
2021-11-04,0.00,8.3,18.2,28.2
2021-11-05,0.00,9.2,17.8,26.4
2021-11-06,0.00,9.0,18.4,27.7
2021-11-07,0.00,9.1,18.6,28.1
2021-11-08,0.00,9.0,18.0,26.9
2021-11-09,0.00,8.4,18.3,28.2
2021-11-10,0.00,8.8,16.7,24.7
2021-11-11,0.00,8.0,16.9,25.8
2021-11-12,0.00,7.2,16.5,25.8
2021-11-13,0.00,8.1,17.6,27.1
2021-11-14,0.00,7.8,17.2,26.5
2021-11-15,0.00,6.7,16.7,26.7
2021-11-16,0.00,6.7,16.4,26.2
2021-11-17,0.00,6.4,14.9,23.3
2021-11-18,0.00,5.1,13.6,22.0
