PRISM Time Series Data
Location:  Lat: 33.5139   Lon: -111.8792   Elev: 386m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-11-21 - 2020-10-13
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-11-21,11.77,11.7,15.6,19.5
2019-11-22,4.30,10.4,13.1,15.9
2019-11-23,0.00,9.2,13.4,17.7
2019-11-24,0.00,8.7,15.1,21.6
2019-11-25,0.00,9.2,15.6,22.0
2019-11-26,0.00,8.5,13.7,19.0
2019-11-27,0.00,5.6,10.3,15.0
2019-11-28,0.00,6.4,12.9,19.4
2019-11-29,13.29,10.0,14.9,19.8
2019-11-30,7.77,6.4,10.0,13.6
2019-12-01,0.00,5.2,9.9,14.7
2019-12-02,0.00,5.6,12.4,19.3
2019-12-03,0.00,8.0,13.9,19.9
2019-12-04,0.00,8.0,13.2,18.4
2019-12-05,0.00,13.0,17.6,22.2
2019-12-06,0.00,11.4,15.8,20.3
2019-12-07,0.00,10.7,15.9,21.1
2019-12-08,3.02,10.6,15.5,20.5
2019-12-09,0.38,12.2,14.3,16.3
2019-12-10,1.96,8.1,13.3,18.4
2019-12-11,0.00,7.9,13.5,19.1
2019-12-12,0.00,8.0,14.0,20.0
2019-12-13,0.00,7.5,13.3,19.1
2019-12-14,0.00,7.7,13.7,19.6
2019-12-15,0.00,8.4,14.5,20.6
2019-12-16,0.00,5.7,11.7,17.7
2019-12-17,0.00,4.4,10.2,15.9
2019-12-18,0.00,4.8,10.5,16.3
2019-12-19,0.00,5.8,12.0,18.3
2019-12-20,0.00,4.8,10.9,17.0
2019-12-21,0.00,4.0,11.8,19.7
2019-12-22,0.00,7.3,14.4,21.5
2019-12-23,0.00,9.0,15.5,21.9
2019-12-24,1.23,11.0,14.6,18.3
2019-12-25,6.18,9.7,11.6,13.5
2019-12-26,5.63,6.4,9.6,12.8
2019-12-27,4.80,6.0,10.8,15.7
2019-12-28,5.99,7.3,8.4,9.6
2019-12-29,0.00,1.3,6.4,11.5
2019-12-30,0.00,0.6,5.6,10.6
2019-12-31,0.00,4.0,8.4,12.7
2020-01-01,0.00,5.4,10.3,15.1
