PRISM Time Series Data
Location:  Lat: 39.2284   Lon: -109.0014   Elev: 1483m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-07-01 - 2019-08-07
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-07-01,0.00,18.3,26.3,34.4
2019-07-02,0.15,19.9,27.0,34.1
2019-07-03,0.00,17.8,26.2,34.6
2019-07-04,0.00,16.1,25.3,34.4
2019-07-05,0.00,15.8,24.7,33.7
2019-07-06,0.00,16.8,25.4,34.0
2019-07-07,0.00,18.4,26.7,34.9
2019-07-08,0.41,19.4,26.1,32.8
2019-07-09,0.00,15.5,23.9,32.3
2019-07-10,0.00,16.0,24.8,33.5
2019-07-11,0.00,18.2,27.3,36.4
2019-07-12,0.00,20.0,28.7,37.3
2019-07-13,0.00,21.3,29.4,37.5
2019-07-14,0.41,20.6,28.2,35.8
2019-07-15,0.00,19.4,27.8,36.3
2019-07-16,1.50,20.1,27.9,35.8
2019-07-17,0.00,20.6,29.0,37.4
2019-07-18,0.00,18.3,27.5,36.8
2019-07-19,0.00,17.9,27.0,36.2
2019-07-20,0.00,19.5,28.4,37.3
2019-07-21,0.00,18.9,28.1,37.3
2019-07-22,0.00,19.7,28.9,38.1
2019-07-23,0.00,22.0,30.5,39.0
2019-07-24,0.00,21.9,29.6,37.2
2019-07-25,4.04,18.4,27.7,36.9
2019-07-26,0.54,18.1,24.8,31.5
2019-07-27,4.94,18.4,26.1,33.7
2019-07-28,1.86,17.6,25.5,33.5
2019-07-29,0.00,17.5,26.1,34.7
2019-07-30,0.00,18.4,27.4,36.5
2019-07-31,0.00,20.3,27.8,35.3
2019-08-01,3.37,18.2,26.2,34.1
2019-08-02,0.00,18.4,25.0,31.6
2019-08-03,0.00,20.4,28.1,35.8
2019-08-04,0.00,21.6,29.3,36.9
2019-08-05,1.21,16.8,25.4,34.0
2019-08-06,1.24,17.8,26.6,35.5
2019-08-07,0.00,20.4,28.8,37.2
