PRISM Time Series Data
Location:  Lat: 39.2284   Lon: -109.0014   Elev: 1513m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,19.02,-7.4,-1.7,4.0
February,18.58,-3.9,2.1,8.1
March,20.89,0.1,7.4,14.7
April,23.51,3.4,11.1,18.7
May,24.94,8.7,16.6,24.5
June,13.78,14.1,22.8,31.4
July,18.11,18.1,26.5,35.0
August,26.30,16.7,25.1,33.4
September,29.32,11.7,19.9,28.2
October,27.47,4.7,12.4,20.0
November,18.44,-1.5,5.1,11.8
December,20.43,-6.8,-1.2,4.5
Annual,260.77,4.8,12.2,19.5
