PRISM Time Series Data
Location:  Lat: 35.6727   Lon: -111.4810   Elev: 1590m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-07-21 - 2020-09-22
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-07-21,0.00,25.7,30.2,34.8
2020-07-22,0.00,23.0,27.8,32.5
2020-07-23,0.00,18.1,24.9,31.7
2020-07-24,0.00,17.4,24.1,30.7
2020-07-25,0.00,17.3,23.8,30.3
2020-07-26,0.00,16.1,24.1,32.1
2020-07-27,0.00,16.5,25.1,33.7
2020-07-28,0.00,21.8,28.1,34.4
2020-07-29,0.00,22.2,29.0,35.9
2020-07-30,0.00,21.9,30.0,38.1
2020-07-31,0.00,15.2,27.2,39.3
2020-08-01,0.00,22.1,30.7,39.3
2020-08-02,0.00,21.1,29.0,36.8
2020-08-03,0.00,20.0,28.6,37.1
2020-08-04,0.00,19.0,27.8,36.6
2020-08-05,0.00,20.2,28.2,36.2
2020-08-06,0.00,16.5,26.5,36.5
2020-08-07,0.00,15.9,25.9,35.9
2020-08-08,0.00,16.3,25.5,34.8
2020-08-09,0.00,15.8,25.0,34.2
2020-08-10,0.00,18.8,27.2,35.7
2020-08-11,0.00,18.4,27.2,36.0
2020-08-12,0.00,19.1,27.1,35.1
2020-08-13,0.00,18.9,27.5,36.1
2020-08-14,0.00,18.9,27.6,36.2
2020-08-15,0.00,19.9,29.2,38.6
2020-08-16,0.00,20.4,29.5,38.5
2020-08-17,0.00,20.4,29.9,39.4
2020-08-18,0.00,20.4,29.3,38.2
2020-08-19,0.00,22.4,30.2,38.0
2020-08-20,0.00,21.0,29.4,37.8
2020-08-21,0.15,22.7,30.0,37.4
2020-08-22,0.00,21.0,28.9,36.8
2020-08-23,0.00,21.9,28.9,35.8
2020-08-24,0.00,21.2,28.5,35.7
2020-08-25,0.00,19.3,27.6,36.0
2020-08-26,0.07,18.5,27.2,35.9
2020-08-27,0.00,18.5,27.3,36.0
2020-08-28,0.00,18.5,27.3,36.0
2020-08-29,0.15,18.4,26.0,33.7
2020-08-30,0.00,18.3,25.8,33.4
2020-08-31,0.00,16.5,24.0,31.5
2020-09-01,0.41,20.0,25.9,31.8
2020-09-02,0.00,17.5,25.4,33.3
2020-09-03,0.00,15.6,25.1,34.7
2020-09-04,0.00,17.6,26.3,35.1
2020-09-05,0.00,16.0,26.1,36.2
2020-09-06,0.00,16.2,26.9,37.5
2020-09-07,0.00,20.3,29.0,37.6
2020-09-08,0.00,21.7,29.3,36.9
2020-09-09,0.00,5.9,16.4,26.8
2020-09-10,0.00,3.8,11.8,19.7
2020-09-11,0.00,6.1,13.4,20.7
2020-09-12,0.00,8.0,17.3,26.5
2020-09-13,0.00,8.0,18.7,29.4
2020-09-14,0.00,11.2,20.6,30.1
2020-09-15,0.00,11.9,21.0,30.1
2020-09-16,0.00,11.1,21.1,31.1
2020-09-17,0.00,12.2,22.1,32.0
2020-09-18,0.00,12.4,22.3,32.2
2020-09-19,0.00,14.2,23.1,32.0
2020-09-20,0.00,15.7,23.8,31.9
2020-09-21,0.00,15.5,23.3,31.1
2020-09-22,0.00,15.4,23.2,31.0
